int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,107,36,2000,1994,2001,2001,1235480699,1354472671,1180,1576,1412,1405,664,50482
Container,517,130,2005,2005,2006,2006,25314279275,31450829823,1521,1364,1388,1397,3719,287926
General cargo,243,143,2000,2004,2005,2005,2753429483,3775784841,1021,1480,1738,1710,643,49223
Bulk carrier,295,261,2008,2008,2009,2009,19783211687,33118482052,2008,2675,2776,2791,2220,171507
Chemical tanker,192,140,2008,2008,2009,2009,7344158271,11859435758,1667,1797,1902,1908,1450,111831
Ro-Ro,157,31,2005,2006,2005,2006,17063357925,8788619157,2267,2354,2197,2189,1945,150251
Service - other,25,20,2004,2002,2008,2009,542672923,300857709,2287,4228,5155,5301,152,11538
Miscellaneous - fishing,151,68,1993,1992,1986,1984,883729503,855252117,2161,6643,5689,6635,478,35964
Offshore,24,16,2008,2006,2009,2009,124461160,124286795,1457,4490,852,822,113,8507
Oil tanker,81,59,2005,2005,2008,2008,5775842045,10490406715,1757,1847,1958,1967,1329,102531
Ferry-RoPax,3,3,2012,2012,2014,2014,1687612,505886,28,207,191,217,3,210
Vehicle,90,41,2007,2009,2007,2007,9584487191,3350024673,1481,1929,1875,1842,659,50922
Cruise,12,11,2000,1998,2002,1999,350554752,43530784,368,684,555,605,79,6143
Liquefied gas tanker,49,19,2010,2010,2012,2011,1029667070,1174682517,1518,1878,2005,1998,206,15790
Service - tug,27,20,2000,2001,2006,2005,93651574,82068297,1343,2205,2192,2180,115,8701
