int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Refrigerated bulk,62,30,1991,1992,1992,1992,853583414,986342293,2142,2994,2806,2801,748,56559
Cruise,44,21,1997,1999,2000,1998,1992165932,226018880,979,1351,1018,1014,469,36303
Miscellaneous - fishing,63,42,2005,2005,2006,2006,1815276367,1465869217,6376,14745,13901,13743,879,65980
General cargo,7,7,2011,2011,2014,2014,373762595,418260751,1050,2184,3138,2985,29,2244
Bulk carrier,11,5,2010,2009,2009,2009,181333980,310630763,977,1206,1173,1168,27,2116
Ro-Ro,2,1,2017,2017,2017,2017,854323,775091,861,861,861,861,47,3515
Container,120,26,2004,2003,2004,2004,4195043801,5344549387,1322,1285,1409,1402,669,51703
Service - tug,4,4,2000,2000,2003,1999,7972549,8863127,2667,2707,2568,2459,10,735
Other liquids tankers,1,1,2009,2009,2009,2009,27448938,31048769,888,888,888,888,4,344
Chemical tanker,14,5,2012,2009,2012,2012,487097163,809275944,952,1802,1215,1212,61,4726
Liquefied gas tanker,2,2,2009,2009,2009,2009,8913358,10190703,993,993,993,993,6,463
Service - other,2,2,2006,2006,1997,1997,9973211,4177167,1572,1572,3009,3094,9,665
Offshore,2,2,1980,1980,1981,1982,4262925,3811821,2148,2148,1925,1888,7,518
Oil tanker,7,3,2010,2010,2009,2009,58217874,95293258,1062,1120,1476,1507,66,5005
