dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Chemical tanker,1133,442,2009,2009,2009,2009,6126441032,9791875560,61,370,444,445,3017,230072
Oil tanker,14057,529,2007,2006,2006,2006,13330973798,21860941467,51,386,196,197,12341,937498
Service - other,839,68,2010,2008,2007,2007,1242212906,1844246520,179,474,401,400,582,43948
Service - tug,8155,281,2009,2009,2009,2008,609598472,459464369,75,291,187,224,1276,95907
Other liquids tankers,882,8,2011,2008,2010,2010,41710733,53343893,46,114,106,101,842,63268
Bulk carrier,172,55,2009,2008,2009,2009,2575942457,4332702432,119,914,698,687,341,26234
Offshore,242,73,2002,2010,2002,2004,349507916,186006518,142,578,418,314,341,25642
Container,377,145,2003,2004,2005,2005,3267082659,3991867495,64,683,387,383,1381,105610
Refrigerated bulk,2,2,1980,1980,1980,1980,126729,149429,37,37,44,37,7,504
Cruise,3,2,2007,2003,2010,2007,108092799,13521190,354,642,333,380,40,3114
General cargo,228,77,2002,2003,2007,2007,462230484,592282908,119,511,461,449,168,12742
Ferry-pax only,288,54,2005,2002,2001,2004,129958110,68835256,433,1370,1467,2432,191,14360
Liquefied gas tanker,76,56,2006,2007,2010,2010,4179439086,3486479402,202,985,1338,1249,994,73175
Ro-Ro,120,12,2008,2010,2007,2006,38434168,54309642,172,417,292,314,324,24297
Vehicle,6,5,2007,2006,2009,2010,13551755,6680172,28,29,36,42,5,349
Ferry-RoPax,2,2,2002,2002,2001,2001,2383995,1976466,3038,3038,2925,2844,31,2347
Miscellaneous - fishing,11,1,2018,2018,2018,2018,23059375,10187870,546,546,753,753,7,503
