int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Koper,1554,621,2003,2005,2007,2008,47039250679,39318973859,762,1269,1195,1050,4556,351813
Izola,5,5,2009,2009,2012,2012,157524967,200697210,97,521,579,509,12,968
Piran,37,17,1995,2000,2006,2006,97594099,16028872,119,442,189,52,50,3825
Vremski Britof,1,1,2011,2011,2011,2011,904305076,1749440021,9803,9803,9803,9803,38,2963
Zgornji Jakobski Dol,1,1,1984,1984,1984,1984,6278192,3116007,1004,1004,1004,1004,1,108
Lukovica Pri Domzalah,1,1,2003,2003,2003,2003,46615277,14661155,841,841,841,841,1,67
Zgornji Leskovec,1,1,2012,2012,2012,2012,798759,473126,1915,1915,1915,1915,3,198
Zagorje Ob Savi,1,1,1986,1986,1986,1986,73807,30391,395,395,395,395,0,21
Lucija,1,1,2002,2002,2002,2002,64743,96921,194,194,194,194,0,8
Vransko,1,1,1971,1971,1971,1971,1081122,716606,345,345,345,345,0,28
