port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Noro - Honiara,104,49,2000,2000,1999,1999,603565056,947463593,237,919,357,355,154,11658
Yandina - Viru Harbour,2,2,1999,1999,1999,1999,4968255,8111596,286,286,217,218,1,96
Viru Harbour - Noro,52,33,2000,1999,1997,1997,261767388,426057985,173,340,416,423,56,4252
Honiara - Choiseul Bay,8,7,1996,1996,2000,2000,59896389,96933032,389,464,488,486,11,815
Choiseul Bay - Yandina,1,1,1997,1997,1997,1997,4523252,7322759,258,258,258,258,1,51
Yandina - Noro,8,6,1996,1997,1996,1996,27790755,44199716,226,294,247,254,6,423
Honiara - Kirakira,13,13,1997,1997,1996,1996,47138453,76500781,196,274,231,231,14,1044
Kirakira - Noro,17,14,1994,1995,1993,1993,136483435,223624825,388,450,471,471,20,1563
Noro - Rannell Island,21,15,2000,1999,1998,1998,168775875,272928102,487,628,547,547,34,2601
Rannell Island - Choiseul Bay,1,1,1993,1993,1993,1993,7530945,12314212,432,432,432,432,1,84
Choiseul Bay - Noro,23,16,1996,1996,1993,1993,135802940,225238703,369,420,459,464,30,2258
Kirakira - Viru Harbour,1,1,1993,1993,1993,1993,11438183,18703125,656,656,656,656,1,114
Rannell Island - Gizo,6,4,2000,2004,2001,2001,78030380,146724514,315,320,320,320,10,791
Noro - Aola Bay,19,14,2000,1999,1999,1999,114255028,183935350,329,450,541,548,24,1842
Honiara - Rannell Island,8,7,2000,1999,2000,2000,49767863,84686867,289,561,299,293,13,964
Gizo - Honiara,5,4,1999,2000,1997,1997,49979819,13901425,254,247,239,249,13,1006
Viru Harbour - Honiara,25,16,1998,1997,1995,1995,147534295,240339887,208,422,420,425,29,2218
Noro - Nemba,8,5,1997,1998,1997,1997,102519052,157169106,677,689,695,698,15,1111
Gizo - Yandina,1,1,1989,1989,1989,1989,903767,162463,173,173,173,173,0,30
Yandina - Honiara,7,5,1991,1992,1997,1998,21935990,32969062,372,400,406,475,8,591
Honiara - Aola Bay,3,3,2001,2001,2006,2008,876859,1189743,680,826,907,1039,14,1051
Choiseul Bay - Ringgi Cove,1,1,1983,1983,1983,1983,208014,73319,118,118,118,118,0,30
Ringgi Cove - Honiara,1,1,1983,1983,1983,1983,442286,155894,251,251,251,251,1,63
Honiara - Nemba,1,1,1983,1983,1983,1983,1036327,365277,589,589,589,589,2,128
Kirakira - Choiseul Bay,4,4,1998,1998,1997,1997,40207245,65285948,514,556,550,551,6,448
Viru Harbour - Tulagi,3,3,1999,1999,1995,1995,8325370,13750102,229,232,242,242,1,101
Tulagi - Noro,21,16,1996,1996,1995,1995,147926112,242719840,430,441,447,447,28,2121
Tulagi - Nemba,1,1,1996,1996,1996,1996,5946712,9601116,339,339,339,339,1,78
Nemba - Kirakira,1,1,1996,1996,1996,1996,4390940,7089284,250,250,250,250,1,39
Tulagi - Choiseul Bay,4,4,1996,1996,1996,1996,25701862,41382886,336,387,382,379,4,287
Choiseul Bay - Aola Bay,1,1,1994,1994,1994,1994,4993193,8171669,287,287,287,287,1,51
Tulagi - Honiara,12,7,2000,1998,1994,1994,18213805,30798973,132,176,180,183,21,1546
Gizo - Viru Harbour,1,1,1996,1996,1996,1996,2794913,4588244,162,162,162,162,0,28
Tulagi - Gizo,2,2,1994,1994,1993,1993,10539618,17726154,310,310,309,310,2,131
Gizo - Noro,2,2,1994,1994,1993,1993,4892495,8231618,144,144,143,144,1,58
Viru Harbour - Rannell Island,6,4,2000,1999,2002,2002,33289624,54917535,260,313,332,333,8,578
Yandina - Tulagi,1,1,2002,2002,2002,2002,104543,104134,408,408,408,408,1,49
Choiseul Bay - Viru Harbour,1,1,1997,1997,1997,1997,5769900,9766297,344,344,344,344,2,145
Honiara - Lever Harbour,4,3,1994,1993,1996,1997,13061261,20958777,280,278,248,246,6,447
Aola Bay - Nemba,3,3,2006,2006,2007,2007,17405699,27200041,482,469,441,438,3,242
Nemba - Rannell Island,1,1,2005,2005,2005,2005,6220077,10410560,367,367,367,367,1,67
Aola Bay - Kirakira,1,1,1990,1990,1990,1990,2357353,3827903,172,172,172,172,1,41
Noro - Ringgi Cove,3,3,1997,1997,1996,1996,11273165,18012740,210,284,301,295,6,478
Lever Harbour - Tulagi,2,2,1996,1996,1997,1997,10085496,16088794,318,318,307,310,2,129
Kirakira - Rannell Island,2,2,1991,1991,1993,1992,13866439,22202933,404,404,413,407,3,225
Aola Bay - Viru Harbour,1,1,2012,2012,2012,2012,3154981,5233831,185,185,185,185,1,50
Ringgi Cove - Viru Harbour,1,1,1995,1995,1995,1995,4498519,7617235,268,268,268,268,1,55
Kirakira - Lever Harbour,1,1,1997,1997,1997,1997,5567478,9012001,317,317,317,317,1,57
Tulagi - Kirakira,6,6,1998,1998,1997,1997,20587787,34331868,122,227,237,242,4,339
Kirakira - Gizo,1,1,2001,2001,2001,2001,6775669,10708711,381,381,381,381,1,58
Rannell Island - Lever Harbour,1,1,1996,1996,1996,1996,4487607,6963668,291,291,291,291,1,56
Rannell Island - Aola Bay,1,1,1997,1997,1997,1997,3567405,5806533,241,241,241,241,1,52
Gizo - Aola Bay,1,1,2005,2005,2005,2005,610725,127020,343,343,343,343,1,57
Tulagi - Aola Bay,1,1,2009,2009,2009,2009,213095,392530,431,431,431,431,4,276
Aola Bay - Lever Harbour,1,1,2009,2009,2009,2009,10491002,16848358,505,505,505,505,2,159
