port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Port Elizabeth - Durban,193,100,2008,2007,2009,2010,4137729355,4429005241,412,436,431,427,558,43106
Durban - Cape Town,46,32,2006,2006,2006,2007,1735860366,2144088826,856,990,903,895,260,20090
Port Elizabeth - Island View,114,71,2009,2008,2009,2009,1781215692,2222553325,413,605,543,603,270,20755
Island View - Cape Town,145,75,2008,2007,2008,2008,3736266167,5175147040,843,1050,904,910,612,47139
Simon'S Town - Island View,2,1,1972,1972,1972,1972,6865545,4443175,1243,1243,1243,1243,5,385
Simon'S Town - Saldanha,9,5,1985,1986,1989,1989,56319813,31758280,1825,3049,3076,2908,18,1335
Simon'S Town - Laaiplek,3,2,1986,1992,1973,1973,3324926,2135039,602,596,590,589,2,142
Simon'S Town - Port Elizabeth,2,2,1994,1994,1981,1976,8138094,4682566,1393,1393,1230,1649,5,405
Port Of Ngqura - Durban,292,109,2009,2008,2010,2010,10392458447,11957132530,415,430,432,433,1227,95048
Port Elizabeth - Salt River,95,44,2008,2007,2010,2010,2404294001,2812913096,464,618,499,501,359,27601
Port Of Ngqura - Richards Bay,6,3,2010,2005,2012,2012,135327857,156389397,537,542,576,576,34,2638
Richards Bay - Island View,250,108,2009,2009,2009,2009,1104782733,1744019253,125,276,222,237,445,34037
Island View - Laaiplek,2,2,2013,2013,2012,2011,43390753,70828365,967,967,967,967,6,472
Port Elizabeth - Cape Town,152,102,2005,2005,2007,2007,2554287111,3409930465,457,802,597,637,446,34302
Cape Town - Richards Bay,20,17,2009,2010,2014,2014,1170891727,2063830075,935,1930,2185,2288,119,9178
Richards Bay - Congella,51,44,2010,2011,2012,2012,257352886,420367682,128,216,188,191,70,5364
Island View - Saldanha,23,22,2010,2010,2010,2009,560185963,905408535,964,1030,1001,993,67,5152
Salt River - Island View,24,22,2011,2010,2011,2011,503118940,780742060,886,1012,901,894,121,9327
East London - Durban,49,45,2005,2005,2007,2006,828266659,289745842,286,374,313,313,58,4500
East London - Port Elizabeth,219,88,2006,2008,2008,2008,1178154724,950631242,160,197,179,188,313,23845
Island View - Durban,22,13,2008,2004,2007,2006,885501703,1691348604,177,735,1132,1153,91,7034
Port Elizabeth - Richards Bay,76,69,2010,2010,2012,2012,2096807436,3666602534,507,813,859,874,215,16635
Port Elizabeth - Saldanha,65,45,2006,2010,2004,2004,1333940295,2309513325,606,708,803,794,157,12028
Island View - East London,134,81,2009,2009,2009,2010,1655179262,1364619317,294,340,320,328,267,20655
Port Of Ngqura - Cape Town,68,40,2006,2007,2010,2010,1667160635,1965489413,462,476,483,482,258,19867
Cape Town - Mossel Bay,32,18,2005,2003,2003,2007,194656713,197951856,301,640,379,398,90,6874
Mossel Bay - Port Elizabeth,33,13,2006,2004,2005,2007,164182458,215750239,241,476,258,255,49,3805
Durban - Richards Bay,18,15,2001,2003,2014,2015,637831982,1052671188,133,1176,1215,2173,74,5723
Kommetjie - Durban,2,2,2009,2009,2009,2009,62576785,72999734,863,863,863,863,10,746
Salt River - Durban,51,21,2007,2007,2007,2007,1915846949,2248234452,842,1074,857,856,304,23513
Richards Bay - Laaiplek,4,4,2013,2013,2013,2013,131292439,228963064,1054,1058,1057,1057,15,1127
Cape Town - Congella,63,35,2002,2007,2006,2007,951881355,1399797115,844,1840,880,868,190,14522
Port Elizabeth - Kommetjie,2,2,1996,1996,2011,2011,41335146,48831947,613,613,460,460,5,353
Kommetjie - Salt River,5,5,2009,2009,2010,2010,42135592,48298028,324,440,163,164,9,689
Salt River - Port Of Ngqura,119,45,2009,2007,2011,2011,4343757994,5014987501,463,486,492,492,494,38274
Congella - Port Of Ngqura,18,6,1995,2000,1997,1998,143671275,204155344,416,433,427,432,32,2442
Port Elizabeth - Congella,50,35,2007,2010,2010,2010,596349216,959619364,419,444,442,445,80,6162
Kommetjie - St Francis Bay,1,1,2011,2011,2011,2011,506779,320791,1144,1144,1144,1144,1,42
Bottelary - Salt River,5,3,2001,2003,1989,1987,13742358,18009076,259,332,251,267,8,607
Port Elizabeth - St Francis Bay,53,3,1964,1979,1973,1979,17325098,15282420,553,429,491,374,42,3146
Cape Town - Goudiniweg,3,3,1988,1988,1997,2001,20778086,24006727,171,7252,468,301,17,1282
Goudiniweg - St Francis Bay,1,1,1964,1964,1964,1964,227280,172290,776,776,776,776,1,42
Port Elizabeth - Kenton-On-Sea,4,4,1987,1987,1999,2001,7400275,9083287,131,882,73,73,4,269
Kenton-On-Sea - St Francis Bay,1,1,1964,1964,1964,1964,140856,106776,481,481,481,481,0,26
Cape Town - Saldanha,27,23,2003,2005,2010,2011,514779819,922626799,219,1031,870,926,75,5739
Congella - Island View,18,6,2001,2002,2000,2004,16066729,20822285,344,1354,180,144,31,2359
Congella - Durban,25,10,2005,2002,1995,1998,39532447,28680984,147,7811,767,460,61,4608
Richards Bay - Saldanha,43,41,2011,2011,2011,2011,1336725916,2297994266,1049,1072,1074,1075,150,11567
Congella - Saldanha,17,15,2011,2011,2011,2011,415960953,680956550,959,1046,1036,1034,46,3584
Salt River - Saldanha,5,2,1983,1985,1983,1984,10590015,4924092,1178,1279,955,1061,6,434
Mossel Bay - Island View,19,12,2009,2011,2009,2009,283037105,414888707,629,650,678,690,68,5294
Kenton-On-Sea - Port Of Ngqura,4,4,2000,2000,2002,2002,4523217,6859094,84,78,74,74,3,252
Island View - Port Of Ngqura,35,25,2006,2005,2006,2006,544188819,717864661,413,454,445,449,92,7132
East London - Cape Town,29,11,2010,2009,2010,2010,403439547,573767963,589,599,612,618,85,6545
Salt River - Mossel Bay,6,4,2012,2013,2013,2013,40830084,66962779,293,296,300,300,17,1289
Port Of Ngqura - Saldanha,5,4,2007,2008,2008,2009,92464298,148740231,512,978,712,671,14,1039
Kommetjie - Cape Town,7,5,2004,2006,2013,2014,38684621,57556702,153,208,133,125,10,764
Durban - Mossel Bay,1,1,1987,1987,1987,1987,11964138,2021375,578,578,578,578,4,319
Simon'S Town - Durban,2,2,1996,1996,2009,2009,33000452,38886848,915,915,909,909,8,602
Salt River - Congella,13,6,1997,2000,1996,1996,119162559,145976906,843,3761,933,903,38,2897
Cape Town - Salt River,11,10,1998,1998,1998,1999,79751079,74295082,75,3361,178,145,31,2377
Port Of Ngqura - Port Elizabeth,28,10,2009,2010,2011,2011,45888563,63463784,188,214,164,173,142,10636
Kommetjie - Bottelary,2,2,2012,2012,2013,2014,3638915,6143781,1633,1633,38,34,2,147
Bottelary - Cape Town,4,4,1990,1990,2006,2008,54466288,96001294,253,305,441,446,7,555
Richards Bay - East London,22,3,2010,2013,2010,2010,216099648,352046846,366,365,407,407,37,2849
Port Of Ngqura - Mossel Bay,3,3,2006,2006,2006,2006,18734315,30614677,240,236,234,234,8,654
Port Of Ngqura - Paardeneiland,1,1,1997,1997,1997,1997,14298496,18692660,550,550,550,550,2,159
Paardeneiland - Salt River,1,1,1997,1997,1997,1997,3050374,3987804,117,117,117,117,2,188
Richards Bay - Simon'S Town,1,1,2009,2009,2009,2009,27288700,49089570,845,845,845,845,2,130
Pennington - Durban,1,1,2006,2006,2006,2006,36606789,12524114,585,585,585,585,2,178
Cape Town - Laaiplek,6,5,2000,2005,2010,2011,28908032,43464879,273,337,161,165,9,651
Richards Bay - Mossel Bay,7,5,2004,2003,2003,2008,119374612,162783350,695,701,703,707,24,1869
Durban - Saldanha,10,10,2010,2010,2011,2010,259522578,402910567,949,966,950,946,36,2753
Port Nolloth - Cape Town,12,5,1982,1988,1979,1973,6302676,6226787,703,1054,692,617,16,1168
Simon'S Town - Cape Town,1,1,2017,2017,2017,2017,26185924,31554097,1299,1299,1299,1299,3,250
Cape Town - Elands Bay,11,8,2004,2006,2006,2007,31630136,38935497,175,306,214,204,13,1029
Simon'S Town - Congella,1,1,1983,1983,1983,1983,423540,989580,1319,1319,1319,1319,12,869
Goudiniweg - Salt River,6,3,2005,2003,1998,1998,10792240,10450911,256,237,126,121,9,688
Elands Bay - Salt River,8,4,1990,1994,1988,1985,13213278,15359954,243,262,210,225,4,289
Port Of Ngqura - East London,21,7,2004,2006,2003,2003,54541094,74181573,155,178,170,167,22,1633
Mossel Bay - East London,16,3,2008,2007,2007,2007,115076025,181230819,335,361,422,424,24,1814
Elands Bay - Port Of Ngqura,1,1,2016,2016,2016,2016,3537162,2547524,599,599,599,599,1,101
Elands Bay - Saldanha,6,5,2006,2004,2011,2011,40347919,78252746,110,314,98,96,5,361
Laaiplek - Port Of Ngqura,1,1,2012,2012,2012,2012,57115443,67890018,603,603,603,603,8,598
Durban - Port Saint John'S,1,1,2003,2003,2003,2003,5425849,6328469,151,151,151,151,1,70
Port Saint John'S - Port Elizabeth,4,3,1989,1989,1991,1993,37154436,28777102,1436,1116,725,563,8,611
Cape Town - Port Alfred,2,1,1976,1976,1976,1976,3928565,2784823,678,678,678,678,6,475
Salt River - Strand,1,1,2004,2004,2004,2004,6434904,1921891,3432,3432,3432,3432,0,31
Strand - Goudiniweg,2,2,2006,2006,2004,2004,3590689,1079905,980,980,1448,1267,0,24
Island View - Goudiniweg,1,1,1989,1989,1989,1989,3228336,4702387,751,751,751,751,1,102
Laaiplek - Saldanha,2,2,2014,2014,2014,2014,24921317,47050643,216,216,214,214,2,146
Congella - Laaiplek,1,1,2015,2015,2015,2015,23761621,35845154,928,928,928,928,3,201
Port Of Ngqura - Southbroom,1,1,2007,2007,2007,2007,22596875,22913016,314,314,314,314,1,103
Southbroom - Durban,2,2,2008,2008,2008,2008,12387977,13633035,112,112,110,111,2,173
Kenton-On-Sea - Island View,2,2,2006,2006,2007,2007,15344747,23273028,588,588,453,438,3,205
Port Elizabeth - Laaiplek,2,1,1993,1993,1993,1993,101780984,111641060,6944,6944,6944,6944,50,3806
Salt River - Richards Bay,2,1,2016,2016,2016,2016,43967753,71646551,914,914,914,914,5,423
East London - Salt River,5,3,2014,2014,2014,2014,40503128,64226797,572,570,572,572,9,687
East London - Knysna,1,1,2016,2016,2016,2016,17335984,28249419,721,721,721,721,2,129
Knysna - Eastern Cape,1,1,2016,2016,2016,2016,18801568,30637625,781,781,781,781,2,139
Eastern Cape - New Germany,1,1,2016,2016,2016,2016,25255838,41155018,1050,1050,1050,1050,2,186
New Germany - Richards Bay,1,1,2016,2016,2016,2016,7257989,11827074,302,302,302,302,1,95
Kommetjie - Laaiplek,4,3,2012,2012,2013,2013,26294031,50251392,332,544,245,244,3,262
Simon'S Town - Salt River,3,3,2007,2007,2001,2001,2688753,1964005,192,251,471,486,0,33
Salt River - Port Nolloth,2,2,1990,1990,1973,1968,1491229,1870206,1278,1278,722,673,5,345
Durban - Port Edward,1,1,2016,2016,2016,2016,4257019,7020833,108,108,108,108,0,20
Island View - Pennington,3,2,2011,2011,2010,2010,67201535,126445264,137,236,270,269,7,533
Saldanha - Mossel Bay,7,3,1989,1989,1990,1990,41351658,24234953,2562,3173,2850,2984,11,858
Salt River - Laaiplek,3,2,1995,1999,1988,1988,10473048,8631228,2623,2393,4044,4127,9,692
Congella - East London,3,3,1997,1997,2008,2009,18375259,31590317,280,330,282,279,3,201
Congella - St Francis Bay,1,1,2015,2015,2015,2015,13317411,20785557,626,626,626,626,2,177
Sezela - Island View,1,1,1997,1997,1997,1997,213799,89553,67,67,67,67,0,35
Durban - Kenton-On-Sea,1,1,2011,2011,2011,2011,33099951,39395469,372,372,372,372,2,150
Durban - Port Alfred,2,2,2004,2004,2010,2010,33335751,37513044,332,332,337,337,3,202
