dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,1083,174,2007,2007,2009,2009,28859921436,33546958341,437,483,473,474,3835,296447
Service - other,67,16,1999,1998,1997,1999,214988961,148867419,345,778,804,753,103,7747
Chemical tanker,535,109,2010,2009,2010,2010,4309686307,6951552181,350,469,429,430,1321,101555
Liquefied gas tanker,40,14,2010,2011,2011,2011,528023841,613211538,573,834,815,811,155,11896
General cargo,218,63,2006,2006,2008,2008,2500707274,3318621214,439,601,489,496,472,36060
Bulk carrier,436,319,2011,2011,2011,2011,10821653023,19121752166,495,776,725,726,1039,80408
Vehicle,189,111,2008,2008,2008,2008,3425387600,1167253047,277,317,295,292,211,16335
Cruise,62,16,1998,2001,1999,1996,826607050,106129335,278,344,361,371,233,18045
Refrigerated bulk,44,21,1996,1996,1996,1995,274628262,291217589,418,741,646,658,189,14292
Miscellaneous - fishing,200,34,1985,1990,1991,1990,511068598,306181888,993,6525,2845,3053,423,31739
Service - tug,34,17,2005,2009,2003,2003,50620571,41309933,477,607,538,543,60,4561
Oil tanker,112,44,2008,2007,2007,2007,3283082108,6055936429,380,814,845,871,617,47299
Offshore,55,14,1999,2002,2011,2007,186750504,171125133,494,765,511,370,102,7693
Other liquids tankers,1,1,2016,2016,2016,2016,24394791,34649442,884,884,884,884,3,244
