int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Puerto De La Luz/Las,604,434,2002,2003,2008,2009,15674383319,22310337313,1687,2211,2032,2047,3232,245002
Marin,186,139,2004,2004,2009,2009,5537521487,7490579473,1078,2071,2973,2856,986,75749
Cadiz,390,283,2004,2004,2007,2009,9674854854,8502269670,506,1250,898,1666,1903,146517
Santurce,690,406,2007,2006,2010,2010,10465406375,15566087062,751,1280,1469,1636,1800,137968
Valencia,2645,755,2004,2006,2007,2007,141768888765,144250759245,582,1298,1207,1273,17376,1342761
Algeciras,3162,1250,2007,2007,2011,2010,370891177817,442039584720,1424,2090,2691,2619,40616,3128712
Puerto De Sagunto,315,139,2006,2006,2010,2009,16010930579,8236408404,654,1892,1850,1525,1315,101635
Tenerife,496,371,2006,2006,2010,2011,39291186728,53154620925,1514,2172,1981,2855,4532,343940
Las Palmas,2079,1234,2003,2005,2009,2009,149842037164,204168842829,1833,2998,2543,2559,20757,1568568
Huelva,1250,820,2008,2008,2010,2010,73135074831,108837924255,1205,2255,2940,2954,8756,646102
Cartagena,1197,739,2001,2005,2008,2009,57711232628,89040230603,985,1563,2066,2411,7107,537067
Taliarte,24,19,2008,2007,2010,2010,671871828,853037733,1804,4257,2878,2695,119,9090
Tarifa,99,93,2005,2006,2006,2007,5616705042,7762541702,1401,1836,2200,2146,743,54521
Coruna,581,400,2005,2005,2010,2011,12012225544,15522304459,777,1231,1147,1544,1937,147678
Palmones,791,632,2008,2007,2010,2010,60884462266,104988015242,1483,2092,2826,2911,6678,510019
Rota,131,124,2007,2008,2010,2010,6817932706,10316738411,1833,1649,1603,1667,707,53787
Bilbao,1307,707,2006,2008,2008,2009,59127238953,86439692156,766,1591,2312,2677,7713,563619
Tarragona,888,650,2005,2006,2009,2009,41342643092,64686053432,1387,1952,2118,2358,5465,421420
Sagunto,461,277,2003,2004,2007,2008,13454021021,11458415249,894,1616,2012,2072,1569,117020
Santa Eulalia Del Rio,18,17,2004,2005,2003,2003,1034481487,1118412974,1014,1783,1629,2156,116,8984
Palma De Mallorca,349,137,2001,2001,2006,2003,10663480714,2773708803,428,954,473,757,2015,155849
Santander,1193,520,2005,2006,2007,2008,20054221933,13024673757,683,991,805,1058,3107,237197
El Grao,60,57,2005,2005,2008,2008,1722009650,2756029254,1252,1592,1807,1804,247,18804
Barcelona,4684,1462,2005,2006,2009,2009,236172934905,199621835716,404,1479,1126,1518,30006,2261629
La Linea De La Conce,335,294,2008,2008,2010,2010,17834299503,27722133283,1172,1854,2153,2170,2086,157064
Cadaques,21,15,2007,2007,2007,2007,340595076,412101919,2092,1282,1518,1297,128,9845
Velez,45,42,2006,2007,2006,2006,2171280603,3051991494,597,1453,1437,1329,227,17550
San Cristobal,1184,986,2009,2009,2011,2011,129942772117,231511693041,2751,3114,3472,3557,10753,831235
Villagarcia,94,73,2005,2005,2006,2006,885818086,1341980585,1238,1480,1523,1535,197,15001
Ceuta,2059,1358,2006,2006,2009,2010,50915630157,82730436251,1428,1831,2240,2300,6941,533838
Carreira Aguino,73,55,2003,2003,2001,2004,1254780724,928967000,1055,1727,1331,1540,220,16901
San Ciprian,188,161,2004,2004,2010,2010,5262523858,9383765304,903,1558,2325,2345,622,47902
Musel Arnao,687,428,2005,2007,2010,2010,30096816543,55188514245,706,1504,2644,2884,2506,192886
Aviles,483,362,2005,2005,2010,2010,9300578374,15026407220,954,1542,2389,2523,1332,102263
Melilla,279,184,2002,2004,2007,2010,4102123896,5541576994,607,1235,1217,1588,704,53907
Sanxenxo,34,30,2004,2004,2003,2004,388591726,510897288,1149,2040,2346,2241,99,7570
Alicante,290,148,2001,2002,2009,2009,3525570118,2418319128,354,1029,692,868,748,57528
Pasajes,150,123,2003,2003,2006,2006,613200976,848036491,825,1023,1070,1099,180,13614
Sestao/Bilbao,38,36,2003,2003,2005,2005,114734682,167767988,830,986,1042,1037,36,2714
Pasai San Pedro,127,90,2000,2000,2002,2003,554288784,570508147,887,1324,1189,1221,168,12704
Santa Uxia Ribeira,30,22,1982,1985,1997,2001,210802736,282963506,2103,4018,2520,2430,162,12188
Vigo,795,312,2002,2002,2006,2007,25781399315,14819844706,694,2107,1368,1404,3205,246204
Castellon,689,390,2003,2005,2008,2009,19995018545,32601495659,921,1568,1736,1904,3022,233057
Malpica (Malpica De Bergantinos),40,38,2005,2005,2010,2009,2264170367,3704549374,651,1495,3665,4068,183,13197
Carino,79,56,2005,2005,2003,2004,834115752,1308353897,756,1372,1667,1667,147,11265
Roquetas De Mar,26,26,2005,2005,2009,2008,614447181,710518709,1364,1204,1063,1053,84,6160
Motril,597,211,2001,2005,2008,2008,5979703058,7393056318,139,1535,798,1095,1083,83377
Garrucha,209,158,2007,2007,2006,2006,3313204476,5454565169,561,843,958,962,422,32523
Algorta,110,100,2003,2003,2009,2010,2481909340,2238323695,630,988,826,1825,422,32452
Arrecife,125,48,1998,1999,2004,2003,3894389954,842309694,312,830,524,838,813,62929
Puerto Del Rosario,42,36,2001,2002,2008,2008,1464692343,1056344567,719,1058,863,1344,258,19523
Sevilla,165,139,2003,2003,2004,2005,640644756,847854021,832,1005,918,982,200,15253
Chipiona,347,292,2005,2005,2009,2008,3925025541,5341049443,1140,1220,1515,1477,645,47873
El Astillero,17,17,2001,2001,1997,1996,176698277,106280848,861,1008,1225,1160,87,6579
Conil,254,182,2005,2004,2007,2007,6881000614,10175478741,430,1008,1209,1311,972,74654
Renteria,126,100,2001,2002,2006,2006,630864571,878697258,841,1143,1311,1317,190,14402
Carboneras,113,98,2004,2006,2010,2010,8103773330,15350064829,973,1666,2917,3108,623,48026
Santa Ponsa,12,12,2000,2000,2002,2002,206543826,337498127,2086,1713,2078,2125,38,2907
San Andres,183,158,2003,2005,2008,2009,23260959573,34846374100,1794,2584,3073,3283,2195,159241
Vilanova,33,29,2000,2002,2006,2007,243691682,391018651,587,1045,1312,1596,39,2990
Almeria,182,91,1993,2003,1997,2003,1571635134,1694659167,384,1140,648,1145,386,29482
Moraira,42,38,2002,2003,2016,2016,9722994708,10671352101,1422,3363,14723,12510,430,33260
Bermeo,92,68,2002,2002,2012,2013,680868365,1210971979,1020,1448,1772,1939,136,10287
Foz,8,8,2007,2007,2012,2012,90951345,119998817,769,791,703,727,14,1100
Banyeres Del Penedes,186,158,2004,2005,2006,2007,4529960261,5914368551,893,1459,1537,1785,613,47223
Arinaga,22,22,2007,2007,2010,2009,576267949,807096323,1074,2232,2387,2243,86,6563
Coria Del Rio,101,85,2003,2004,2003,2005,498843792,659647797,1322,1264,1123,1246,150,11472
Campanillas,34,34,2005,2005,2012,2012,2693794935,3135404869,1353,1659,2693,2394,268,20721
Darbo,233,131,2002,2003,2005,2006,10961388892,5096551273,902,2831,2123,1953,1116,85716
Las Hormigas,20,19,2007,2007,2004,2005,445826788,598608140,297,1220,824,861,54,4156
El Ferrol,361,256,2005,2006,2009,2009,9723981309,9759974135,781,1200,2104,1986,1643,114518
Corcubion,84,80,2004,2003,2004,2005,491899565,658733331,935,1063,1085,1126,103,7879
Ribadeo,71,58,2003,2002,2005,2005,298549264,399183652,603,653,837,805,56,4260
Castro-Urdiales,31,31,2008,2008,2009,2009,2401661814,4335750338,877,1865,2480,2518,231,17823
La Palma,53,29,2004,1999,2006,2005,1608917571,179302098,249,801,411,504,374,28905
Cillero,99,50,1999,1999,2002,2004,172410981,196555107,1375,1701,1174,1017,183,13769
Malaga,488,289,2002,2003,2007,2008,13995373661,12262484276,554,1093,768,1119,2263,174859
Ares,106,99,2007,2007,2010,2010,7303128005,13580342066,853,1686,4439,4843,613,47217
Arguineguin,23,11,1979,1983,1988,1987,165048968,196240142,357,1059,1519,1306,26,2017
Santurtz,1,1,1977,1977,1977,1977,214866,179139,503,503,503,503,4,314
Vallcarca,9,8,2002,2002,2008,2008,759854513,816033295,704,1376,2277,2609,78,6037
El Port,5,5,1981,1981,2006,2007,153875068,179066164,799,1693,2894,2431,22,1671
Salou,36,33,2007,2008,2011,2011,1835395783,3029630042,1815,2203,2761,2924,236,18090
Puerto De Gandia,72,64,2004,2004,2005,2005,930897968,1348812171,2069,1728,1952,2020,198,15172
Adra,14,14,2008,2008,2012,2012,3001597962,3558296854,1729,2662,4405,3866,264,20440
Lezo,289,171,2002,2003,2000,2003,1882852712,1413574069,753,1017,845,970,392,29817
Alcudia,72,28,2000,1997,2000,2000,621379646,311196554,487,2208,550,1068,213,16399
Mataro,8,8,2011,2011,2011,2011,112353261,120088976,407,488,361,404,12,890
Burela,36,27,2001,2003,2009,2010,441689817,704220232,1749,2243,1283,1306,102,7715
Cangas,44,31,1998,1998,2002,1997,890916071,444893498,2413,6838,2622,1964,268,20250
La Guardia,25,25,2002,2002,2004,2005,161925630,156210358,362,1101,434,373,33,2532
Torrevieja,42,40,2004,2005,2009,2009,334987791,436493482,567,929,998,980,66,5029
Las Noras De Daza,5,5,2004,2004,2008,2008,26710542,37214842,430,767,496,512,5,362
Bueu,30,25,2004,2004,2004,2004,1264342782,1473120983,1247,1874,3065,3436,244,18818
Malgrat De Mar,5,5,1995,1995,2005,2000,15742868,10154572,251,819,299,405,6,459
Domayo,19,18,1997,1997,1992,1993,245648072,235433938,1738,3315,1586,1636,133,9931
Ibiza,54,27,2004,1999,2008,2007,2234967032,243644365,588,939,615,656,500,38655
La Gomera,4,4,2001,2001,2008,2003,25637162,3758773,258,230,247,251,6,499
Javea,62,59,2004,2004,2006,2006,1558490768,2106858754,1458,2040,2353,2239,265,20378
Puebla De Sancho Perez,2,1,1970,1970,1970,1970,143341,113505,324,324,324,324,1,60
El Masnou,2,2,2006,2006,2001,2001,16129089,20782442,205,205,251,229,4,276
Premia De Mar,15,15,2006,2006,2009,2011,361358090,446819848,388,685,614,767,43,3327
Torredembarra,14,14,1999,1999,2006,2006,414501598,623544224,1191,1312,1569,1884,43,3350
A Baiuca,94,88,2006,2006,2010,2010,2267363574,3747320139,777,1653,2267,2273,299,22996
Belmonte,1,1,2007,2007,2007,2007,288196,414738,114,114,114,114,0,6
San Adrian De Besos,18,17,2006,2006,2007,2007,612113989,667297251,460,1425,942,1109,75,5796
Cedeira,22,20,2004,2004,2007,2004,267180792,216397820,1097,1283,843,794,62,4735
Catoira,1,1,2005,2005,2005,2005,3557911,5296186,707,707,707,707,1,82
Trebujena,22,14,2003,2007,2005,2006,122045626,165719123,1329,1586,1038,1186,36,2723
Baiona,117,91,2003,2003,2006,2005,3859101840,2517437024,814,1893,1918,1651,471,36175
Aguilas,11,11,2003,2003,2009,2009,381627838,285196094,1194,1655,1918,1413,44,3366
Sanguineda,3,3,2002,2002,2010,2010,40850416,58446376,108,676,504,645,6,426
Formentera,22,22,1999,1999,1998,1999,91583455,94603247,848,2599,670,770,75,5679
Barallobre,32,24,2009,2008,2010,2010,559306128,809120300,965,1592,1476,1745,146,11083
Sant Josep De Sa Tal,18,18,2000,2000,2001,2001,116724528,151221805,852,1083,1168,1149,32,2420
Grove,6,6,2006,2006,2010,2010,70438092,114785742,1267,1400,1293,1296,12,907
Fuenterrabia,9,7,2002,2005,2009,2006,19395437,7575695,231,552,242,265,11,832
Lastres,5,5,2010,2010,2010,2010,82284737,34378150,565,441,518,390,7,559
Palamos,29,20,2004,2002,2004,2005,680839058,896087784,279,1212,858,2771,92,7096
Rotova,3,3,2002,2002,2005,2005,278055504,305567497,18,1421,2396,2269,45,3458
Isla De Arosa,17,15,2004,2004,2002,2002,146449157,234043466,1498,1456,1840,1882,35,2705
Isla Cristina,6,6,2003,2003,2002,2003,60298674,82467192,416,777,558,573,11,808
Barbate De Franco,14,14,2005,2005,2004,2004,258608034,316508799,1100,1629,1485,1441,68,5175
Oropesa Del Mar,41,37,2002,2002,2003,2003,828013059,1381447588,684,921,1399,1576,109,8440
Burriana,13,11,1989,1990,2004,2004,24917198,32952786,509,629,880,937,29,2218
San Feliu De Guixols,7,7,1993,1993,1995,2000,64742445,49996029,1002,1116,898,1366,20,1505
Peniscola,5,5,2001,2001,2003,2003,16026210,23018216,474,495,489,486,3,237
Gijon,7,7,2007,2007,2006,2005,138597912,176839726,739,1119,1286,1413,26,2016
Playa Den Bossa,2,2,2011,2011,2011,2010,1799141,1903519,533,533,500,465,2,120
Portals Nous,3,3,2007,2007,2008,2008,10143607,15648617,791,1292,323,303,3,246
Santona,7,7,2005,2005,2009,2006,69386415,49709591,332,592,602,398,7,546
Porto Do Son,6,5,1995,1996,2004,2006,10752998,11963283,684,825,917,935,8,606
