dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Service - tug,27,14,2001,2007,2003,1998,26218022,25114420,353,1598,889,827,37,2791
Container,27,19,2003,2003,2002,2002,168605688,216124954,151,194,230,239,40,3034
Oil tanker,86,23,1992,1999,2002,2003,510700265,913980422,386,487,419,413,391,29591
General cargo,119,10,1999,2003,1999,1999,710581257,1103588303,296,460,771,740,195,14900
Liquefied gas tanker,9,9,2003,2003,1996,1997,57472299,72213173,252,251,268,280,16,1221
Cruise,16,8,2001,1999,1998,1998,64494606,7419666,132,188,186,181,17,1337
Bulk carrier,47,29,2009,2008,2010,2010,792561425,1372013154,270,521,647,649,73,5608
Offshore,12,3,2007,2000,2010,2010,37932543,18992464,196,242,297,361,17,1286
Chemical tanker,18,15,2008,2008,2008,2008,404133152,667971687,526,600,893,893,87,6692
Vehicle,10,10,2003,2003,2004,2004,92666897,30852630,163,171,171,171,8,612
Service - other,8,6,2004,2007,1995,1994,29457922,22018338,232,756,926,1097,17,1269
Miscellaneous - fishing,2,1,2017,2017,2017,2017,9498065,2593295,1233,1233,1233,1233,2,170
