int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,3579,695,2006,2007,2010,2010,557214039960,608744201401,1453,2696,2778,2693,58352,4512853
Oil tanker,491,401,2007,2007,2008,2008,129997139965,245468470209,1936,3252,3494,3520,8772,678859
Bulk carrier,1011,717,2008,2009,2009,2009,95067769757,169457764953,1878,3083,3088,3133,7511,581352
Chemical tanker,332,228,2007,2008,2008,2008,15671710531,25722672780,1718,2430,2403,2406,2497,192845
Vehicle,255,161,2007,2007,2008,2008,29216552077,9728322338,1845,2086,2064,2058,1821,141039
Liquefied gas tanker,258,124,2009,2008,2009,2008,14463031190,15891316630,1780,2759,2652,2652,1988,148061
General cargo,198,153,2002,2003,2003,2003,5834153960,7444404316,1588,2318,2145,2137,1007,77312
Service - tug,88,70,2004,2007,2010,2009,265004317,215872718,1423,1859,2384,2309,209,15798
Miscellaneous - fishing,9,8,2002,2001,2002,1991,92725291,55890131,4323,7789,6890,9567,50,3736
Service - other,42,37,2003,2002,2003,2005,2968109621,3001631782,3883,6702,9465,10365,717,54777
Ro-Ro,5,1,1994,1994,1994,1994,154815980,49612004,2921,2921,2287,2287,26,2044
Cruise,58,44,2001,2001,2002,2001,3933393116,447714898,898,1234,1200,1178,877,67937
Offshore,27,27,2012,2012,2014,2014,856434589,576920661,1933,2789,2530,2617,262,19867
Ferry-RoPax,1,1,1990,1990,1990,1990,116178417,26736445,4390,4390,4390,4390,41,3105
Refrigerated bulk,3,3,1991,1991,1992,1992,63810166,68213984,7388,6002,4329,4288,47,3596
Other liquids tankers,1,1,2009,2009,2009,2009,48135046,54447788,1557,1557,1557,1557,7,517
