port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Varberg - Stora Jatterson,62,18,2003,2004,2002,2002,69707697,100489434,325,366,365,364,26,1986
Karehamn - Lulea,1,1,2014,2014,2014,2014,24973176,46321165,608,608,608,608,3,189
Stockholm - Fejan,8,5,1994,1997,1992,1999,20662743,3689033,65,75,84,70,4,277
Varberg - Solvesborg,3,3,1993,1993,1993,1993,3553888,5461149,536,498,516,510,1,89
Varberg - Surte,5,2,1974,1982,1971,1971,1507676,1973906,157,154,228,218,1,66
Slite - Malmo,83,13,1996,1998,1992,1995,144546884,206764739,316,315,350,346,46,3274
Malmo - Varberg,7,4,2006,2000,2006,2007,2636300,4396514,99,154,111,109,1,80
Lilla Korno - Brofjorden,37,31,2008,2008,2008,2009,98566246,151413275,164,202,180,179,18,1338
Kalmarsand - Ljusne,4,4,2011,2011,2011,2011,13335931,19752422,434,499,499,500,5,384
Ljusne - Foto,12,8,2005,2006,2006,2006,126558421,201298886,796,793,882,886,20,1531
Aspero - Lilla Edet,7,6,1994,1995,1998,1998,6927210,9733121,461,543,553,548,2,173
Norrkoping - Landsort,14,13,1997,1998,2001,2002,7677305,10965194,59,113,92,93,4,309
Landsort - Vasteras,39,30,2000,2000,1998,1999,20042126,26552309,98,121,135,131,10,739
Ahus - Norrkoping,44,8,1997,1993,1998,1998,62022289,84106449,281,396,303,303,28,2097
Helsingborg - Branno,6,5,2002,2002,2002,2002,9011340,11131525,119,119,120,119,3,237
Helsingborg - Langedrag,118,13,2004,2004,2003,2003,212702896,258466920,116,166,119,119,63,4702
Helsingborg - Helsingborg,12,4,2006,2007,2006,2006,93006500,106598143,737,802,783,782,27,2035
Helsingborg - Goteborg,47,25,2006,2005,2007,2007,32227767,47017724,117,132,131,131,22,1634
Helsingborg - Aspero,22,17,2004,2004,2005,2005,21352201,26637901,114,129,123,120,10,778
Norrkoping - Stockholm,85,20,1985,1998,2004,2004,96178091,113174927,148,152,154,153,32,2386
Helsingborg - Klintehamn,3,3,1994,1994,1991,1992,3889106,5686501,423,630,565,547,1,90
Falkenberg - Foto,6,6,2002,2002,2004,2004,1801110,2886726,62,66,73,72,4,322
Foto - Trollhattan,9,6,2005,2003,2005,2005,3420228,5016166,50,80,148,137,1,79
Malmo - Stockholm,10,8,1995,1998,1994,2001,71219080,41684986,444,600,517,565,19,1422
Stockholm - Karlshamn,4,3,1996,1995,1998,1998,4016097,5857022,323,330,325,325,2,186
Trollhattan - Aspero,101,43,2000,2001,2002,2002,52366126,81652865,47,118,224,217,20,1510
Kalvo - Vanersborg,7,6,1989,1993,1993,1997,2718176,2827997,66,309,293,220,2,183
Hasselosund - Ronnang,6,2,1995,2000,2001,2002,728005,273680,121,318,159,161,2,183
Lilla Edet - Honsater,9,8,2003,2002,2002,2002,9517365,15144164,333,436,413,388,3,208
