int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cruise,673,87,2002,1997,2007,2005,8903150906,935336005,156,301,272,264,2482,186332
Chemical tanker,3231,637,2006,2007,2008,2008,22197732925,34596680815,499,749,728,745,5981,447603
General cargo,8291,1315,2000,2002,2004,2004,23690406335,33133602610,477,761,766,759,6356,479000
Bulk carrier,818,497,2007,2009,2011,2011,24135731669,41931716335,575,1292,1331,1356,2311,175595
Liquefied gas tanker,652,107,2006,2009,2011,2011,7817975707,7616766201,561,1107,1200,1147,1448,105782
Ferry-RoPax,11945,92,1996,1993,1996,1996,76621475286,14516104416,138,333,199,186,15610,1166669
Oil tanker,1083,303,2004,2008,2009,2009,34915021781,62988208579,320,1378,1332,1375,4260,322956
Vehicle,655,141,2004,2007,2008,2008,15802582750,5548594835,542,885,735,738,1381,103079
Service - tug,716,124,1990,1990,1992,1993,114090677,62166315,146,522,230,264,301,22580
Container,1559,166,2005,2006,2008,2007,14250375363,15963792929,453,505,500,498,2714,203859
Miscellaneous - fishing,537,93,1989,1987,1994,1997,207000639,156956354,205,526,668,568,296,22228
Ferry-pax only,54,45,1973,1975,1936,1914,14768259,4292142,174,1097,1094,1161,109,8169
Refrigerated bulk,66,42,1996,1994,1998,1997,736262614,790490493,822,1035,1307,1354,338,25494
Offshore,110,54,2002,2003,2010,2009,234414135,176193102,244,514,542,541,229,17169
Service - other,209,89,1993,1992,2001,2002,229125073,166680452,224,1275,401,424,264,19738
Ro-Ro,1645,55,2000,2001,2002,2001,19077302766,9319552130,527,488,465,471,3780,283891
Other liquids tankers,3,1,2016,2016,2016,2016,47804087,67899123,583,583,577,577,9,653
