int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,203,95,1984,1983,1991,1989,1083127982,1439882262,881,1308,1337,1325,318,24257
Container,234,38,2002,2002,2002,2002,1307679447,1658215251,258,369,306,308,282,21675
Bulk carrier,40,29,1995,1999,2004,2005,1902247404,3102934793,1273,2214,2533,2579,219,16898
Ro-Ro,31,6,1988,1994,1997,1996,214578939,180147451,345,1102,1097,1088,72,5523
Vehicle,13,6,2001,2000,2001,2000,102473608,35512521,148,292,223,235,10,783
Chemical tanker,13,11,2004,2005,2010,2010,38448595,55920247,636,747,758,756,23,1722
Liquefied gas tanker,2,2,1991,1991,1990,1990,13503035,16003188,1684,1684,1734,1725,5,411
Oil tanker,3,3,2009,2009,2009,2009,108269048,189133262,674,893,1266,1289,10,792
Offshore,1,1,2006,2006,2006,2006,740056,604921,637,637,637,637,1,41
Ferry-RoPax,1,1,1980,1980,1980,1980,222311,39103,128,128,128,128,0,22
