port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Ban Prakop Customs House - Ranong,3,3,1995,1995,1997,1996,17644653,26379159,893,963,925,920,4,307
Kantang Harbor - Krabi,2,2,2006,2006,1996,1996,18244652,31503389,393,393,668,671,2,133
Bongkot Terminal - Nh Prosperity,3,3,2007,2007,2007,2007,17507700,28505428,1072,887,975,1018,3,225
Map Ta Phut - Phra Khanong,261,71,1999,2001,2005,2004,303718363,440766167,155,424,405,392,193,14613
Phuket - Ranong,2,2,2011,2011,2013,2015,3643113,1844161,309,309,176,154,1,105
Ranong - Ban Talat Takua Pa,7,4,2012,2013,2012,2015,19225250,8581665,303,271,407,301,8,635
Phuket - Ban Talat Takua Pa,7,5,2004,2004,2004,1999,71782983,32336264,1153,7405,3818,1329,47,3563
Ko Si Chang Terminal - Sattahip,64,50,2003,2004,2008,2008,301662986,513700978,187,406,335,350,91,6958
Songkhla Harbor - Ranong,2,2,2005,2005,1997,1996,21229031,31099698,3800,3800,1327,1272,9,648
Nh Prosperity - Rayong,92,37,1991,1993,1997,1996,94083737,152487620,280,440,482,479,63,4779
Rayong - Bangpoomai,76,40,1995,1996,1999,1999,136624417,222278532,303,909,743,731,76,5722
Bangpoomai - Siam Seaport,54,38,1995,1996,1997,1998,93867190,140483613,386,966,547,591,81,6118
Siam Seaport - Rayong,245,70,1995,1994,1997,1996,340715503,518989293,314,854,503,515,313,23669
Nh Prosperity - Map Ta Phut,380,85,1993,1998,2000,2000,560848669,899919786,275,535,591,618,248,18792
Rayong - T S Transport And Logistics,18,14,1999,2000,2005,2003,25038503,37370799,270,381,378,378,14,1095
T S Transport And Logistics - Unithai Container Terminal,76,46,1997,1996,2000,2000,141540717,214357674,457,737,506,499,100,7578
Unithai Container Terminal - Siam Seaport,187,70,1994,1997,2000,2000,222977845,318494063,200,598,332,344,183,13829
Rayong - Unithai Container Terminal,147,34,1994,1995,1994,1994,122559251,216537815,247,380,483,502,162,12217
Bangpoomai - Map Ta Phut,199,77,1999,1999,2002,2002,324269122,507819685,375,890,582,570,196,14848
Map Ta Phut - Siamgas And Petrochemicals,152,43,1992,2001,1997,1997,155385480,249977355,154,307,283,276,70,5293
Map Ta Phut - Bangkok,213,98,2001,2004,2006,2005,353553941,558974445,186,453,368,358,174,13256
Siamgas And Petrochemicals - Nh Prosperity,32,26,1996,1997,1998,1999,84900778,130364738,162,457,703,693,32,2415
Siamgas And Petrochemicals - Siam Seaport,30,18,1991,1991,1990,1990,38713388,58361038,220,615,305,326,124,9348
Rayong - Petchburi Terminal,51,17,1994,1991,1995,1995,19699155,35776212,206,343,302,319,22,1629
Unithai Container Terminal - Nh Prosperity,87,50,1995,1995,1996,1997,224016199,346578642,289,1131,1039,1099,152,11446
Nh Prosperity - Siam Seaport,135,63,1995,1995,2004,2004,413435815,656507569,500,1066,1124,1217,261,19700
Siam Seaport - Map Ta Phut,802,133,1995,2000,2003,2003,2209931107,3554240708,377,654,689,705,1005,76245
Siamgas And Petrochemicals - Ko Si Chang Terminal,13,13,2004,2004,2001,2001,71013935,112070937,349,625,554,561,19,1440
Khlong Yai - Laem Chabang,11,11,2010,2010,2012,2011,141530614,190127981,767,844,663,721,20,1505
Kantang Harbor - Sathun,7,5,2010,2009,1991,1990,485287,652167,47,110,207,243,1,41
Nakhon Si Thammarat - T S Transport And Logistics,1,1,2000,2000,2000,2000,7365049,776695,261,261,261,261,3,222
Siam Bangkok Port - Siam Seaport,83,35,1999,1998,2002,2003,85220351,109701411,80,197,122,122,92,6900
Phra Khanong - Siam Seaport,377,118,1998,2002,2004,2004,285127656,375692094,73,136,96,97,270,20307
Sattahip - Bangkok,41,26,2000,2003,2003,2003,77192606,121030934,490,745,544,529,36,2748
Erawan Terminal - Songkhla Harbor,262,30,2012,2010,2010,2010,384182656,320813767,526,1747,969,990,371,27863
Songkhla Harbor - Bongkot Terminal,67,11,2013,2007,2012,2011,67117192,52377307,178,741,506,514,54,4029
Map Ta Phut - Sattahip,121,43,1993,1995,2000,1999,543658044,861056998,1095,1952,1898,1851,307,23219
Sattahip - Siam Seaport,60,35,1993,1994,1992,1991,195414764,321305689,1203,1614,1817,1923,129,9676
Map Ta Phut - Rayong,281,66,1994,1996,2001,2001,879656583,1380299879,814,1035,1424,1393,486,36851
Map Ta Phut - Petchburi Terminal,156,25,1992,1993,1994,1995,89156665,121754987,244,715,519,505,91,6866
Map Ta Phut - Si Racha Terminal,293,117,1999,2000,2004,2004,2199736827,3692597162,410,898,968,963,567,43407
Map Ta Phut - Unithai Container Terminal,362,80,1998,1999,2000,2000,283381767,465649728,192,718,394,402,328,24719
Unithai Container Terminal - Siamgas And Petrochemicals,41,22,1997,1995,2002,2002,70866230,103855002,502,655,699,696,38,2883
