dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,1228,288,2003,2006,2004,2004,2527698486,3557634054,243,421,449,445,739,55959
Bulk carrier,385,265,2009,2009,2009,2009,4757854539,7991687805,288,585,602,607,535,41243
Chemical tanker,1231,205,2002,2006,2005,2004,2799731836,4295027356,248,317,457,449,1583,120292
Service - other,24,6,2000,1992,2005,2002,91307776,23947624,1250,793,1657,819,82,6185
Refrigerated bulk,33,25,1986,1987,1985,1985,330882662,406279960,1037,2703,2225,2301,626,47207
Offshore,237,32,2011,2009,2009,2008,185639574,105889469,776,2918,762,600,417,31343
Service - tug,645,113,2009,2009,2010,2010,895511162,775663982,392,957,1014,1064,626,47005
Cruise,25,16,2001,2002,2003,2003,285074309,32735800,226,254,214,212,86,6675
Container,2150,216,2008,2007,2006,2006,6761905360,8097891888,77,254,197,188,1786,135939
Miscellaneous - fishing,13,5,1994,1997,1991,1991,41338960,25088287,1015,5877,2345,1913,44,3368
Oil tanker,5242,173,1998,2000,2002,2002,16426288716,28301027328,357,1002,713,705,7110,539620
Liquefied gas tanker,2462,56,1987,1989,1987,1987,1976198802,2204595906,376,970,746,747,2744,206778
Vehicle,6,6,2007,2007,2002,2002,327108994,102235068,912,1332,1240,1223,22,1718
Ferry-RoPax,4,3,1983,1983,1984,1985,64477855,39407716,9409,12945,3308,7718,85,6370
Ferry-pax only,4,2,1992,1992,1992,1992,8427746,653444,3516,3516,4189,4189,10,736
