dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,6,5,2008,2007,2009,2009,60726519,113133989,200,207,273,277,10,736
Ferry-RoPax,127,4,2004,1996,2002,2003,373528888,42025933,245,236,591,621,251,18844
Chemical tanker,68,14,2008,2006,2008,2007,80786769,123715294,173,191,203,199,117,8812
Service - tug,304,22,2004,1999,2008,2008,116543403,105589527,173,760,558,583,143,10772
General cargo,57,15,1974,1993,1990,1989,12814324,19244462,102,103,117,118,10,726
Ferry-pax only,6,2,2010,2010,2010,2010,14949186,1063999,1829,5868,4433,4433,25,1888
Liquefied gas tanker,25,17,2009,2009,2013,2013,811537096,818766148,72,1387,481,572,118,8784
Oil tanker,127,14,2009,2007,2009,2009,199076895,314342659,154,212,196,191,192,14503
Offshore,416,46,2007,2006,2010,2009,516869769,623395161,360,1168,926,1019,782,58718
Container,24,13,2002,2004,1997,1997,931595148,1064094425,41,740,1593,1584,151,11678
Service - other,73,14,2006,2006,2003,2003,304104815,171292776,531,1139,1364,1361,132,10022
Cruise,5,4,1990,1989,2005,2003,18820335,1813041,105,104,106,105,7,503
Ro-Ro,547,1,1988,1988,1988,1988,987119014,484238667,85,85,90,90,197,15271
