int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,472,157,1997,2003,2003,2003,5063605382,7052578635,509,1446,1352,1364,975,74738
Liquefied gas tanker,568,137,2009,2010,2009,2009,105179937501,91866656213,2283,3489,3773,3676,12570,814408
Vehicle,99,61,2007,2007,2007,2007,5968800797,2013025813,463,1460,1292,1336,366,28356
Bulk carrier,358,258,2008,2010,2011,2011,25156005293,45536401313,1460,1906,2129,2178,2168,167604
Cruise,69,28,2001,1994,2005,2004,1808796831,173728119,216,468,365,378,359,27806
Offshore,231,96,2005,2008,2011,2010,2336400729,1968017130,634,2199,2982,2587,1017,76216
Service - tug,86,45,1993,1999,2004,2005,101445008,88976454,485,1656,958,1027,182,13723
Oil tanker,334,165,2005,2007,2009,2009,38080506998,71190228966,664,2306,2902,2957,3653,282107
Chemical tanker,590,238,2009,2009,2009,2009,22723305315,36259749594,1501,2186,2350,2342,3982,306783
Ferry-RoPax,151,7,1970,1983,1977,1973,28593358,6183686,127,809,185,171,82,6160
Container,863,71,2008,2007,2006,2006,9175303424,11044599616,469,809,782,760,2040,156852
Ferry-pax only,3,3,2006,2006,2000,2000,2280996,244929,213,4255,1764,2483,9,644
Service - other,42,30,2006,2005,2009,2009,734835799,474060469,2176,4593,3401,3168,297,22523
Miscellaneous - fishing,13,2,1962,1978,1993,1988,1998825,1149639,175,1167,681,505,7,521
Refrigerated bulk,4,3,1996,1997,1998,1998,80714132,87099407,2381,2699,2090,2161,34,2562
Ro-Ro,5,3,2001,1992,2013,2012,55010101,28199042,743,359,599,598,11,857
Other liquids tankers,1,1,2014,2014,2014,2014,66633047,92488359,2359,2359,2359,2359,6,431
