int_dep_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,358,258,2008,2010,2010,2010,44429562965,81509658741,1455,3091,3760,3899,3276,253366
Offshore,231,96,2005,2008,2010,2009,3046630297,2703225004,560,2322,3888,3554,1055,77807
Chemical tanker,590,238,2009,2009,2007,2007,28468649914,45674045464,1197,2994,2944,2950,4570,350806
Oil tanker,334,165,2005,2007,2010,2010,56618063736,106977256884,620,3280,4314,4444,4948,382212
Vehicle,99,61,2007,2007,2007,2007,7465478304,2434779940,772,1819,1616,1616,466,36087
Liquefied gas tanker,568,137,2009,2010,2009,2009,124260251950,107742348221,2326,4127,4458,4311,16432,1041004
Ferry-RoPax,151,7,1970,1983,1972,1970,25653754,5628935,169,164,166,156,101,7601
Service - tug,86,45,1993,1999,2008,2008,202579885,175161101,450,2110,1913,2023,175,13201
Container,864,71,2008,2007,2006,2006,7820011486,9641038548,443,664,666,662,1683,129282
General cargo,472,157,1997,2003,2000,2001,7610509959,10444951643,487,1936,2031,2020,1255,96252
Cruise,69,28,2001,1994,2003,2002,1570535673,143996665,174,508,317,313,342,26485
Ferry-pax only,3,3,2006,2006,2010,2010,7558017,539090,722,4523,5845,5464,22,1632
Service - other,42,30,2006,2005,2009,2009,630301239,469910071,1073,1975,2917,3140,194,14708
Miscellaneous - fishing,13,2,1962,1978,1990,1985,1745431,1033267,181,979,595,454,7,517
Refrigerated bulk,4,3,1996,1997,1995,1995,78629498,80677580,1532,1719,2036,2001,44,3319
Ro-Ro,5,3,2001,1992,2011,2010,23316451,12165000,299,261,254,258,5,408
Other liquids tankers,1,1,2014,2014,2014,2014,32997945,45801984,1168,1168,1168,1168,2,167
