port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bizerte - Sousse,46,28,2001,2001,2000,2000,87427897,112157017,176,191,206,203,55,4144
Sousse - Sfax,104,56,1999,2000,2001,2001,165861574,206090196,202,501,272,263,75,5699
Menzel Bourguiba - Sfax,2,2,2008,2008,2015,2015,48822322,43504687,21141,21141,8486,6033,33,2450
Gabes - Djerba,5,4,1993,1993,2005,2005,7639158,11808030,195,190,284,283,2,126
Djerba - Ashtart Oil Terminal,1,1,1995,1995,1995,1995,255086,383135,53,53,53,53,0,3
Gabes - Bizerte,4,4,1998,1998,2000,1999,10206411,13482240,360,374,362,360,5,411
Sousse - Al Hammamat,11,5,2006,2006,2008,2008,4412413,3776640,486,531,456,442,11,835
La Goulette - Rades,13,12,2001,2001,2004,2004,4910275,3457687,23,29,28,33,41,3055
Sfax - Gabes,20,19,1996,1996,1993,1992,23150045,35603121,153,231,226,240,7,533
Gabes - Ashtart Oil Terminal,11,11,2004,2004,2006,2005,41840279,67895787,250,309,326,339,6,454
Skhira - Zarzis,6,5,2003,2003,2002,2002,39381809,67024496,174,236,262,265,12,917
Rades - Zarzis,3,3,1995,1995,1998,1994,11657296,5221371,423,383,305,391,3,265
Bizerte - La Goulette,6,5,1998,2001,2004,2004,4256114,5150002,101,398,91,84,8,577
Kelibia - Tazerka Oil Terminal,7,4,1979,1982,1997,1997,8674693,10679612,148,303,530,571,3,194
Ashtart Oil Terminal - Sfax,280,19,1999,2002,2009,2009,205471075,244792288,105,460,346,347,100,7550
Kelibia - Sousse,7,7,1994,1994,2005,2006,8178702,12060192,183,376,430,469,2,164
Ariana - Kelibia,2,2,1981,1981,1992,1992,2428555,3920282,125,125,174,175,0,22
Sousse - Gabes,16,15,1999,1999,2000,2000,16276285,22999643,252,284,279,286,5,365
Tabarka - Bizerte,9,9,2003,2003,2007,2007,106044592,154860064,548,782,919,964,16,1242
Bizerte - Sfax,30,29,2002,2001,1994,1992,99964479,154792688,345,501,485,506,29,2189
Sousse - Zarzis,8,8,1995,1995,1995,1995,9286794,13198088,257,350,346,347,3,257
Sfax - Zarzis,23,18,1992,1995,1999,1999,17567571,22713253,167,239,238,232,7,531
Zarzis - Kelibia,2,2,1996,1996,1997,1997,2706283,3282981,277,277,286,285,1,52
Ashtart Oil Terminal - Zarzis,8,3,2002,1999,2007,2008,2622919,2723006,123,111,146,148,2,132
Sfax - Rades,20,15,2004,2001,2005,2004,43014830,55016835,326,376,363,376,15,1146
Skhira - Bizerte,18,16,2007,2007,2008,2008,258251477,453648395,375,386,383,383,72,5534
La Goulette - Zarzis,15,9,2005,2006,2002,2005,195555441,146884445,400,493,616,472,45,3464
Zarzis - Bizerte,7,7,2004,2004,2005,2005,19435204,28559584,334,401,370,367,5,370
Skhira - Didon Terminal,2,2,2007,2007,2007,2007,6312107,10959746,86,86,77,75,5,384
Tabarka - Sousse,2,2,1998,1998,2001,2001,10048208,12338287,422,422,549,537,2,125
Al Hammamat - Kelibia,2,1,2003,2003,2003,2003,73232,80416,116,116,116,116,0,14
Al Hammamat - Tebourba,3,2,2002,2002,2002,2002,51964,43927,52,54,55,54,0,23
Al Hammamat - Mahdia,1,1,1997,1997,1997,1997,26848,33425,108,108,108,108,0,32
Bizerte - Soliman,3,3,1984,1984,1987,1987,1001326,1118307,95,109,113,113,0,22
Sousse - Menzel Bourguiba,5,5,2006,2006,2012,2011,9530574,10403322,213,1015,401,346,10,776
Al Marsa - Zarzis,1,1,2006,2006,2006,2006,19747864,30825326,890,890,890,890,4,289
Sousse - Ashtart Oil Terminal,3,3,1991,1991,1988,1989,3230001,3596337,491,1635,807,588,6,479
Sousse - Rades,5,4,2006,2003,2009,2008,5759045,6555131,158,191,187,184,4,320
Sfax - Kelibia,4,4,2001,2001,2005,2004,11068162,14341226,252,364,451,421,5,360
Kelibia - Al Marsa,1,1,2009,2009,2009,2009,781554,1278127,136,136,136,136,0,13
Rades - Al Marsa,7,6,2002,2002,2006,2002,3695235,2937819,27,55,31,44,7,518
Al Marsa - Bizerte,10,8,1999,2002,2008,2004,4079228,3283425,109,222,124,86,13,943
Gabes - Rades,18,8,2004,2002,2007,2007,30906549,39684398,328,369,359,354,14,1061
