dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,69,33,2001,2002,2002,2002,201135066,247147449,212,278,283,279,104,7916
General cargo,271,163,1997,1997,1999,1999,348320605,495984655,221,292,288,293,130,9854
Service - tug,357,20,1996,1998,2003,2003,100599351,93129713,104,364,234,213,83,6265
Ferry-RoPax,16,5,2002,2004,2005,2012,204685978,77626417,246,2967,537,1208,130,9852
Bulk carrier,32,28,2004,2004,2006,2006,233663115,365181013,183,418,427,423,34,2596
Liquefied gas tanker,14,9,2012,2011,2013,2013,36794386,42450731,359,333,326,334,21,1559
Chemical tanker,46,32,2004,2005,2005,2005,280612990,453141722,349,374,360,359,86,6659
Miscellaneous - fishing,37,12,1988,1989,1986,1986,17973500,25865638,455,1193,1980,2596,30,2234
Offshore,77,5,2010,2001,2001,1996,145108820,177744537,235,487,450,444,73,5506
Oil tanker,40,22,2010,2009,2009,2009,281107481,466492902,330,392,370,370,76,5827
Service - other,16,6,1993,1994,2000,1990,3507119,3184175,139,242,212,178,12,901
Refrigerated bulk,1,1,1997,1997,1997,1997,5076120,5493461,572,572,572,572,3,215
Ro-Ro,21,3,1995,1997,1993,1993,35670034,34068212,192,102,144,164,28,2161
Vehicle,1,1,2016,2016,2016,2016,1501653,431966,20,20,20,20,0,26
Ferry-pax only,1,1,1988,1988,1988,1988,5005,528,12,12,12,12,0,6
