int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Sfax,462,336,2000,2000,2004,2005,5400243779,8126428543,875,1300,1363,1404,1188,90805
Bizerte,460,358,2003,2004,2007,2007,6955464847,10226509026,730,1037,1155,1114,1320,99420
Sousse,456,285,2000,2000,2001,2001,1920678554,2602247414,540,831,715,724,664,50552
Menzel Bourguiba,29,28,2002,2002,2002,2003,166279500,183644414,570,759,708,700,109,8288
Skhira,152,129,2007,2007,2009,2009,4948407882,8418403221,873,1159,1157,1160,820,63334
Rades,1000,273,2000,2005,2004,2006,12095881823,9770415920,473,993,653,795,2658,204355
Gabes,268,196,2002,2002,2010,2010,4092213627,6356740447,857,1283,1622,1677,671,51474
Zarzis,148,110,2000,2000,2003,2003,849809940,932429290,675,737,867,805,223,17049
Didon Terminal,82,32,2004,2002,2008,2008,1014717699,1770389221,222,568,750,756,95,7314
La Goulette,761,121,2003,2005,2004,2005,11209726734,3696519051,461,722,476,576,2621,201889
Al Marsa,23,20,2003,2003,2010,2011,200805626,259643480,487,651,628,835,32,2440
Ashtart Oil Terminal,36,36,2002,2002,2004,2004,553370844,828192164,764,1166,1009,982,113,8710
Ksibet El Mediouni,3,3,1995,1995,2006,2006,21215553,23918215,374,275,363,353,6,434
Kelibia,59,53,1994,1994,2007,2008,328845223,536249842,526,598,850,992,52,3972
Jarjis,7,7,2002,2002,2014,2012,635457351,632846698,1317,2035,2072,1357,47,3618
Ariana,2,2,1992,1992,2013,2013,8197736,12798272,214,214,362,363,0,25
Soliman,15,14,2004,2005,2006,2006,100277575,141523057,655,795,821,844,21,1617
Al Hammamat,12,9,2003,2003,2007,2007,40980631,43506214,556,912,1155,1129,23,1769
Chebba,3,3,2008,2008,2008,2008,14384863,21339730,482,928,667,661,3,222
Tabarka,15,14,2003,2003,2004,2004,140746449,188364819,645,804,760,758,29,2199
Tebourba,11,7,1988,1994,1995,1994,12985631,16749216,656,823,709,712,7,510
Mahdia,15,8,1990,1988,1985,1984,9867345,14166836,257,1118,691,696,15,1136
Tazerka Oil Terminal,16,14,1994,1998,2002,2003,352893802,565902697,785,1265,1330,1278,44,3400
Tunis,4,4,2001,2001,2011,2011,186498598,201610245,234,540,1496,1479,22,1673
Borj Cedria,12,12,2001,2001,2010,2011,97546352,158484711,777,764,924,942,16,1232
Monastir,19,6,1985,1990,1993,1993,13168398,16485677,540,534,482,476,9,650
Mahires,2,2,2006,2006,2002,2002,83822754,136122898,2297,2297,2173,2183,7,574
Djerba,1,1,1976,1976,1976,1976,1738286,2863277,924,924,924,924,0,28
