int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,355,96,2001,2001,2002,2002,2037106442,2490712818,399,527,563,564,993,75243
Chemical tanker,363,253,2006,2007,2008,2008,6121233797,9910312893,771,1081,1012,1020,1445,111268
Bulk carrier,353,294,2006,2007,2009,2009,11697375539,19088556575,1073,1589,1660,1657,1399,107838
General cargo,1118,594,1999,2000,2004,2004,5063735660,7193783597,700,917,934,937,1409,107479
Offshore,20,16,2008,2008,2005,2000,61277971,67727438,571,1192,631,550,50,3798
Service - tug,92,38,2003,1997,2005,2004,37602082,30936729,203,576,339,336,48,3628
Ferry-RoPax,706,25,2000,1999,2001,2001,9710016239,1760939494,452,587,427,413,2479,190875
Vehicle,77,46,2009,2008,2010,2010,3403730089,1087248217,805,995,952,953,224,17334
Liquefied gas tanker,127,35,2009,2010,2010,2010,2017491389,2001335452,750,1147,1642,1511,460,33088
Oil tanker,133,78,2009,2008,2008,2008,4337881549,7748872146,544,996,944,953,529,40863
Refrigerated bulk,29,20,1994,1993,1993,1992,767462178,864876184,1396,4028,4105,4156,331,25196
Ro-Ro,616,28,1998,2000,2001,2000,6156291744,3596478910,478,845,514,511,1367,105869
Miscellaneous - fishing,63,21,1989,1992,1988,1988,16760587,22300228,551,1285,680,717,62,4652
Ferry-pax only,2,2,2000,2000,2009,2011,122246,33244,153,153,152,208,1,66
Service - other,19,10,1988,1999,1996,1982,28139893,20380671,995,1175,1001,841,20,1490
