int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Yesilkoy,3420,2134,2004,2005,2008,2008,43826924478,74069255121,457,530,538,540,7393,569919
Gelibolu,1686,1279,2003,2003,2009,2009,119248414120,214258483372,1029,1925,2676,2768,12457,962256
Karabiga,1181,831,2008,2008,2010,2010,133210030796,243094838864,1202,2269,2604,2646,12963,1002533
Bakirkoy,3331,1900,2004,2004,2008,2008,58290142704,98370584720,478,900,964,970,9196,707750
Dortyol,176,135,2002,2002,2008,2008,6410437590,8529042626,1005,1536,1846,1757,931,71374
Mersin,1545,596,1992,1999,2003,2004,18853847062,21205301902,361,1131,1022,1098,3536,271940
Nemrut,1824,955,2002,2002,2007,2007,45393207203,56912416774,732,1135,1246,1220,6850,519494
Yalova Town,88,87,2002,2001,2007,2007,970965298,1544253449,418,563,478,481,165,12657
Imroz,451,418,2002,2003,2007,2008,11050277156,18307861492,675,1178,1293,1319,1450,111655
Canakkale,1699,1203,2000,2000,2006,2006,45819848338,71470725652,892,1472,1893,2129,5976,459947
Izmir,836,338,2004,2002,2007,2007,17780567345,14375805715,632,1011,864,754,2689,207308
Isdemir,478,380,2000,2002,2009,2010,13756803158,24406289755,826,1445,1690,1705,1315,101340
Toros Gubre,234,134,1997,2004,2009,2009,3548424322,5941120043,385,1046,1271,1314,477,36722
Diliskelesi,539,353,2001,2001,2006,2006,4082255189,5791267959,462,793,815,887,850,65024
Ambarli,2045,993,2004,2004,2007,2008,33256030364,43306322978,465,551,635,605,5463,421193
Tuzla,379,359,1997,1997,2000,2002,3013654507,3858392133,468,706,715,629,1017,77590
Borusan Fertilizer Jetty,662,276,2004,2003,2006,2006,27897117083,19077455098,892,1124,1566,1554,2905,224061
Limas,134,83,2005,2004,2007,2007,5325199024,2208503232,1080,1081,1251,1200,454,35085
Derince,365,278,2004,2004,2008,2007,16069741006,10009207596,1163,1674,1897,1988,1494,114979
Bostanci,596,516,2003,2003,2008,2009,7719971649,13167568828,457,481,523,531,1093,84347
Kartal,1007,558,1992,1994,2003,2004,3834243240,6288656807,417,442,481,491,758,57942
Mersin-Free Zone,1200,324,1999,2001,2008,2007,36089218340,40491683295,466,754,842,831,4293,331958
Yilport,528,391,2000,2000,2005,2005,5069643150,8294814628,481,835,1062,1099,878,67227
Bodrum,35,28,1992,1989,2000,1999,379285591,536228530,484,781,831,1602,62,4733
Bartin,232,173,1993,1994,2003,2003,663581864,1024692219,297,425,433,429,166,12705
Sinop,263,196,1988,1989,2004,2008,714234363,1413078203,233,312,518,617,141,10649
Zeytinburnu,6783,2192,1996,1998,2006,2007,86508790285,144322777276,465,1244,1503,1585,11617,892476
