port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
St Croix - St Thomas,254,26,2000,1998,2003,2004,116728366,137100506,62,97,75,75,73,5445
Cruz Bay - Christiansted,9,3,1979,1980,1979,1975,328001,378645,78,96,121,126,2,127
Christiansted - St Thomas,127,10,2000,1990,2012,2012,43738610,45701603,84,114,140,138,59,4437
Frederiksted - St Thomas,14,9,2004,2003,2006,2006,131039473,18929076,123,165,156,163,29,2187
Port Alucroix - St Thomas,21,11,2000,1998,1995,1995,56896624,84472605,70,358,519,569,28,2133
Christiansted - St Croix,13,4,1984,1998,2002,2005,5710810,9521591,144,102,93,88,8,578
St Thomas - Cruz Bay,3,2,1969,1971,1972,1969,119019,70940,90,123,106,130,1,49
Port Alucroix - St Croix,4,4,1989,1989,2005,2008,6772871,10256658,259,839,147,132,8,623
St Croix - Frederiksted,9,9,1998,1998,2004,2005,30692700,50206876,281,720,321,314,27,2046
Port Alucroix - Christiansted,4,3,1986,1990,1989,1992,305885,284527,138,215,89,69,2,130
Frederiksted - Christiansted,2,2,1994,1994,2013,2014,1100372,1126057,187,187,277,288,1,63
Frederiksted - Port Alucroix,2,2,2006,2006,2005,2005,38928,33986,62,62,64,66,0,7
St Thomas - Charlotte Amalie,2,1,2000,2000,2000,2000,54010,18534,83,83,83,83,1,45
