int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Miscellaneous - fishing,466,306,1982,1978,1994,1994,391404438,245683304,135,1897,1379,1409,1040,78113
Bulk carrier,8729,3611,2004,2010,2011,2011,876308833159,1552665299738,1998,3871,3229,3292,69549,5352592
Oil tanker,3627,1171,2008,2009,2010,2010,788817674486,1472805441476,2099,4040,3888,3958,77255,5925350
General cargo,3523,851,2003,2006,2007,2007,121503996117,169739814216,1157,3120,3009,2996,19397,1487293
Chemical tanker,5354,1329,2010,2010,2010,2010,314723045934,518186546079,1712,3000,2488,2486,47259,3626423
Vehicle,1965,500,2007,2007,2007,2007,391225341087,132785778825,3343,3187,3391,3409,23798,1835619
Service - tug,2573,1008,1984,1988,1989,1992,1013489211,763728859,223,656,796,810,3089,232035
Container,8524,1238,2007,2008,2009,2009,1852732337261,2027371605023,1560,4252,4081,4012,226886,17498434
Liquefied gas tanker,1851,445,2011,2012,2014,2014,458243801292,444052078696,2663,5471,5633,5503,47064,3271987
Offshore,873,481,2000,2003,2013,2011,9312849053,9739861116,195,1712,2548,2459,3893,285426
Ro-Ro,1328,67,1996,2000,2008,2006,17496226875,10504324339,238,1720,1645,1451,2892,220051
Cruise,4478,183,2002,2002,2006,2005,269474646056,25365189776,550,769,641,638,56020,4289572
Refrigerated bulk,456,105,1996,1994,1996,1996,12334940953,12777647113,2116,3609,2569,2722,5339,406723
Service - other,345,185,1991,1992,1985,1984,3452035614,2501639951,243,1523,2626,2731,1466,111017
Ferry-RoPax,207,71,1986,1987,1988,1982,781759098,134207719,186,1850,577,494,698,52411
Ferry-pax only,106,56,1994,1996,2000,2001,369431825,48862292,743,12025,3533,2120,657,49301
Other liquids tankers,47,13,2007,2006,2006,2005,5050184205,6231234644,5072,5163,5287,5271,1157,89026
