int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Kerch,6755,1266,1992,1992,1996,1996,10124094061,13281409694,366,423,397,401,3213,242788
Mykolayiv,352,317,2004,2004,2009,2009,3827909406,6502640230,446,547,617,626,615,47237
Yuzhny,1973,1252,2002,2003,2008,2008,21154066857,35604254927,380,505,555,563,2745,211262
Odessa,1060,594,2003,2003,2008,2007,9245510509,13959883912,376,473,423,446,1694,129938
Massandra,66,56,1985,1986,1988,1988,67675513,77049380,204,308,236,233,18,1401
Illichivsk,1386,679,1995,2003,2000,2005,13622348794,16974291789,368,540,513,559,2700,206998
Kherson,491,209,1989,1991,1991,1991,944126645,1240056336,460,503,570,555,357,26882
Mariupol,234,181,1992,1992,2000,2000,934770255,1306735850,131,475,659,638,230,17688
Oktyabrsk,233,194,1998,2000,2004,2004,1702996874,2752427020,430,537,588,590,275,21096
Izmail,107,90,1990,1990,1992,1992,73728415,100031791,63,235,203,203,157,11782
Dneprobugsky,161,143,2002,2004,2006,2006,1851154321,3013740862,427,651,669,667,269,20722
Nikolaev,50,42,1992,1991,2000,2001,125204261,201723420,450,402,416,421,34,2570
Sevastopol,256,91,1982,1985,1984,1984,304014545,387412933,245,445,611,655,591,44439
Reni,212,119,1992,1993,1994,1993,208823598,301815329,93,213,236,230,129,9758
Vylkove,73,54,1987,1989,1987,1989,97885379,102408919,178,343,415,324,24,1787
Kiliya,11,11,1990,1990,1992,1993,15048167,20256199,326,331,369,361,4,295
Yalta,94,73,1984,1986,1987,1989,208547078,260833250,331,652,500,537,80,6038
Nova Kakhovka,3,3,2000,2000,1993,1993,5663138,8095049,481,848,1045,1126,2,115
Belgorod Dnestrovsky,86,33,1979,1980,1979,1979,74422818,95890822,347,366,361,359,34,2528
Ust-Dunaisk,39,28,1986,1987,1988,1988,43182767,57139045,298,336,350,352,12,889
Berdyansk,63,51,1995,1994,1997,1997,130495238,191124800,182,344,417,414,39,2986
Skadovs'K,2,2,1978,1978,1981,1981,6288650,10844029,1593,1593,1442,1573,9,641
