int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,7533,1359,1990,1993,1995,1995,12599369250,17027796335,370,428,423,426,3352,254197
Chemical tanker,1065,301,2006,2007,2007,2007,4166807556,6491225930,385,493,523,536,1656,126201
Bulk carrier,2275,1299,2004,2008,2008,2008,33949678000,58989648515,411,587,595,598,3706,286131
Container,551,117,2004,2005,2005,2005,6471546429,7762101700,376,363,353,352,1072,82633
Oil tanker,824,170,2001,1998,2004,2004,1622944718,2500310376,247,486,382,399,1089,81994
Miscellaneous - fishing,173,30,1984,1985,1989,1990,164519887,125294073,303,419,1017,1053,169,12720
Service - other,37,31,1987,1987,1985,1984,156528044,214469563,129,701,2549,3521,141,10646
Service - tug,286,102,1990,1993,1993,1994,39212932,23229281,197,425,358,415,169,12671
Cruise,16,4,1975,1984,1977,1977,21269126,5173490,211,1316,206,218,203,15229
Offshore,17,5,1985,1989,2009,2009,16172321,17137270,101,898,1378,1145,44,3320
Refrigerated bulk,9,8,1992,1991,1992,1992,18634595,20357231,376,374,382,383,20,1507
Ferry-RoPax,554,13,1990,1991,1986,1985,3185492950,1231842157,328,533,401,382,931,70880
Ro-Ro,85,12,1980,1982,1980,1980,646858307,437944333,536,565,599,594,246,18798
Vehicle,56,6,1992,1996,2003,2001,384922398,113765399,367,362,398,392,60,4606
Liquefied gas tanker,218,36,2002,2003,2008,2008,1319765147,1489127950,397,532,471,471,352,26888
Ferry-pax only,8,5,1988,1989,1989,1989,4235626,641982,2659,3587,2380,2767,19,1419
