port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Free Port - Jebel Ali Free Zone,35,29,2007,2008,2006,2006,97504976,121314134,148,338,210,203,59,4473
Jebel Ali Free Zone - Mina Rashid Port,105,48,2011,2008,2011,2010,32787788,34577655,181,331,140,123,112,8432
Mina Rashid Port - Musaffah,7,6,2007,2006,2009,2010,1474856,1470596,224,430,295,313,5,369
Musaffah - Abu Al Bukhoosh,1097,85,2010,2010,2010,2010,397999586,360479273,134,211,227,226,329,24730
Abu Al Bukhoosh - Zirku,102,38,2012,2010,2012,2012,14466133,14010709,65,101,85,85,13,960
Zirku - Musaffah,2434,140,2011,2009,2011,2011,752538114,769513930,126,324,219,220,1065,79992
Musaffah - Zirkuh Petroleum Port,1160,92,2010,2010,2011,2011,354215864,336458628,138,253,202,196,345,25893
Zirkuh Petroleum Port - Mina Zayed/Abu Dhabi,633,87,2011,2010,2011,2011,210204655,196847905,140,296,202,201,303,22730
Mina Zayed/Abu Dhabi - Musaffah,298,131,2008,2008,2009,2008,391359162,413889634,463,1204,1073,1110,853,64022
Abu Al Bukhoosh - Mina Zayed/Abu Dhabi,665,101,2011,2010,2011,2011,216205860,185742668,142,214,168,164,306,22971
Mina Zayed/Abu Dhabi - Free Port,44,31,2008,2009,2011,2008,221328816,55391692,108,335,555,350,83,6374
Free Port - Mina Rashid Port,53,35,1998,2006,2004,2001,91091914,66570369,243,667,486,382,96,7270
Khor Fakkan - Ruwais,239,149,2010,2009,2010,2010,7382747985,9599665443,410,616,746,696,870,67149
Free Port - Ruwais,42,36,2008,2008,2008,2008,429751884,705208807,242,286,276,300,91,7028
Khor Fakkan - Sharjah,86,53,1994,1995,1999,1998,665020704,1042171215,269,752,618,643,406,31045
Arzanah - Ruwais,4,4,2011,2011,2013,2013,13875983,17154913,190,215,252,218,3,224
Fujairah - Ruwais,506,399,2010,2010,2007,2007,16412326894,30071668063,411,515,689,704,1621,125534
