dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,5425,253,2010,2003,2008,2006,2654023962,2361760293,130,808,254,245,3898,292731
Liquefied gas tanker,387,153,2006,2007,2004,2006,15130625163,13888061932,389,580,746,740,1994,139541
Oil tanker,2831,875,2004,2006,2006,2006,82790668378,154207924938,311,481,650,657,12254,944056
Chemical tanker,1490,427,2007,2008,2007,2007,9982238892,16034695325,279,365,440,436,3101,237164
Service - tug,7418,468,2007,2006,2008,2007,1829839912,1588082135,145,345,266,264,2561,192373
Bulk carrier,1249,756,2009,2009,2008,2008,12964126924,22651630689,238,314,319,317,1282,99164
Ro-Ro,1827,106,2010,2006,1993,1998,1621661276,1263390722,128,556,600,460,2761,208143
Container,2320,230,2003,2006,2006,2006,14839988900,17607794474,206,249,274,275,2948,226532
Service - other,409,61,2007,2005,2005,2005,513739655,601272653,203,810,628,731,453,34067
General cargo,585,243,2003,2003,2000,2000,1869929021,2549964576,211,317,387,385,459,34921
Vehicle,31,27,2007,2008,2008,2007,250625884,84189273,166,157,146,150,23,1785
Ferry-RoPax,121,10,2008,2004,2009,2009,286200904,45941459,769,3175,1817,1845,535,40186
Cruise,184,25,2009,2004,2010,2010,5336899362,529079314,179,217,326,340,1573,121689
Other liquids tankers,30,1,1994,1994,1994,1994,4099416,6481082,238,238,351,351,22,1738
Refrigerated bulk,3,2,1997,2000,1997,1997,9139457,8942881,263,250,259,260,7,504
Ferry-pax only,4,2,1988,1993,1985,1984,1272185,617675,2153,1980,1529,2686,12,906
