int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Bulk carrier,4082,1867,2007,2009,2009,2009,220957688445,395150760847,616,1655,1595,1609,18250,1413016
Chemical tanker,3060,918,2008,2008,2009,2009,92276592197,150236080229,795,1483,1540,1544,14579,1125046
Offshore,770,403,2000,2003,2005,2003,5399351086,5781524682,275,1016,1536,1822,2127,160182
Vehicle,425,216,2006,2007,2008,2007,22752029943,7725310435,450,920,963,972,1481,114603
Liquefied gas tanker,1337,381,2006,2008,2005,2006,189516184653,179364896410,1719,2836,3311,3149,22312,1538275
Oil tanker,7020,1868,2006,2007,2008,2008,1725575070282,3270150429763,1371,2543,2870,2887,103309,7998025
Container,4251,634,2005,2007,2010,2010,524176436236,564696606738,897,2155,2085,2018,51775,4007855
General cargo,2138,588,1999,2002,2005,2005,26950780116,35888465149,514,1492,1410,1374,4804,368599
Service - tug,2511,631,2005,2006,2006,2005,1000199547,850915056,238,930,474,466,1571,118043
Ro-Ro,1203,142,2006,2005,2002,2002,3510398004,2404894735,138,822,827,722,2282,172757
Service - other,196,104,2005,2005,2005,2006,738635743,759922257,327,1453,1218,1409,538,40653
Ferry-pax only,22,4,2002,1994,1997,1992,2320084,295747,165,461,209,275,7,552
Ferry-RoPax,285,15,1996,2001,1997,1994,458100323,81368838,187,1576,436,311,492,36976
Miscellaneous - fishing,21,8,1981,1983,1997,1997,15531387,13261880,54,886,642,525,19,1435
Cruise,124,37,2008,2003,2008,2007,5670032729,574959415,341,653,520,553,1670,129340
Refrigerated bulk,56,10,2005,1999,2006,2006,1389731077,1310206904,515,1191,1879,1863,490,37453
Other liquids tankers,6,2,1969,1969,1990,1989,2381148,3878089,128,178,903,756,9,687
