port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Blyth - Withernsea,5,5,2014,2014,2014,2014,7860307,4867194,133,132,132,132,4,327
Withernsea - Tees,39,25,2009,2009,2011,2011,415955326,751199612,116,204,199,201,359,26959
Withernsea - Caister On Sea,6,4,2009,2006,2014,2014,26132787,25705822,965,733,850,1002,10,726
Caister On Sea - Blyth,4,3,2008,2007,2013,2012,15119991,9796166,232,767,459,453,12,895
Blyth - Claonaig,5,3,1990,1989,2003,2004,9005795,4753480,263,515,304,285,6,464
Blyth - Leith,2,2,2012,2012,2012,2012,1532738,876644,114,114,109,110,1,82
Leith - Braefoot,42,7,1992,2001,1998,1998,2767002,1520050,82,68,72,69,13,961
Braefoot - Blyth,2,2,2014,2014,2014,2014,3044945,1807347,121,121,121,121,3,227
Blyth - Sompting,2,1,2012,2012,2012,2012,11550776,6390723,456,456,456,456,8,614
Caister On Sea - Cromer,3,2,2014,2014,2015,2015,3839280,2681436,242,456,231,273,3,194
Cromer - Blyth,3,3,2007,2007,2008,2007,9239162,7187540,269,463,399,429,4,293
Blyth - Newbiggin By The Sea,8,3,1996,2002,2011,2011,3630092,1971912,135,117,138,137,4,285
Blyth - Peterhead,5,4,2005,2004,2011,2011,22911871,13634137,149,306,595,484,13,986
Peterhead - Staxigoe,34,14,2005,2004,2009,2009,63122296,41779624,208,521,356,301,29,2153
Staxigoe - Nigg,35,9,2009,2003,2011,2011,40966368,22384582,56,115,64,64,24,1810
Blyth - Aberdeen,22,6,2001,2005,2003,2002,29402752,34865807,137,558,320,260,16,1183
Cove (Aberdeen) - Buchan,4,4,1998,1998,2005,2005,40912182,74891110,82,170,290,292,5,411
Portbury - Belfast,28,22,2010,2009,2010,2010,48119545,70906033,321,328,336,338,19,1458
Belfast - Liverpool,1465,98,2005,2004,2006,2006,5395085359,1629277095,142,170,160,161,1282,98526
Broadstairs - Thames,97,82,2008,2008,2010,2010,387433117,445946844,76,98,85,85,73,5447
Fawley - Immingham,22,20,2008,2007,2013,2013,213459015,329870809,369,472,624,609,86,6454
Withernsea - Grimsby,21,12,1989,1998,2005,2008,35376816,51083355,365,500,200,195,29,2198
Grimsby - Fawley,2,2,2012,2012,2013,2013,279957547,427134583,1846,1846,1874,1859,30,2285
Fawley - Upton,5,5,2008,2008,2008,2008,32690609,58379749,111,125,129,130,32,2414
North Roe To Hillswick - Dulas Bay,1,1,2006,2006,2006,2006,61855026,108197075,924,924,924,924,13,985
Dulas Bay - Tranmere,51,42,2007,2007,2008,2008,168418071,303877110,57,84,61,61,154,11950
Broadstairs - Tilbury,257,186,2004,2005,2007,2006,201938202,236071653,55,64,63,65,108,8117
Sompting - Itchen,8,7,2004,2003,2012,2011,13136714,5138058,65,69,58,61,3,233
Orford - Thames,235,164,2010,2010,2011,2011,1115193117,1331567336,59,72,66,68,230,17298
Eastham - Newport,6,6,1999,1999,2000,2000,4889900,7300381,317,317,316,316,2,132
Tilbury - Leith,1,1,1994,1994,1994,1994,983634,1494753,402,402,402,402,0,18
Port William - Ardgour,1,1,1994,1994,1994,1994,424428,644972,174,174,174,174,0,9
Londonderry - Camusnagaul,2,2,1991,1991,1993,1993,1028329,1557444,259,259,312,313,0,18
Ilfracombe - Cardiff,7,7,1999,1999,1999,1999,8700747,13455022,403,428,317,328,4,275
Cardiff - Belfast,17,7,1998,1998,1998,1997,21360849,32511654,299,318,319,320,6,482
Belfast - Newport,64,55,2002,2002,2004,2004,70623112,107249160,318,336,334,334,18,1397
Ilfracombe - Lynton,4,4,2009,2009,2010,2010,14882316,23059352,89,221,110,98,3,200
Lynton - Pen-Clawdd,1,1,2015,2015,2015,2015,3625459,6724634,88,88,88,88,1,87
Pen-Clawdd - Port Talbot,3,3,2013,2013,2014,2013,18139463,33649468,100,112,101,100,3,254
Kyle Of Lochalsh - Lismore Island,1,1,1989,1989,1989,1989,236556,75611,540,540,540,540,10,765
Lismore Island - Campbeltown,1,1,1989,1989,1989,1989,46786,14954,107,107,107,107,0,10
Campbeltown - Greenock,8,5,1999,1999,2003,2004,618182,390986,73,134,142,147,3,213
Campbeltown - Oban,9,7,1995,1995,1985,1987,20189366,4936737,255,1069,2653,1028,13,953
Oban - Kyle Of Lochalsh,53,18,1993,1999,1983,1998,15524071,5074011,269,310,290,237,47,3551
Oban - Greenock,6,5,2003,2001,2008,2002,12021075,2184794,173,175,176,167,7,514
Liverpool Bay Terminal - Liverpool,34,14,2011,2009,2004,2003,16558843,15510428,107,184,81,74,17,1243
Great Yarmouth - Leith,2,2,1995,1995,1996,1995,5556245,3911668,954,954,516,555,4,312
Leith - Peterhead,2,2,2002,2002,1997,1998,8283512,5507113,497,497,706,596,5,344
Peterhead - Claonaig,9,5,2006,2006,2008,2007,33254834,21822205,262,289,386,390,17,1253
Claonaig - Great Yarmouth,8,5,2007,2007,2004,2006,12033897,10373538,267,347,334,337,8,575
Peterhead - Boddam,22,11,2007,2006,2009,2009,158102069,179799086,711,1250,1755,1755,83,6213
Boddam - Etrick Field,14,12,2002,2004,2005,2007,13556142,9949445,233,260,239,242,6,446
Etrick Field - Fraserburgh,18,6,1997,1995,1994,1993,16769927,11156426,434,1056,770,684,19,1438
Fraserburgh - Cullen,1,1,1997,1997,1997,1997,4368048,2742600,457,457,457,457,2,136
Liverpool - Ravenglass,5,4,2016,2015,2015,2014,1309502,540943,81,200,82,79,2,168
Ravenglass - Barrow-In-Furness,8,5,2014,2014,2014,2014,2245519,529348,691,1870,413,207,10,757
Barrow-In-Furness - Blyth,3,2,2009,2009,2009,2009,17213254,9981612,640,655,672,673,7,506
West Wemyss - Immingham,2,2,2009,2009,2011,2011,9194937,10391447,570,570,565,530,4,290
Wells-Next-The-Sea - Grimsby,65,13,2013,2007,2012,2012,26192207,17637651,136,358,151,157,35,2657
Grimsby - Chapel Saint Leonards,9,6,2008,2010,2007,2010,3882553,1533072,199,774,257,181,7,526
Grimsby - Morston,3,2,2005,2002,2001,1998,3026539,3167185,168,575,284,442,2,124
Grimsby - Skegness,30,8,1983,1995,1998,2001,6541926,3791266,411,725,285,284,25,1908
Portland Uk - Immingham,13,13,2011,2011,2012,2012,213277841,365760724,492,591,524,518,39,2944
Broadstairs - Purfleet,225,121,2006,2006,2006,2006,143569261,203971287,57,71,72,75,122,9201
Belfast - Eastham,32,20,2001,2001,2003,2003,21835534,29364348,155,167,158,157,16,1220
Eastham - Dundee,6,4,2012,2012,2011,2011,26198326,28925057,659,809,802,791,12,927
Glasgow - Eastham,3,3,2008,2008,2009,2008,2491068,3315188,232,233,233,234,1,79
New Holland - Kings Lynn,13,12,2001,2001,2003,2002,3696656,5535469,91,106,107,108,3,195
Lowestoft - Aberdeen,4,4,1999,1999,1990,1988,7078009,6653997,429,869,981,1180,5,351
Aberdeen - Teesport,26,17,2006,2006,2009,2009,75711710,93592409,251,766,921,1007,41,3052
Teesport - Leith,4,4,1994,1994,1988,1989,3194395,4028965,379,414,398,373,2,158
Leith - Whitehills,1,1,1985,1985,1985,1985,330182,358328,151,151,151,151,0,19
Whitehills - Staxigoe,3,2,1986,1986,1987,1987,3488669,2123301,129,349,446,382,1,98
Staxigoe - Balintore,6,2,2008,1999,2013,2013,44059944,34817203,347,284,1404,1372,20,1249
Balintore - Aberdeen,3,3,2000,2000,2011,2011,11439029,6196711,167,2821,2371,1259,12,904
Aberdeen - Claonaig,39,25,2005,2006,2009,2009,75900929,64892771,442,781,524,548,60,4499
Aberdeen - Leith,33,21,2005,2006,2007,2007,56765888,62282092,126,509,585,584,50,3784
Aberdeen - Catterline,233,59,2009,2007,2010,2010,848494532,967843131,485,870,959,996,533,40000
Catterline - Fisherrow/Musselburgh,1,1,1985,1985,1985,1985,199685,216707,92,92,92,92,0,22
Fisherrow/Musselburgh - Largo,1,1,1985,1985,1985,1985,123948,134514,57,57,57,57,0,18
Largo - Aberdeen,4,3,2002,2000,1994,1990,2427384,2144395,172,314,278,302,2,116
Aberdeen - Dunbar,2,2,1996,1996,1996,1990,747340,542954,171,171,171,175,1,59
Dunbar - Gourdon,1,1,1985,1985,1985,1985,149977,162761,69,69,69,69,0,9
Gourdon - Leith,6,4,1994,1999,2001,1997,3929026,2448805,156,370,300,197,4,323
Aberdeen - Port Seton,5,4,1997,1998,2002,2003,2896293,4111715,127,263,204,210,2,174
Port Seton - Catterline,1,1,1985,1985,1985,1985,462677,502117,212,212,212,212,1,48
Catterline - Leith,2,2,1994,1994,2001,1999,889967,624707,210,210,207,168,1,45
Leith - Montrose,7,6,1998,2000,1997,1994,3669748,2815336,76,145,136,137,3,258
Newport - Cardiff,21,8,1993,1999,1998,1998,8924241,11931654,110,234,230,230,6,445
Porthoustock - Southwick,11,10,1990,1990,1990,1991,3379985,4988920,198,200,202,202,1,98
Southwick - Gravesend,1,1,1985,1985,1985,1985,276968,404614,201,201,201,201,0,0
Sunderland - Teesport,5,5,1998,1998,2000,2002,3064070,3612997,274,696,205,244,4,292
Teesport - Tees,50,30,2002,2002,2005,2003,199798785,169541267,318,656,628,343,101,7590
Tees - Sunderland,4,4,1995,1995,2011,2011,24164739,25563270,199,412,932,912,13,990
Broadstairs - Erith,59,40,2000,2001,2001,2001,27447087,42102683,61,106,151,148,14,1040
Hull - Immingham,107,29,2006,2006,2004,2003,37267344,41464845,265,507,342,294,106,7939
Liverpool - Southampton,13,13,2004,2004,2004,2008,101961562,130618171,504,506,521,522,19,1460
