dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Offshore,4912,386,2006,2008,2009,2008,11750869626,11152396619,300,783,598,628,8012,600528
General cargo,7226,1058,1997,2002,2002,2002,5437101338,7682474521,213,270,298,295,1858,140080
Oil tanker,2687,342,2004,2008,2007,2007,21242597932,37573401180,197,306,370,368,6344,478961
Container,1844,355,2004,2008,2008,2008,6114936899,6962451867,183,137,136,138,1401,105998
Vehicle,397,185,2005,2007,2007,2006,4350808690,1440800343,152,236,232,229,347,26316
Bulk carrier,586,253,2002,2008,2002,2003,4942500521,8458684998,222,318,353,352,635,48241
Service - other,6372,198,1998,1999,1998,1997,4162535520,4703947833,127,578,239,203,2776,208512
Liquefied gas tanker,498,112,2008,2008,2010,2010,1776547232,1897905697,342,374,429,437,718,53879
Miscellaneous - fishing,4311,218,1999,1994,2000,2001,1564199070,1103924984,235,602,382,310,1867,140210
Chemical tanker,3389,535,2006,2007,2007,2007,7120790955,10624500552,196,212,230,230,3688,278725
Service - tug,4272,281,2003,2003,2008,2008,2313031379,1582199124,157,396,435,433,2513,188708
Cruise,1106,86,1984,1995,2002,1997,8630756135,966995182,205,241,308,297,2321,176159
Ferry-pax only,201,15,1981,1982,1995,1990,84772690,12393723,384,1681,827,730,138,10411
Ferry-RoPax,3170,69,2001,2000,2002,2002,24971606684,4794168481,183,2193,493,419,8652,657985
Ro-Ro,2157,58,2003,2004,2005,2003,8262854322,3546686754,146,253,258,250,2371,181852
Yacht,8,2,1957,1964,1955,1955,8405600,8972367,284,220,673,669,18,1373
Refrigerated bulk,26,10,1999,1995,1995,1994,37853820,37524412,244,316,290,296,24,1820
Other liquids tankers,34,2,1974,1980,1975,1977,20282848,23569987,1089,971,1571,1455,52,3906
