int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Blyth,153,83,2004,2007,2008,2008,873829073,1058361991,341,984,1000,1058,260,19686
Aberdeen,959,396,2007,2006,2008,2008,2975375706,3075369552,456,1100,785,783,1676,125911
Claonaig,1017,253,2001,2000,2005,2005,1657553400,1930160100,247,585,496,469,793,58559
Dover,607,143,2002,2000,2000,2000,25669776077,10768853430,407,1616,1499,2159,6157,465802
Macduff,25,12,2002,2003,2002,2002,1262134204,2216707321,684,682,785,786,239,17942
Cove (Aberdeen),37,27,2000,2000,2003,2003,484366043,774993877,581,762,525,508,152,11440
Cullen,127,82,2006,2004,2006,2005,865138310,929029303,470,910,735,644,204,15221
Hull,2098,456,2000,2004,2002,2005,10652859130,9384404898,229,918,364,628,2713,204448
Immingham,5471,1132,2006,2006,2010,2010,68194101862,84120078089,255,1224,598,1100,11081,837611
Belfast,941,547,2004,2004,2008,2009,9144193296,12949339756,722,946,938,1227,1872,143103
Portbury,608,279,2006,2008,2008,2009,36353651278,21296075539,935,1734,1528,1821,2809,216799
Thames,945,363,2009,2008,2010,2010,67359164549,79407638741,380,1250,1115,1173,7438,570771
Salthouse,6,5,2005,2003,2012,2011,35198417,41197268,359,807,1410,1448,13,958
Broadstairs,735,487,2005,2005,2010,2009,13141865117,15698146685,195,760,1106,1101,1697,129826
Withernsea,419,297,2002,2002,2008,2008,8592525800,14830360516,594,990,1260,1323,1190,90075
Fawley,842,450,2007,2008,2009,2009,30732779516,51622650321,273,1002,1562,1838,4662,355685
Tranmere,87,82,2007,2007,2010,2010,7876841356,14058820133,1345,2002,2406,2503,897,69192
Tees,937,332,2005,2007,2010,2010,12221830233,15438805513,432,926,947,982,2507,189368
Teesport,1330,420,2004,2005,2006,2006,8858303514,11445523469,636,946,883,911,2619,196093
North Cove,130,110,2006,2008,2012,2012,9456386370,17342503129,659,1369,1681,1717,816,62154
North Roe To Hillswick,7,7,2008,2008,2008,2008,479501949,872826579,1050,1064,1067,1067,39,2924
Liverpool,3117,549,2003,2006,2010,2010,38040067739,40416069283,126,1372,649,1044,5454,418855
Tilbury,2175,502,2003,2004,2007,2007,23491697779,19764620151,183,938,666,706,4735,359229
Sompting,21,18,2005,2005,2009,2010,218585289,154674302,236,534,461,478,23,1702
Felixstowe,2106,350,2005,2008,2013,2013,185889199400,187350452803,131,931,1403,1472,18193,1399150
Orford,438,294,2009,2009,2010,2010,17555297782,23113892565,304,1079,798,874,2095,158820
Purfleet,1402,133,2004,2005,2006,2008,5603234802,3716724781,126,604,176,258,1039,78560
Eastham,320,155,2005,2005,2007,2007,1576670281,2251417899,732,828,815,820,599,45395
Brightlingsea,13,13,1997,1997,1999,1999,14243379,20059479,267,543,477,474,5,370
Fleetwood,16,14,1996,1997,2015,2015,234656903,338785460,1041,1104,2037,2597,33,2543
Port William,3,3,1996,1996,1996,1996,17966816,26503836,1909,2003,1994,1963,5,384
Londonderry,183,162,2004,2004,2006,2007,983886453,1479677936,796,891,763,755,229,17434
Ilfracombe,54,51,2006,2006,2009,2011,3019642071,2530085639,1163,1507,1691,2082,233,17925
Flushing,262,236,2005,2006,2009,2010,13162537280,18229226286,493,1589,1896,1692,1593,118899
Kyle Of Lochalsh,23,13,2006,2003,2010,2010,29032287,36788842,604,513,588,590,13,962
Great Yarmouth,231,157,2001,2001,2004,2005,614427993,747961426,451,765,618,577,358,26833
Eling,452,162,2008,2009,2009,2009,49839954041,55087254547,624,1420,1541,1583,5190,399050
Peterhead,301,151,2004,2005,2007,2007,722772009,706837932,443,813,624,569,392,29490
Wells-Next-The-Sea,10,10,2006,2006,2006,2005,17650529,19046758,256,565,613,686,9,697
Portland Uk,300,266,2008,2008,2010,2010,15032276931,25422987741,738,1733,1896,1935,1679,127877
Sheerness,690,163,2001,2004,2004,2004,8891466473,5372552915,354,1016,766,894,1475,111782
West Wemyss,23,18,2010,2010,2014,2014,408755712,404766255,460,884,1500,1349,67,4482
Glasgow,83,63,2004,2005,2006,2009,530922175,770538000,785,1470,1274,1247,150,11477
Newport,313,249,2003,2004,2007,2008,2021896993,3021244340,638,973,1287,1288,396,30145
Gravesend,95,57,1998,2000,2000,2007,1114943102,531863557,282,638,652,723,211,15958
Shoreham,251,142,1998,1998,2000,2001,509693957,728038387,610,694,681,714,195,14683
Goole,332,166,1998,1998,1998,1998,610050645,853807445,697,932,878,879,206,15517
New Holland,303,195,2002,2002,2004,2004,636759348,906817962,763,810,817,826,239,17999
Porthoustock,121,114,2006,2006,2010,2010,10066405640,17984092404,1010,1910,2872,2997,1190,90864
Steynton,542,300,2008,2009,2009,2009,34436357498,53522576226,628,1977,2482,2486,4403,337147
Lowestoft,132,91,2001,1999,2007,2007,557327801,924485586,177,624,664,679,175,13149
Grangemouth,581,252,2005,2005,2012,2011,5637273366,6189320830,486,850,1273,1098,1643,116150
Crombie,14,12,2004,2004,2005,2005,32445053,33895905,667,662,658,639,23,1727
