int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Blyth,197,112,2003,2005,2006,2005,591138258,700202869,333,739,641,638,224,16832
Aberdeen,1043,436,2007,2006,2008,2008,3274344159,3415785360,412,1201,763,753,1948,146373
Claonaig,1016,251,2001,2000,2006,2006,2430481592,3032376552,349,778,681,665,1283,95366
Macduff,35,15,2002,2004,2003,2003,1942717194,3389062569,774,872,891,881,290,21825
Dover,615,142,2002,2001,2005,2004,14010197457,3964576246,400,622,794,813,2761,207718
Buchan,71,55,2005,2004,2004,2005,500650274,615174907,428,723,669,565,164,12385
Cullen,131,89,2005,2004,2007,2006,608696140,491147344,394,907,649,509,220,16471
Hull,2048,459,2000,2004,2001,2004,9239031886,7368280261,219,654,317,501,2496,187881
Immingham,5437,1128,2006,2006,2010,2010,58304183999,69026585544,224,866,506,883,9286,701233
Belfast,768,468,2004,2005,2009,2009,6743563713,9909616695,737,855,870,1112,1262,96227
Liverpool,2951,505,2004,2007,2009,2009,48850354601,49981995957,127,1242,838,1319,6387,490489
Thames,1215,416,2009,2008,2013,2013,93809519810,99655463794,248,852,1194,1127,9480,727386
Salthouse,10,9,1999,1997,2008,2007,16029202,19038571,270,322,416,380,7,532
Withernsea,210,166,2006,2006,2009,2009,7137350738,12125837984,439,922,1296,1333,877,66268
Fawley,862,458,2007,2008,2009,2009,31253508598,42140413323,297,1329,1620,1557,4061,309490
Tranmere,93,87,2007,2007,2009,2009,6599278253,11913962154,1093,1279,1485,1550,666,50768
Tees,885,330,2004,2006,2010,2009,10836573414,14273474927,333,830,988,1099,2017,152894
Teesport,1344,429,2004,2005,2007,2007,7921858118,10962540874,375,819,792,879,2269,170560
Upton,31,31,2007,2007,2007,2007,1435068441,2490003497,744,1245,1418,1415,179,13645
North Cove,136,116,2005,2007,2011,2011,18209155187,34338167032,492,1665,3331,3562,1411,108372
Tilbury,2419,616,2003,2004,2006,2007,13515903607,15131395380,175,563,348,460,3154,238263
Itchen,923,343,2007,2007,2008,2008,128716576217,42947139037,744,2772,2380,2935,10545,810970
Felixstowe,1987,337,2005,2008,2014,2014,153979326730,147117821123,126,1009,1184,1181,12480,956787
Sompting,18,14,2005,2005,2012,2012,343767456,472189852,423,988,1193,1550,52,3956
Purfleet,1614,207,2005,2006,2007,2008,7295429776,6219088677,132,504,211,334,1480,111579
Newport,370,271,2003,2004,2006,2007,1790557270,2633167812,608,793,1064,1057,362,27518
Leith,112,101,2002,2002,2006,2006,325757322,396765893,465,626,692,624,112,8420
Brightlingsea,21,19,1996,1997,1998,1998,29081881,42139064,664,607,631,639,9,711
Fleetwood,12,9,1993,1996,2016,2017,469380327,688557026,566,2104,4650,5954,125,9700
Ardgour,13,12,1998,1997,2002,2001,33281137,44061751,843,833,927,930,10,773
Camusnagaul,14,12,2003,2002,2004,2004,55343609,75230669,1006,1170,1294,1278,16,1234
Port Talbot,71,59,2009,2010,2012,2011,8641809992,16512391891,1534,2067,2160,2164,534,41091
Flushing,286,261,2005,2006,2009,2009,16364736708,28328209971,614,1403,2070,2250,1574,119259
