dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
General cargo,79,7,1998,2000,1999,1999,38652586,49019920,75,125,93,92,23,1775
Bulk carrier,4,4,2014,2014,2015,2015,41260102,72974054,212,307,302,303,7,542
Oil tanker,83,4,1992,1995,2000,2001,21835112,32701129,59,110,89,95,131,9913
Service - other,11,3,2013,2013,2013,2013,12793173,4815723,2306,2160,242,246,14,1083
Container,8,8,2004,2004,2004,2004,27005599,34280645,177,178,157,159,28,2171
Cruise,9,4,1978,1987,1992,1988,11208638,1398695,119,120,129,129,6,424
Ferry-pax only,90,4,2013,2008,2014,2014,70237654,9729163,501,835,1532,1603,50,3766
Vehicle,1,1,2004,2004,2004,2004,25552880,8102185,425,425,425,425,1,78
Chemical tanker,20,4,1985,2005,1998,2000,42100390,62418774,129,211,353,333,58,4363
Offshore,33,2,1980,1996,1985,1985,4429413,6044186,120,168,176,177,17,1276
Liquefied gas tanker,11,2,2013,2008,2014,2014,33732822,34968420,154,471,809,791,26,1935
Ferry-RoPax,237,2,2013,2014,2014,2014,48613467,29143956,112,136,166,165,80,6002
Miscellaneous - fishing,3,1,2017,2017,2017,2017,7544100,2059796,272,272,653,653,2,148
