int_arr_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Container,456,107,2003,2004,2003,2003,10824549649,13599155501,234,872,856,859,2227,172149
Vehicle,157,108,2008,2008,2007,2007,10437180807,3471473046,302,1072,1155,1155,675,52274
Bulk carrier,137,124,2009,2010,2009,2009,7566543334,12987142867,647,2064,1980,1969,770,59597
General cargo,83,54,2005,2005,2009,2009,1320439680,1745342296,410,1526,1401,1369,251,19260
Ferry-RoPax,5,3,2014,2015,2017,2017,3511119,2155468,204,881,567,578,3,250
Chemical tanker,67,51,2007,2009,2009,2009,4216678418,6919238665,2678,2240,2362,2365,862,66692
Service - tug,17,3,2009,2008,2009,2009,1490419,1122306,121,117,302,282,7,524
Offshore,11,6,1996,2004,2015,2015,59846239,66088606,2073,2239,2306,2271,31,2373
Oil tanker,71,45,2006,2009,2012,2012,6730161809,11740840711,2654,2303,2562,2568,1501,116159
Service - other,6,4,2014,2014,2014,2014,39897874,19619451,657,9547,1491,1951,38,2817
Ro-Ro,38,6,2011,2008,2012,2012,1350547017,1233765025,334,542,757,758,175,13501
Liquefied gas tanker,23,6,2012,2012,2011,2011,308309616,357196224,1007,4785,2862,2960,165,12537
Ferry-pax only,4,4,2008,2008,2015,2015,878456,123663,480,448,416,453,10,774
Cruise,9,6,1990,1988,1993,1989,125180619,16164454,557,744,707,740,34,2588
Refrigerated bulk,5,5,1992,1992,1990,1990,175486052,181546552,3110,3393,3412,3436,86,6575
Other liquids tankers,1,1,2009,2009,2009,2009,44033138,49807929,1424,1424,1424,1424,6,489
Miscellaneous - fishing,3,3,2000,2000,2009,2002,6131398,3117043,1060,2103,1379,1889,3,201
