port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Piriapolis - Punta Carretas,73,67,2007,2008,2009,2010,186034081,273924807,50,146,86,90,44,3347
Jose Ignacio - Punta Carretas,6,6,2012,2012,2011,2011,48813239,72871091,101,168,136,140,9,721
Montevideo - Nueva Palmira,100,53,1999,2008,2011,2011,265119235,444449170,179,238,195,195,81,6173
Punta Carretas - Nueva Palmira,40,37,2010,2010,2010,2010,215575050,352794148,175,187,188,188,31,2412
Montevideo - Punta Del Este,71,30,1991,1995,2000,1991,327845099,120522554,651,1726,250,343,205,15509
Piriapolis - Montevideo,73,37,1994,2000,1999,2004,158517872,190486853,73,745,123,121,91,6874
Piriapolis - Nueva Palmira,39,39,2010,2010,2010,2010,271592312,456208344,205,238,233,232,41,3189
Juan Lacaze - Montevideo,33,12,1988,2002,2008,2007,74359822,82952491,81,90,96,96,53,3980
Fray Bentos - Nueva Palmira,84,10,2008,2003,1996,1997,23817313,33302003,261,117,164,148,45,3410
Punta Del Este - Jose Ignacio,8,6,2010,2010,2007,2007,47970229,90586770,164,242,192,194,20,1565
Punta Carretas - Carmelo,8,8,2007,2007,2006,2006,33609080,52202017,142,153,156,155,4,342
La Paloma - Montevideo,6,4,1986,1985,1999,1996,1881614,1864872,244,278,337,312,5,345
La Paloma - Punta Del Este,6,3,2005,2002,2006,2007,9131760,10516859,580,911,1155,1227,30,2282
Piriapolis - Carmelo,19,18,2008,2009,2008,2008,105915627,165762919,172,177,178,178,15,1125
Piriapolis - Punta Del Este,1,1,2009,2009,2009,2009,34930457,67855495,429,429,429,429,8,593
Montevideo - Punta Carretas,21,13,1994,1994,1989,1990,139435540,182236459,519,1603,764,824,96,7262
Nueva Palmira - Paysandu,27,2,1986,1987,1988,1989,3153516,3312291,117,116,119,119,4,278
Paysandu - Fray Bentos,19,1,1985,1985,1985,1985,272197,165635,59,59,61,61,1,102
Montevideo - Colonia,32,7,1994,1996,2009,2010,83517774,87934185,158,632,1038,1187,35,2623
Colonia - Nueva Palmira,12,5,2000,2003,2013,2013,41655751,41168369,167,746,1383,1435,9,626
Paysandu - Montevideo,56,3,1988,1984,1988,1988,41915083,48534530,266,259,280,280,17,1255
Punta Del Este - Punta Carretas,8,8,2000,2000,2009,2011,33516188,19812340,113,174,126,73,3,203
Fray Bentos - Montevideo,63,25,2008,2012,2011,2012,180169572,284842996,240,285,277,272,215,16530
La Paloma - Piriapolis,21,12,2013,2012,2008,2008,321897362,594499576,94,170,172,174,41,3142
Piriapolis - Colonia,2,2,2013,2013,2014,2014,6001724,8318093,247,247,195,185,1,96
Colonia - Fray Bentos,1,1,2016,2016,2016,2016,2933975,4622847,123,123,123,123,1,55
Carmelo - Fray Bentos,357,10,2013,2012,2013,2014,33837710,48688128,90,132,142,142,87,6510
La Paloma - Punta Carretas,2,2,1998,1998,2001,2001,7621852,7819505,106,106,103,103,1,78
Montevideo - Jose Ignacio,24,8,2001,2001,2010,2010,54429871,42784002,212,2324,823,455,36,2699
Carmelo - Montevideo,24,10,1998,1996,1997,1997,12818530,15091504,139,132,148,151,17,1248
Punta Carretas - Fray Bentos,9,9,2005,2005,2006,2008,47248331,68509650,227,259,251,239,102,7914
Juan Lacaze - Paysandu,5,1,1979,1979,1979,1979,2826541,3624174,188,188,225,225,3,232
Nuevo Berlin - Paysandu,2,1,1999,1999,1999,1999,121037,60018,346,346,346,346,1,76
Piriapolis - Juan Lacaze,6,6,2010,2010,2011,2011,16541851,27244142,117,116,117,117,2,134
Colonia - Carmelo,14,4,2010,2006,2011,2011,54704147,58768002,560,836,876,875,14,1072
Jose Ignacio - Nueva Palmira,2,2,2012,2012,2012,2012,11598939,18761474,261,261,261,261,2,152
Carmelo - Juan Lacaze,1,1,2011,2011,2011,2011,1297323,2000788,60,60,60,60,0,9
Nueva Palmira - Carmelo,1,1,2012,2012,2012,2012,12752311,13931781,1896,1896,1896,1896,2,185
Nueva Palmira - La Paloma,1,1,2013,2013,2013,2013,6777083,10419387,280,280,280,280,1,54
Nueva Palmira - Juan Lacaze,1,1,1998,1998,1998,1998,5863351,9267679,197,197,197,197,0,38
Nueva Palmira - Nuevo Berlin,1,1,1985,1985,1985,1985,6236123,8444169,1740,1740,1740,1740,2,121
