port_pair,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Punta Guaranao - Puerto Miranda,4,4,2006,2006,2006,2006,52784731,90885201,212,248,282,287,31,2390
Palua - Boca Grande,4,4,2012,2012,2013,2013,49300676,92690032,318,304,371,375,16,1264
Puerto Ordaz - Boca Grande,10,8,2011,2011,2011,2011,162529789,301638731,358,350,346,347,30,2355
Amuay (Bahia De Amuay) - El Palito,61,21,2006,2006,2006,2006,766541543,1318483075,269,438,374,372,641,49631
El Palito - Punta Cardon,57,28,2006,2006,2006,2006,556961893,937712269,266,290,315,314,473,36670
Punta Cardon - Puerto La Cruz,55,26,2005,2004,2003,2003,961328394,1663863461,463,552,585,587,879,67927
Puerto La Cruz - El Palito,109,47,2006,2007,2006,2006,1295268483,2315497931,244,280,281,281,905,70071
Punta Cardon - La Salina,33,14,2005,2005,2004,2004,194364943,295196022,191,208,238,237,142,10901
La Salina - Amuay (Bahia De Amuay),36,13,2005,2006,2004,2004,242676272,408284002,179,199,215,217,227,17504
Amuay (Bahia De Amuay) - Puerto La Cruz,90,29,2003,2004,2003,2003,1974885204,3449359549,445,512,543,540,1326,102708
Chichiriviche - Puerto Cabello,12,11,2008,2009,2008,2008,95406275,165353272,136,297,407,430,27,2085
San Lorenzo - La Salina,2,2,1992,1992,1998,1998,384302,157909,78,78,57,57,0,4
Amuay (Bahia De Amuay) - Petrozuata,15,13,2006,2006,2007,2007,356521014,627727820,491,518,493,485,165,12739
Punta Cardon - Maracaibo,10,9,2005,2005,2002,2001,39201054,65560356,143,169,160,162,26,2032
Petrozuata - Punta Cardon,16,13,2008,2007,2006,2006,576594553,1017666314,529,928,957,989,245,18848
Puerto La Cruz - Guanta,16,8,2012,2013,2010,2012,10897858,10524558,294,288,115,66,14,1089
Guanta - El Palito,2,2,2004,2004,2006,2007,30385272,53302513,354,354,356,356,19,1459
Jose Terminal - Puerto La Cruz,85,14,2010,2009,2002,2002,1076363992,1987473287,89,223,230,231,284,21943
Puerto La Cruz - Catia La Mar,9,8,2004,2004,2004,2003,48538773,83142670,168,170,171,171,31,2401
Catia La Mar - El Palito,10,6,2008,2007,2008,2008,28874336,48153445,83,94,99,99,15,1177
Amuay (Bahia De Amuay) - Jose Terminal,24,11,2008,2008,2009,2009,242443611,335779887,462,502,498,501,65,4936
Jose Terminal - El Palito,18,14,2010,2010,2010,2010,128077780,213043964,241,253,249,249,66,5139
Petrozuata - Puerto La Cruz,47,11,2011,2010,2003,2003,362743734,666021110,77,228,177,176,118,9081
El Guamache - Guanta,92,7,2013,2009,1998,2003,42863375,8661093,75,122,358,120,68,5097
Puerto Cabello - Jose Terminal,19,5,2003,2005,2003,2004,67957293,103064809,292,291,316,317,34,2582
Puerto Cabello - Petrozuata,3,3,2006,2006,2006,2006,8134462,11968313,392,399,455,467,9,709
Punta Guaranao - Bajo Grande,34,19,2006,2007,2006,2006,294478723,506033129,170,256,255,257,204,15768
El Palito - Puerto De Hierro,2,2,2008,2008,2008,2008,29244492,49438142,493,493,491,493,3,253
Punta Guaranao - Maracaibo,48,23,2006,2007,2007,2007,62932981,90311375,130,145,143,143,46,3449
Bajo Grande - Amuay (Bahia De Amuay),153,25,2006,2005,2005,2004,1142210377,1972026134,171,199,219,219,1035,80066
Amuay (Bahia De Amuay) - Catia La Mar,23,7,1998,2000,1998,1998,271793091,453772808,282,280,400,399,109,8437
Catia La Mar - El Guamache,30,6,1998,2002,1998,1998,175428936,292004355,188,193,205,205,70,5444
El Guamache - Amuay (Bahia De Amuay),15,5,1999,2001,1998,1998,246079191,409976360,512,502,574,574,94,7317
Punta Cardon - Catia La Mar,16,9,2002,2003,2001,2001,172246696,286946522,302,308,375,375,82,6391
