dom_type,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Oil tanker,774,90,2004,2006,2003,2003,12517588063,22119885016,248,428,335,331,8428,652331
Bulk carrier,56,42,2007,2009,2007,2007,882194591,1599235732,322,431,491,511,148,11476
Chemical tanker,384,75,2008,2009,2008,2008,2693025440,4480445130,240,294,289,288,1687,129990
Offshore,14,7,1985,1990,2000,1994,4984166,4371243,214,924,188,268,54,4063
General cargo,132,35,2003,2004,2005,2005,271789020,365868448,180,202,230,226,122,9245
Service - tug,911,50,2012,2009,2012,2011,84870522,57028187,106,427,256,278,377,28348
Ferry-RoPax,334,7,2008,1998,2002,2005,418904803,75491469,232,365,656,577,343,25764
Liquefied gas tanker,257,11,2007,2006,2007,2007,1692613395,2030168615,385,285,373,371,642,48628
Miscellaneous - fishing,60,7,1989,1989,1990,1989,48338311,57578927,441,1524,1493,1384,95,7126
Ro-Ro,316,6,2007,2002,2001,2005,181204299,161627554,215,282,245,310,344,25811
Container,28,6,2004,2004,2005,2005,64985595,84699512,138,262,215,206,44,3339
Service - other,1,1,2009,2009,2009,2009,5780343,7609146,494,494,494,494,2,169
