int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Matanzas,50,43,2009,2009,2008,2008,1929937229,3152513969,2013,2034,2271,2319,269,20718
Puerto Cabello,302,205,2008,2009,2009,2009,10873059745,16540960101,635,2014,1789,1978,2032,156323
Palua,47,35,2005,2005,2007,2007,3061893979,5378710142,1611,2453,2877,2930,319,24617
Petrozuata,462,325,2009,2009,2010,2010,162404303582,309480068958,2155,3287,4168,4222,17580,1359660
Jose Terminal,154,95,2010,2010,2011,2011,5729265347,8678784737,1259,1499,1565,1543,955,73683
Punta Guaranao,77,47,2005,2006,2006,2006,1612631824,2637956434,545,1189,1048,1071,407,31363
Amuay (Bahia De Amuay),205,152,2007,2008,2010,2010,16624841015,30242077277,1109,1677,1878,1905,2903,224061
Puerto La Cruz,156,112,2007,2008,2006,2006,8078079960,14403747184,698,1351,1253,1250,1555,120025
El Guamache,24,8,1998,2003,2005,2005,69234421,77109458,341,1118,656,684,33,2504
Bajo Grande,38,31,2005,2005,2006,2006,2316204721,4140217762,904,2381,1482,1486,434,33361
Chichiriviche,11,11,2005,2005,2010,2010,359646948,577779803,760,1283,2009,2047,38,2967
Punta Cardon,135,108,2006,2007,2008,2008,4305303723,7433705059,636,1055,950,944,2026,156382
El Palito,119,90,2008,2009,2009,2009,4722619979,7902489389,869,1430,1285,1270,1102,85227
Guanta,111,43,2010,2006,2007,2008,611307544,777357714,276,705,662,609,554,42486
Puerto Ordaz,30,25,2010,2009,2011,2011,3236252325,5917305399,1519,2644,2469,2481,294,22745
Lagunillas,6,4,1998,2000,2000,2003,62392928,33445067,223,507,737,452,8,582
San Lorenzo,1,1,1999,1999,1999,1999,3248997,1337704,501,501,501,501,0,0
El Tabiazo,7,6,2005,2005,2003,2003,126729988,148601286,649,613,1245,1264,41,3099
La Guaira,146,45,2007,2007,2006,2006,2796021763,3668423270,890,1197,1090,1115,595,45748
Pertigalete,22,8,1990,1998,1999,2000,387750263,671307860,803,1447,2067,2141,45,3496
La Salina,4,4,2012,2012,2008,2008,5113399,5055185,191,245,289,291,4,284
Guayana City,18,15,2003,2005,2003,2005,1916375924,2901633425,2862,2917,3354,3228,170,13128
Las Piedras,8,7,2006,2007,2008,2008,376855836,713918060,416,1112,1935,2056,48,3737
Maracaibo,34,29,2000,2000,2007,2007,245067117,354935204,449,791,838,775,73,5600
Punta De Piedras,5,5,2005,2005,2010,2012,2033752,1944641,95,228,93,87,13,955
Catia La Mar,7,7,2007,2007,2006,2006,135741398,220780609,201,762,810,823,22,1682
Sucre,21,17,1995,1994,1998,2000,178518859,223382935,683,2678,1159,1065,75,5673
Puerto Cumarebo,8,7,2004,2003,1998,1998,309847363,565829141,154,714,410,400,28,2172
Guiria,15,8,1995,1995,1996,1996,288495350,525774654,551,1833,476,474,151,11629
Puerto Miranda,27,25,2008,2008,2009,2010,2159535004,3835423446,942,1483,1716,1738,404,31235
Boca Grande,4,4,2011,2011,2007,2007,132615773,206954886,2622,2873,2608,2598,21,1604
Cumana,1,1,1983,1983,1983,1983,126275,107781,638,638,638,638,0,34
Puerto De Hierro,6,6,2006,2006,2007,2007,1702040893,3283006589,649,2363,5436,5719,90,6953
Cabimas,2,2,1992,1992,1983,1979,12300,9051,44,44,30,38,13,942
Carupano,4,3,2009,2009,2010,2010,1660647,1587084,78,165,307,323,4,318
Puerto Carenero,1,1,2001,2001,2001,2001,1050192,534900,2778,2778,2778,2778,2,162
Isla De Margarita,1,1,1991,1991,1991,1991,3477936,2055057,10507,10507,10507,10507,9,673
Independencia,2,2,2008,2008,2011,2011,67509716,76448634,1947,1947,2587,2333,10,797
Punta De Palmas,2,2,2009,2009,2009,2009,28075071,43865704,501,501,342,304,11,858
Bachaquero,3,3,1998,1998,1995,1995,411517,446500,170,208,128,124,2,174
Chiquinquira,5,3,1976,1981,1995,1995,2556826,4170845,95,273,516,540,8,575
