int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cai Mep,2166,1348,2008,2008,2010,2010,125937814771,166642013812,959,1877,1241,1355,13406,1035875
Hon Gai,603,405,2007,2007,2008,2009,24590303350,36547981631,1404,1949,1891,2039,2877,221830
Phu My,618,480,2007,2007,2009,2009,20748184077,33876016963,1240,1871,2120,2192,2652,204375
Dong Xuyen Port,99,79,2003,2005,2008,2009,2379535469,3954359251,951,2294,2886,3141,461,35054
Da Nang,758,398,2003,2004,2003,2003,19828678117,21636529355,1107,2595,1384,1834,3525,271359
Qui Nhon,185,140,2003,2004,2005,2006,5927964422,9376372662,1109,2958,2052,2264,774,59405
Lotus Port,546,356,2007,2007,2008,2008,7765710036,11644585426,934,1511,1336,1342,1779,136251
Thanh Ho Chi Minh,46,40,2005,2006,2006,2008,1271069316,1497316290,1113,1678,1800,2112,244,18798
Nam Hai Dinh Vu Port,2711,598,2004,2005,2005,2005,36672741321,45962594209,599,1719,998,999,7553,580092
Cam Pha,598,487,2007,2008,2008,2008,25875001120,44308270312,1307,1732,1717,1718,2494,192832
Cat Lai,3092,426,2007,2006,2007,2007,65774483612,82778557677,973,1251,1121,1125,12724,981059
Cam Lam,55,54,2007,2008,2010,2010,2349363689,3883523934,1334,2019,2627,2813,303,23325
Duong Dong,24,20,2011,2011,2009,2009,278646381,338098477,836,1212,932,993,42,3226
Tan Cang Hiep Phuoc Port,27,21,2007,2008,2006,2007,219898777,325854527,974,2387,1729,1831,61,4636
Hiep Phuoc,528,277,2008,2007,2008,2008,9820190524,11218559175,936,1293,1159,1284,1659,127475
Saigon,322,176,2005,2007,2006,2006,7014215386,10676331625,860,1690,1239,1287,1073,82715
Hai Phong,961,436,2006,2006,2006,2005,10670663858,13735474484,805,1736,1249,1211,2509,192227
Can Tho,28,28,2004,2004,2006,2006,1461343304,2665549604,1502,1692,3049,3227,114,8827
Long An International Port,131,88,2003,2005,2006,2006,1855879314,2578833350,1238,2332,2174,2175,410,31317
Binh Long Port,13,13,2007,2007,2008,2007,85823615,136325554,540,765,572,568,14,1057
Bong Son,26,26,2005,2005,2008,2009,1244351528,2211080978,1784,1893,2219,2336,116,8992
Dong Hai,3,3,2011,2011,2015,2016,68962685,102550561,793,1133,1314,1453,3,224
Hon La Port,32,28,2006,2006,2006,2006,1648266883,2694878806,1844,2283,2763,2928,150,11592
Dung Quat,133,97,2003,2004,2002,2002,7326832074,10219128571,1597,3116,2375,2464,694,53531
Vung Ang,38,38,2009,2009,2013,2013,4872977691,9244398300,1695,2205,3127,3199,330,25521
Long Binh Tan,19,19,2009,2009,2009,2009,2849470243,5245462015,1531,2841,4126,4160,196,15113
Culao,29,27,2006,2006,2008,2009,1013207010,1600399940,1320,1877,1807,1748,99,7593
Vung Tau,56,53,2003,2003,2001,2002,881906055,1211788902,1310,3459,2106,2084,295,22311
My Tho,24,24,2007,2007,2009,2008,501184151,706071286,1274,1566,1994,1809,73,5592
Song Doc,167,59,2011,2008,2006,2006,1138512476,1718398678,352,1306,863,885,216,16490
Phuoc Long Icd,7,7,2003,2003,1998,1998,102736290,169353169,1101,1248,1234,1246,19,1475
Sa Dec,8,8,2003,2003,2007,2008,150916699,214838343,1573,2457,2390,2180,22,1680
Nghi Son,73,56,2004,2006,2008,2008,4620800263,7917679033,1540,2424,2924,3122,393,30285
Nha Trang,57,53,2006,2005,2006,2005,2954339200,3832504042,1077,1819,1364,1936,381,29422
Nam Can Port,18,18,2005,2005,2006,2006,763809848,1167176427,1216,2034,2291,2615,88,6813
Thu Dau Mot,6,6,2008,2008,2004,2004,1124967640,2042357860,2733,3072,4843,5112,78,6040
Son Duong Port,33,32,2010,2010,2011,2012,2375651555,4157244870,1574,2017,2756,2896,191,14801
Ben Tre,11,11,2002,2002,2007,2008,216331352,311734503,1574,2020,1882,1895,44,3397
Quang Binh,9,9,2008,2008,2007,2006,98050339,146405000,1288,1156,796,737,21,1615
Cai Cui Port,33,32,2004,2005,1992,1995,731980955,942290814,1376,1605,2249,2214,92,7108
Icd Transimex Thu Duc,2,2,2005,2005,1998,1998,8754748,14975775,898,898,1290,1262,5,375
Vinalines Hau Giang Port,7,7,2007,2007,2005,2004,150185495,265587179,908,978,711,693,14,1103
Nghe Tinh,22,20,2007,2008,2006,2006,459727787,762406221,1256,1749,1366,1380,60,4622
Tan Thuan Dong,5,5,2007,2007,2007,2007,97769649,160147162,1378,1208,1401,1400,40,3025
Phuoc Long,9,9,2007,2007,2009,2009,148817164,228749901,1237,2302,820,737,26,2023
Rao Qua,2,2,2012,2012,2011,2011,171418687,324505729,1457,1457,1754,1759,11,874
Thanh Hoa,1,1,2008,2008,2008,2008,116171,178595,14,14,14,14,6,455
Ho Chi Minh,2,2,2006,2006,2003,2004,30666992,40346619,1412,1412,1539,1529,15,1130
Dong Nai,1,1,2010,2010,2010,2010,66104667,101556920,3053,3053,3053,3053,6,483
Vinh,1,1,2020,2020,2020,2020,1871179,1449662,1115,1115,1115,1115,0,20
