int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Cat Lai,3110,426,2007,2006,2008,2008,63808793232,80095567986,808,1211,1074,1077,11553,890526
Da Nang,786,333,2004,2004,2004,2004,13771101123,14774599603,752,1679,919,1059,2601,200052
Lotus Port,562,376,2007,2007,2007,2007,8177877963,12342296259,807,1424,1358,1369,1550,118909
Hai Phong,901,397,2005,2006,2007,2006,7649917263,10050609054,547,1720,975,979,1724,131930
Cai Mep,2112,1304,2008,2008,2010,2010,148761722128,181667824695,944,1657,1501,1545,16273,1257035
Hon Gai,694,472,2007,2008,2010,2010,33105978409,52414553383,1457,2116,1999,2249,3425,264357
Saigon,372,204,2005,2006,2005,2006,9724213229,14693707904,1015,1512,1473,1505,1500,115684
Cam Pha,642,515,2006,2008,2008,2008,26587658263,45473331253,1290,1719,1709,1708,2508,193806
Can Tho,27,27,2006,2006,2007,2008,1292540629,2378720261,968,1403,2575,2701,95,7338
Vung Tau,63,61,2005,2005,2002,2002,1184727111,1880566652,1235,2277,2816,2976,293,22327
Long An International Port,130,87,2004,2006,2006,2007,1391552352,1954820450,919,1383,1621,1649,313,23965
Cai Cui Port,25,21,2005,2005,1986,1988,1140761539,1322724856,1395,2209,3499,3245,123,9471
Hiep Phuoc,531,298,2008,2007,2009,2009,10160246296,11839131515,880,1384,1334,1358,1568,120533
Dong Hai,3,3,2011,2011,2015,2016,46679943,67385659,1252,1160,889,955,4,293
Nam Hai Dinh Vu Port,2506,594,2004,2005,2004,2005,27101745985,32506729184,534,1390,823,806,5442,417397
Hon La Port,41,35,2007,2007,2007,2006,789420359,1226669318,917,1156,1097,1089,97,7476
Dong Xuyen Port,108,89,2004,2005,2008,2008,1590211227,2540654242,733,1747,1619,1686,309,23550
Dung Quat,137,103,2004,2005,2005,2005,4611428934,6626920367,1071,1883,1483,1569,438,33723
Phu My,598,455,2006,2007,2009,2010,15915987610,25170231491,880,1540,1751,1780,2008,154642
Cam Lam,53,50,2008,2008,2008,2008,1772947186,2984017508,720,1437,1883,2042,195,15001
Vung Ang,46,46,2009,2009,2013,2013,3916279204,7344826862,1242,1713,2243,2281,239,18459
My Tho,18,17,2010,2010,2005,2005,406488981,604586736,788,1497,2162,2297,61,4678
Sa Dec,12,12,2005,2005,2003,2004,133849738,190290571,1238,1390,1133,1082,21,1615
Bong Son,23,23,2005,2005,2006,2007,706205228,1086784921,1714,1845,1396,1295,83,6385
Thanh Ho Chi Minh,58,51,2005,2005,2005,2008,983016859,887993245,970,1357,1202,1095,223,17136
Song Doc,167,59,2011,2008,2008,2008,1913072633,2876008364,456,1369,1373,1402,345,26322
Culao,33,32,2005,2005,2009,2009,679041429,1149543188,1243,1467,1155,1188,81,6227
Phuoc Long Icd,8,8,2004,2004,2003,2003,31188904,51840819,360,572,362,368,11,863
Qui Nhon,242,132,2004,2004,2004,2004,5663852098,8283019717,845,2517,1347,1438,834,64163
Nghe Tinh,25,24,2006,2006,2012,2013,1158180450,1973258513,1272,2235,3088,3297,118,9116
Nam Can Port,19,19,2005,2005,2006,2007,484643301,709607338,1209,1551,1534,1690,85,6522
Nghi Son,75,62,2006,2007,2009,2009,2382604838,3575844610,1036,1386,1609,1573,228,17532
Thu Dau Mot,6,6,2008,2008,2006,2005,79265839,133866247,467,593,394,376,10,756
Nha Trang,55,52,2007,2006,2009,2009,3335362630,4608232112,1081,2081,1668,2327,478,36643
Long Binh Tan,22,22,2008,2008,2010,2010,1356991214,2555327591,1483,2622,2303,2372,148,11306
Son Duong Port,41,40,2008,2008,2011,2011,1814433284,3111341945,1245,1615,1697,1696,167,12937
Binh Long Port,17,16,2006,2006,2004,2004,454150638,797263282,633,1195,1287,1408,48,3684
Tan Cang Hiep Phuoc Port,29,25,2006,2006,2002,2002,106115644,142200738,652,895,673,646,34,2568
Quang Binh,9,9,2008,2008,2005,2005,168714705,287597544,849,1343,1370,1447,26,2006
Vinalines Hau Giang Port,11,11,2004,2004,2003,2005,137485440,155562216,916,863,706,789,29,2247
Vinh,2,2,2014,2014,2009,2008,6519512,9589195,974,974,1083,1144,1,63
Icd Transimex Thu Duc,2,2,2005,2005,2005,2006,7597682,13667852,1568,1568,1119,1151,2,160
Phuoc Long,10,10,2010,2010,2010,2010,246915297,395219877,1189,1378,1483,1392,31,2379
Rao Qua,8,8,2007,2007,2007,2006,152790113,155845027,1986,2147,881,654,17,1295
Hanoi,1,1,2020,2020,2020,2020,856711,523063,1738,1738,1738,1738,1,79
Tan Thuan Dong,4,4,2007,2007,2010,2010,74283488,126302661,557,800,1115,1135,14,1062
Duong Dong,26,21,2011,2010,2009,2009,292011237,483021056,648,974,953,1159,36,2770
Ben Tre,8,8,2003,2003,2010,2010,149656077,238260467,920,1517,2154,2221,21,1633
Dong Nai,1,1,2010,2010,2010,2010,63183360,97068902,2918,2918,2918,2918,6,494
Ho Chi Minh,1,1,2003,2003,2003,2003,1011120,1294260,55,55,55,55,0,15
