Domestic by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,591,207,1481,1988,2004,2001,2007,2007,255,376,360,369,22,37,59,59,36,64,93,95,450.4,34380,35041,2154167,6588738,9331189,3645,15320,20317
Chemical tanker,545,67,3425,5224,2007,2009,2006,2006,350,346,460,459,25,55,68,68,38,54,75,75,1032.0,79146,80666,3548650,12880658,15378562,6511,26900,32782
Container,276,70,1495,1835,2003,2003,2003,2003,292,390,415,411,19,26,44,44,48,68,82,81,477.4,36328,37025,1909814,6906002,7860737,6920,26754,32295
Liquefied gas tanker,272,44,2036,2102,1998,2005,2001,2000,235,298,292,296,34,71,111,109,28,41,60,63,564.6,42408,43222,1000772,4095343,3987446,3679,23575,33079
Bulk carrier,152,112,1826,3016,2008,2007,2008,2008,378,494,488,484,40,77,111,113,56,106,109,110,225.6,17417,17751,1191741,2764428,3674734,7840,29484,35971
Ro-Ro,130,10,299,220,1990,1992,1991,1992,244,314,328,343,19,31,33,36,23,41,32,36,102.9,7874,8025,458182,2695606,1454442,3524,8502,11182
Oil tanker,74,50,940,1696,2009,2008,2009,2009,231,330,307,309,32,62,109,112,22,43,76,74,137.1,10588,10791,873353,1627713,1831693,11802,31601,39331
Service - tug,42,17,113,64,1998,2003,2010,2010,282,1786,4274,3991,49,954,768,806,50,188,1642,1608,67.6,5072,5170,1648329,3897802,5218946,39246,101340,136826
Service - other,20,10,53,33,2005,2006,2009,2009,381,2100,1265,1250,81,268,637,636,43,366,664,640,21.5,1605,1636,231420,474822,511650,11571,25747,29072
Ferry-RoPax,15,5,123,22,1992,1995,1996,1997,356,548,528,501,18,25,28,28,8,14,35,32,44.1,3398,3463,133714,330665,405728,8914,19028,17331
Miscellaneous - fishing,12,4,1,1,2010,2001,2014,2014,280,193,442,438,12,16,140,141,18,21,119,120,5.1,380,387,5453,12095,13751,454,1069,1268
Ferry-pax only,2,2,3,1,1997,1997,1992,1992,8692,8692,6613,6354,514,514,870,863,38,38,22,23,8.7,653,665,79980,162887,205187,39990,92995,122598
Vehicle,2,1,5,2,2001,2001,2001,2001,270,270,270,270,17,17,16,16,21,21,19,19,1.2,91,93,1588,7000,8107,794,3017,3247
