Int. Arr. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Saint Lucia,236,81,1740,321,2002,2000,2006,2005,124,139,141,141,14,17,16,16,10,21,10,15,385.7,29769,30341,581559,3079602,3754153,2464,12217,14433
Trinidad and Tobago,214,44,464,557,2004,2002,2005,2006,230,239,227,245,20,34,29,32,18,40,27,31,194.4,14831,15116,686512,2168200,2501079,3208,11428,13764
Saint Vincent and the Grenadines,165,42,502,115,1989,1995,2003,2003,106,497,136,130,14,124,174,157,12,17,23,18,218.1,16792,17115,349399,1306711,1657185,2118,7719,9769
Martinique,121,40,747,214,2005,2006,2006,2007,138,146,151,150,14,14,15,15,11,13,15,13,203.2,15680,15981,387550,1718730,2030452,3203,13392,15392
Virgin Islands (U.S.),83,8,1196,367,1999,2004,1996,2000,424,461,450,431,29,51,38,34,9,17,9,11,328.6,25294,25780,763621,2582451,2667454,9200,31623,32266
Grenada,59,31,461,57,1998,1996,2005,2003,161,184,158,165,15,25,15,21,11,23,11,16,119.4,9232,9410,107995,716657,879654,1830,11118,13155
Guyana,37,14,63,86,1992,1991,1996,1994,432,439,442,446,48,120,120,130,21,37,37,38,30.8,2344,2390,154631,370406,451198,4179,13599,17218
Dominica,36,17,342,60,2005,2007,2004,2006,190,213,189,204,15,24,15,22,12,22,20,19,105.9,8196,8353,223754,794522,831251,6215,20839,20832
Puerto Rico,33,12,722,231,2007,2007,2006,2006,526,568,566,592,43,46,42,54,31,27,12,31,168.4,12920,13168,592180,2067149,2140233,17945,58655,58438
Antigua and Barbuda,31,17,758,86,2005,2004,2008,2006,309,316,307,314,19,29,20,25,8,14,12,15,172.7,13364,13621,101340,945383,1195403,3269,28304,34886
Netherlands,25,7,1297,1435,2001,2001,2001,2001,3889,3937,3902,3901,220,225,223,223,12,11,11,11,465.3,35625,36309,4258264,9304515,10480661,170331,362973,391901
Suriname,16,5,128,45,2008,2003,2010,2008,530,566,530,542,42,51,41,44,8,10,8,9,27.8,2146,2187,50063,177265,203406,3129,12010,13922
United States of America,16,15,1251,1687,2008,2008,2011,2012,2308,2324,2249,2515,198,251,347,447,18,83,30,29,175.5,12783,13028,553578,1849083,2160197,34599,154917,204218
Spain,13,13,1284,342,1996,1996,2007,1998,2697,3399,2788,3563,253,396,215,451,11,25,16,42,265.6,20498,20892,679695,2535570,3074459,52284,196979,232551
Saint Kitts and Nevis,11,10,241,27,1996,1996,2003,2001,321,348,353,351,21,34,20,23,9,36,11,16,57.1,4421,4506,62034,396135,475009,5639,32720,37577
Sint Maarten (Dutch part),10,9,105,31,2002,2000,2011,2006,381,414,367,359,42,46,35,49,45,72,31,44,27.7,2136,2177,63164,223610,259111,6316,23941,28168
Dominican Republic,10,8,73,53,2001,2002,1998,2004,679,691,674,692,75,76,64,74,15,44,24,40,19.6,1498,1527,75059,293580,368794,7506,30609,37650
Brazil,9,7,410,47,2003,2004,2003,2003,1484,1832,1478,1533,93,145,104,123,9,56,15,32,89.6,6936,7069,136335,986617,1303754,15148,92768,109952
"Bonaire, Sint Eustatius and Saba",8,6,75,59,2005,2004,2006,2006,536,571,597,681,41,141,42,41,28,33,37,51,18.0,1383,1410,45033,226130,286200,5629,28563,35157
Portugal,7,7,1037,108,1998,1998,2000,1999,2654,2631,2579,2605,182,174,158,161,12,13,13,13,234.6,18176,18525,460462,2142483,2355520,65780,268078,273209
Nigeria,6,2,2,3,1964,1962,1964,1964,157,280,250,251,35,43,136,136,27,47,31,31,0.8,58,59,8777,25178,36183,1463,4768,6858
Bahamas,6,3,112,85,2001,1994,1996,2007,1453,1453,1476,1520,200,147,173,247,20,15,18,27,32.5,2486,2534,108885,381781,468649,18147,65252,76749
Guadeloupe,5,5,20,15,2006,2006,2001,2008,217,292,238,256,17,34,26,34,10,14,13,15,5.3,405,413,18841,81548,102623,3768,17718,21777
France,4,4,263,292,2008,2008,2009,2009,3746,3758,3750,3750,212,212,214,214,12,14,16,16,74.0,5683,5792,626467,1502940,1679014,156617,368761,405634
Jamaica,4,4,49,68,2006,2006,2006,2005,1067,1065,1061,1061,88,92,91,92,114,106,96,96,13.2,1008,1027,62936,207552,253321,15734,59821,73888
Anguilla,4,2,2,2,1974,1972,1974,1974,439,439,439,440,58,53,58,58,32,28,47,48,0.9,67,68,7359,21110,30337,1840,5996,8624
Cabo Verde,3,3,21,4,1997,1997,1981,1982,2038,2040,2045,2045,182,168,143,144,22,20,14,15,9.2,702,715,16448,86758,184806,5483,29654,56295
Virgin Islands (British),3,3,3,4,1980,1980,1985,1988,476,486,478,475,63,59,56,54,59,44,35,29,1.3,95,97,9427,17792,22838,3142,10494,14456
Haiti,3,3,71,92,1998,1998,2010,2009,1141,2230,3111,2954,146,184,272,268,29,57,125,122,13.7,1058,1079,63954,160944,224235,21318,81961,104653
Aruba,3,3,150,53,2006,2006,2007,2009,631,646,637,672,38,51,44,74,10,8,9,2,31.7,2458,2505,51885,190493,237879,17295,66930,80255
Mexico,2,2,49,55,2011,2011,2011,2011,2312,2312,2303,2303,176,176,171,172,18,18,20,20,11.1,859,876,50015,155562,218914,25008,112369,145545
Gibraltar,2,2,113,159,2004,2004,2008,2010,3239,3239,3213,3203,242,242,260,268,48,48,55,58,19.4,1486,1515,158722,335361,390296,79361,198643,221844
Panama,2,2,21,19,1996,1996,1996,2003,1510,1510,1476,1356,212,212,208,171,37,37,39,60,5.7,432,440,26866,93870,146109,13433,50358,72754
Curaçao,2,2,51,6,1990,1990,2000,1995,579,579,583,581,53,53,42,48,5,5,8,6,11.1,861,877,29888,99699,97983,14944,46188,43583
United Kingdom of Great Britain and Northern Ireland,2,2,11,15,1998,1998,1988,1988,2133,2133,1452,1433,225,225,325,324,22,22,23,23,3.7,282,287,29973,72555,88615,14987,46357,58262
Ecuador,1,1,36,35,2017,2017,2017,2017,2121,2121,2121,2121,300,300,300,300,18,18,18,18,15.6,1192,1215,105269,230018,259094,105269,224327,242206
Saint Barthélemy,1,1,1,1,1980,1980,1980,1980,375,375,375,375,44,44,44,44,97,97,97,97,0.4,33,33,2409,5464,6582,2409,7263,9065
Venezuela (Bolivarian Republic of),1,1,4,5,2009,2009,2009,2009,384,384,384,384,39,39,39,39,63,63,63,63,1.0,79,80,1837,6708,9905,1837,10993,15012
French Guiana,1,1,3,3,2011,2011,2011,2011,704,704,704,704,53,53,53,53,10,10,10,10,1.3,101,103,2013,5833,6442,2013,11023,14496
