Int. Arr. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Container,4856,749,178020,199984,2006,2008,2008,2008,284,701,686,694,26,50,151,151,20,28,28,28,22320.2,1702550,1735239,128054345,370010932,413593341,26370,85528,100472
Chemical tanker,4487,1134,65429,105493,2006,2008,2009,2009,291,1388,1385,1422,44,136,349,352,24,37,45,46,13432.0,1023940,1043600,43727399,200417669,236407856,9745,51583,63236
General cargo,4102,1494,23145,32431,2003,2004,2005,2005,404,843,1084,1089,56,95,290,292,28,40,49,49,4761.9,361776,368723,31324161,97192326,139433254,7636,32220,43913
Ro-Ro,3539,92,47938,23789,2004,2006,2006,2006,203,733,443,475,14,54,79,82,7,24,30,30,7984.0,602831,614405,25639072,48086541,55298093,7245,17031,18115
Vehicle,2433,470,97413,33529,2004,2007,2007,2007,359,999,964,974,32,73,189,189,20,25,31,32,6922.8,528134,538274,33952134,149692508,173359181,13955,53042,57085
Liquefied gas tanker,1251,244,35858,32579,2008,2009,2012,2011,369,1750,2216,2045,36,152,368,360,25,43,45,46,5208.2,361781,368727,12615967,61082884,56049410,10085,67159,96356
Bulk carrier,833,657,48410,82942,2009,2010,2010,2010,1343,2087,2086,2100,138,217,436,442,59,69,77,78,4747.1,364161,371153,27619660,66421806,85627804,33157,128509,156447
Service - tug,653,95,44,31,2000,2003,2003,2003,87,223,187,197,44,81,140,140,9,61,58,53,120.3,9030,9203,783609,1853000,2481067,1200,3099,4184
Oil tanker,610,298,34893,61923,2008,2009,2011,2011,448,1780,1877,1899,64,210,418,421,30,64,83,84,4571.0,347970,354651,37317809,73806729,85244088,61177,155535,191843
Service - other,535,98,1100,1699,1997,2003,2001,2001,180,635,516,529,25,198,303,300,7,176,192,192,440.2,33087,33722,11854795,24323437,26209976,22158,49306,55674
Miscellaneous - fishing,252,60,60,36,1994,1992,1991,1991,280,565,444,508,45,137,697,703,10,28,36,40,103.1,7742,7890,254062,563559,640710,1008,2373,2813
Cruise,194,67,3509,330,2003,2001,2007,2005,210,239,236,240,15,20,23,24,9,11,10,10,813.1,61217,62392,747852,5512027,6873814,3855,24857,29076
Ferry-RoPax,176,4,1142,228,1987,1998,1987,1987,204,360,206,205,14,49,16,15,9,18,9,9,267.7,20100,20486,1417226,3504559,4300208,8052,17189,15658
Refrigerated bulk,72,25,2944,2960,1995,1996,1995,1995,3874,3549,3766,3781,217,267,343,352,1,118,39,40,1368.6,104459,106464,8782161,19189449,21615110,121974,259926,280642
Other liquids tankers,31,5,2435,3165,1995,1996,1999,1999,5498,4576,4558,4510,332,311,365,364,42,47,56,56,646.2,49882,50840,1623644,4636000,9995214,52376,181449,293202
Ferry-pax only,6,4,4,1,1949,1951,1974,1972,169,2748,3060,1662,24,416,2961,2956,30,79,210,207,8.0,600,612,94936,193347,243557,15823,36795,48508
