Domestic by Arr. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Puerto Montt,2084,138,3737,2080,1995,1998,1997,1999,157,616,492,445,21,146,102,153,12,125,46,75,1425.4,108517,110601,7337779,22768078,23478967,3521,9345,11827
Quellon Viejo,1545,68,587,676,2002,1996,2007,2008,128,298,318,351,16,42,113,101,5,10,63,64,398.1,29924,30499,4164784,9333380,11070312,2696,6486,8079
Puerto Chacabuco,742,82,1632,1142,1994,1993,1993,1995,279,1548,444,563,29,278,288,359,10,136,136,106,669.2,50862,51839,4236331,13394131,12758355,5709,14471,17693
Calbuco,720,52,520,793,2000,1999,2009,2010,102,199,341,367,12,59,132,126,9,32,97,101,356.5,27321,27845,1075732,2980931,3481354,1494,4620,5639
San Antonio,719,285,15540,13243,2009,2009,2009,2010,291,536,499,442,46,58,61,62,20,42,33,38,1744.3,134806,137394,8830412,29729906,34400149,12282,45150,52434
Puerto Cisnes,676,46,164,154,1997,1993,1996,1994,152,205,199,218,19,36,63,77,3,7,11,12,110.8,8316,8476,2062138,4577715,5764437,3051,7387,9836
Melinka,630,68,211,231,1997,1993,2000,2000,156,330,289,304,19,47,242,261,5,23,39,41,145.9,10958,11168,1659331,3841854,4689792,2634,6486,8342
San Vicente,537,147,7360,10304,2008,2008,2006,2007,279,409,430,420,54,91,93,99,35,53,78,85,1786.2,138015,140664,5262930,16261118,18958696,9801,36920,44633
Valparaiso,520,216,9792,11400,2008,2008,2012,2012,397,581,533,528,48,91,57,60,34,53,44,42,1229.9,94602,96418,6424222,17851936,21260784,12354,42953,51329
Quintero,506,190,5669,9457,2009,2010,2010,2010,303,494,485,477,49,100,125,124,66,109,127,133,1760.7,135484,138085,4179784,12562114,14543714,8260,33271,41377
Puerto Angamos,449,213,7820,10185,2008,2010,2010,2010,414,557,520,520,47,71,75,75,36,77,53,63,1137.3,87855,89541,4431090,12929120,15658882,9869,38441,46826
Coronel,380,117,4516,5459,2010,2011,2012,2012,246,445,331,340,38,56,45,49,34,80,55,57,677.0,52059,53058,3545727,9403516,11133727,9331,30856,36968
Lirquen,321,120,2842,3677,2009,2010,2010,2011,240,322,263,271,38,74,67,73,33,79,63,71,492.8,37970,38699,2010223,5121335,6375028,6262,21501,26522
Hualaihue,317,49,58,55,2001,1999,2007,2007,73,214,161,149,8,58,303,216,3,8,19,11,61.9,4646,4735,613211,1306816,1588489,1934,4360,5626
Puerto Quemchi,305,27,93,81,2000,1997,2008,2006,77,145,199,188,11,30,85,90,3,5,21,28,56.2,4216,4297,548832,1241118,1422989,1799,4292,5178
Iquique,302,112,4186,2400,2005,2007,2008,2008,192,609,577,429,18,131,74,67,20,21,17,26,434.8,33502,34145,1900093,7994321,9276421,6292,25428,29000
Chaiten,296,22,45,35,1998,1998,1998,1996,96,160,143,156,11,31,543,953,1,8,13,15,44.3,3322,3386,1521976,3158028,4018472,5142,12006,15994
Puqueldon,272,33,35,40,2000,1997,2004,2006,77,195,160,180,10,70,178,213,2,132,110,97,42.3,3177,3238,251360,608543,676497,924,2248,2747
Antofagasta,264,128,2623,3410,2009,2009,2009,2010,256,343,293,299,27,74,50,51,32,52,40,43,430.5,33195,33832,1853221,5817308,6871835,7020,26694,32146
Pargua,231,40,184,206,1984,1995,2001,2001,262,462,434,434,55,167,145,140,19,32,30,35,83.4,6285,6406,501551,1318238,1738722,2171,6267,8526
Chonchi,231,31,64,74,2005,1999,2003,2004,109,1154,234,226,16,352,1550,1265,1,23,13,12,80.0,6010,6125,753031,1679178,2088998,3260,7639,10027
Quinchao,224,40,30,38,2000,1993,1995,1995,67,362,142,158,9,224,658,454,2,5,9,9,37.4,2809,2863,201523,480322,588911,900,2313,2957
Tres Puentes,221,38,473,387,2004,2001,2000,2000,315,1889,1094,1300,47,415,382,346,35,284,113,101,366.8,27709,28241,1942722,4569891,5521278,8791,21773,27073
Puerto Eden,220,47,456,282,1995,1995,1991,1995,445,794,477,577,53,160,200,205,4,18,15,29,189.8,14372,14648,1402118,3895334,3999580,6373,15273,19688
Talcahuano,217,65,1176,1830,2009,2007,1998,1998,214,792,627,603,67,126,584,594,34,138,334,336,444.0,34062,34716,891725,2957301,3598071,4109,17478,21853
Puerto Natales,216,31,671,397,1993,1992,1987,1988,638,646,638,706,62,113,80,111,23,36,37,68,230.9,17615,17954,1371056,4263487,4472883,6347,15971,20135
Punta Arenas,164,62,2621,2067,2003,2002,2004,2006,1312,1908,1249,1463,118,308,204,239,45,133,84,96,664.0,49856,50814,2905950,9267566,10590383,17719,60776,74160
Dalcahue,145,27,37,32,1999,1998,2001,2005,121,315,221,203,21,52,111,139,2,3,19,24,30.2,2265,2308,312532,586071,657330,2155,4484,5416
Achao,130,20,19,20,1996,1996,1999,2000,64,208,148,158,10,42,66,68,2,9,11,12,17.8,1336,1362,126054,296072,337343,970,2360,2874
Ayacara,129,22,42,36,2003,1997,2012,2013,84,261,227,211,11,45,88,91,8,22,93,76,39.8,2986,3043,986391,2147255,2824027,7646,17164,24217
Puerto Patache,123,98,1695,2947,2009,2010,2011,2011,425,553,548,555,59,86,114,115,71,146,166,166,199.0,15377,15673,1151986,2514412,3146352,9366,32742,38976
Caldera,122,89,1097,1858,2007,2009,2009,2010,364,355,325,322,28,97,51,50,34,60,65,66,216.5,16647,16967,860440,2553982,3063549,7053,26699,31975
Carahue,118,27,17,18,1993,1993,1998,2000,110,119,144,149,18,24,63,74,3,11,12,10,18.8,1412,1440,121277,302695,313760,1028,2415,2965
Arica,112,77,2208,2367,2008,2009,2011,2012,353,764,813,817,36,70,167,178,38,101,67,85,414.3,32002,32617,1707976,5905462,6773762,15250,58924,69434
Los Vilos,110,46,319,517,2010,2010,2011,2011,136,260,277,275,63,137,75,67,21,38,27,28,61.8,4719,4810,287830,777036,966443,2617,9281,11416
Puerto Williams,108,20,216,144,2006,1999,1997,1991,308,2125,1084,2121,35,428,2110,3087,14,23,11,10,117.4,8863,9033,1274562,2835900,3403049,11802,27916,34893
Patillos,97,56,1247,2090,2012,2012,2012,2012,379,636,684,680,77,108,114,114,47,78,69,70,144.1,11113,11326,732994,1795592,2349716,7557,29631,36417
Queilen,84,30,30,50,1984,1988,2001,2004,103,187,272,314,19,38,75,75,5,9,5,3,14.2,1066,1087,74329,206667,241588,885,2548,3361
Coquimbo,71,62,567,498,2003,2005,2006,2011,246,311,328,330,26,39,41,52,57,70,49,82,155.2,11917,12146,387468,1215534,1477319,5457,19997,23355
Coloso,68,45,672,1163,2009,2011,2012,2012,308,493,471,476,63,170,144,140,108,117,118,118,105.8,8149,8305,446044,1012690,1234732,6559,22676,27123
Guayacan,65,27,644,1074,2008,2007,2012,2012,243,419,385,382,52,86,81,79,28,26,29,29,150.2,11617,11840,257575,1576673,1826498,3963,28934,35578
Penco,61,35,221,357,2011,2011,2010,2010,105,250,270,265,63,81,87,88,14,50,80,80,54.1,4172,4252,158975,491382,601026,2606,10837,13295
