Int. Dep. by Type,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
General cargo,259,39,1706,2253,2008,2006,2009,2009,274,1541,1082,1046,26,156,288,284,53,71,73,75,396.9,30485,31070,2148956,6653097,9358676,8297,36839,47757
Service - tug,250,10,19,18,2000,2007,2007,2006,76,442,191,166,14,148,446,387,15,33,67,66,29.3,2199,2241,451396,1067416,1429212,1806,4662,6295
Bulk carrier,50,38,2680,4281,2005,2008,2009,2009,3254,2897,2697,2631,284,325,340,342,108,144,119,118,287.8,22242,22669,1818570,4409024,6341055,36371,146488,183094
Refrigerated bulk,43,28,437,511,1990,1991,1991,1991,1353,1983,1894,1870,118,169,232,231,131,144,204,202,298.6,22613,23047,1516063,3312671,3731412,35257,75133,81121
Container,35,2,91,120,2008,2008,2008,2008,499,463,420,420,49,54,47,47,50,87,53,53,33.3,2536,2585,267700,678946,766603,7649,19713,22199
Chemical tanker,22,19,510,825,2009,2009,2010,2010,1050,1269,1476,1481,80,120,249,249,60,93,67,67,106.0,8151,8307,296318,1436481,1670898,13469,75384,91341
Ro-Ro,7,1,4,5,2017,2017,2017,2017,235,235,377,377,30,30,100,100,3,3,15,15,2.9,216,220,16384,126318,59608,2341,5712,8143
Service - other,5,4,9,9,1995,1998,1995,1992,1040,2207,1423,1267,313,1435,1559,999,191,422,359,273,19.2,1439,1467,60778,124703,134375,12156,27048,30541
Ferry-RoPax,5,1,2,0,1976,1976,1976,1976,934,934,929,929,202,202,252,252,49,49,65,65,8.1,606,618,4792,10367,13783,958,2140,3049
Oil tanker,2,2,330,576,2012,2012,2009,2009,3839,3839,3831,3839,376,376,585,586,156,156,47,47,28.2,2184,2226,454299,712441,965365,227150,523736,659221
Miscellaneous - fishing,2,1,1,1,1986,1986,1986,1986,489,489,489,489,538,538,811,811,8,8,9,9,1.8,133,136,6370,14131,16065,3185,7496,8886
