Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Naantali,513,90,1077,1261,1988,1996,2001,2004,172,333,241,275,17,78,36,38,15,154,48,50,517.4,38850,39596,1707619,5113813,5191976,3329,9751,12051
Kilpilahti (Skoldvik),321,58,1019,1455,2004,2003,2005,2005,219,222,334,332,21,38,54,54,17,42,25,24,422.1,31689,32298,1749564,4709679,5561341,5450,17185,20548
Harvaluoto,310,10,232,80,1976,1986,1978,1975,78,2190,154,138,6,598,471,354,4,26,36,33,196.4,14745,15028,872586,3084227,2675068,2815,6425,9113
Turku,285,81,1202,218,1988,1991,2000,2002,95,279,233,222,12,103,36,69,7,112,20,25,278.6,20471,20864,994595,2459116,3082011,3490,8251,8769
Oulu,260,76,551,622,2005,2003,2003,2006,130,289,216,240,14,35,43,43,15,29,76,47,223.3,16749,17071,1012297,2638376,3167126,3893,11906,14279
Rauma,259,120,618,567,1998,1999,2005,2004,251,327,282,293,21,78,54,47,19,35,19,24,218.3,16344,16658,855112,2329428,2921657,3302,10643,13331
Asikkala,252,42,45,63,1982,1992,1989,1990,149,167,173,171,24,35,54,51,10,10,11,11,43.6,3274,3337,282818,880375,1065568,1122,3331,4704
Sunila,248,48,657,419,2003,1997,2006,2006,139,234,142,154,11,66,21,20,8,43,12,14,206.7,15511,15809,528797,1117972,1337907,2132,5468,6265
Kotka,241,101,452,621,2006,2003,2006,2007,127,297,205,221,15,49,56,48,15,51,69,69,192.6,14452,14729,701056,2058101,2649858,2909,10718,13610
Mustola,225,45,74,117,1985,1993,1994,1995,120,200,235,251,14,30,44,43,14,28,25,23,55.8,4197,4277,280655,883670,1027772,1247,3662,5136
Vuosaari,225,60,544,555,2007,2004,2008,2007,85,182,149,170,9,83,31,33,23,52,33,32,207.5,15513,15811,593747,2000735,2320158,2639,9809,11928
Kokkola,207,89,505,674,2003,2002,2003,2004,209,286,354,360,25,31,54,50,21,56,31,31,189.7,14244,14518,1048039,2928326,3610308,5063,16039,19625
Hanko,184,31,708,464,1999,1991,2006,2006,202,216,223,223,14,182,16,16,15,59,18,19,258.1,19375,19747,518879,974670,1150119,2820,6772,7334
Ajos,170,65,454,513,2000,2001,2001,2003,151,371,268,298,20,56,55,52,23,84,133,70,192.9,14307,14582,783947,2127454,2604706,4611,14419,17585
Helsinki,135,37,807,116,1989,1986,1991,1995,183,727,208,258,12,237,57,126,0,111,21,44,219.8,16189,16500,716777,1707935,2082610,5309,12230,13139
Roytta,130,73,151,145,2002,2003,2003,2006,130,185,248,205,16,28,82,64,38,44,38,44,71.3,5116,5215,425114,1056596,1332531,3270,9799,12315
Pietarsaari,120,64,180,244,2005,2001,2007,2008,214,263,286,285,24,103,39,37,25,46,47,47,68.9,5175,5274,391495,1064107,1393691,3262,11190,14237
Uusikaupunki,112,61,155,119,1998,1997,2007,2005,227,510,139,179,23,173,218,176,25,66,36,43,84.3,6329,6450,263873,677245,899834,2356,7238,9363
Lakulahti,111,60,140,195,1999,2001,2003,2003,110,239,236,243,24,41,77,73,24,63,172,149,86.5,6485,6610,270858,735349,934182,2440,8159,10315
Korpo (Korppoo),106,18,61,31,1984,1989,1991,1997,150,2145,521,524,17,578,806,595,18,177,123,76,111.3,8343,8503,437370,1033429,1279029,4126,9445,13318
Mariehamn,97,24,364,45,1984,1984,1990,1992,180,298,251,210,12,225,22,37,13,25,14,21,111.4,8363,8524,273873,664955,833226,2823,6370,6654
