Int. Dep. by Partner,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Sweden,5673,817,30144,17146,1998,2002,2002,2006,137,477,196,294,10,59,32,47,3,30,16,23,6128.6,459285,468103,36430447,98027273,119727075,6422,16752,17796
Netherlands,3957,1720,37941,42129,2002,2003,2011,2010,311,379,325,337,30,69,66,81,22,51,41,43,5844.0,439394,447830,28001472,82067400,93890621,7076,23635,28692
United Kingdom of Great Britain and Northern Ireland,3567,1223,45506,34821,2003,2004,2008,2008,414,568,460,475,40,70,52,66,19,36,29,36,6457.0,485360,494679,28881907,89911415,107562490,8097,27747,33701
Denmark,2793,941,8830,9060,1995,1998,2005,2007,234,409,372,388,29,66,378,146,15,52,90,50,2792.1,209666,213691,12242130,34254345,41972220,4383,13614,16734
Finland,2152,356,30708,16336,2004,2004,2006,2006,622,792,645,700,39,88,44,60,12,42,16,25,7997.8,600441,611970,29529199,75487836,88742904,13722,35252,38124
Belgium,1910,970,44975,40953,2008,2007,2011,2011,394,403,395,403,32,46,37,38,25,34,31,31,4553.5,341918,348483,23713092,72800467,83644218,12415,42985,50668
Norway,1749,600,14024,14774,2001,2002,2006,2007,427,602,595,649,42,91,78,91,15,43,44,67,2660.3,200157,204000,13510541,39703071,49210119,7725,26061,32267
Russian Federation,1233,603,27358,40427,2006,2006,2009,2010,901,1059,1157,1201,85,106,123,131,35,85,80,87,4276.5,321756,327934,22813442,70087103,81920809,18502,67558,82515
Poland,1116,533,16003,17072,1998,2000,2010,2010,375,528,767,773,42,83,66,67,28,96,71,72,2191.1,164492,167650,11452215,35645615,39595942,10262,34002,41399
France,871,458,15827,15678,2005,2005,2007,2006,539,679,563,556,54,74,62,74,25,40,28,31,2284.6,171973,175275,12088392,36537860,40142130,13879,45046,54623
Latvia,735,323,5443,6775,1996,2002,2003,2008,413,705,656,868,41,65,76,95,18,44,82,102,1042.6,78311,79814,7119358,19690348,24932858,9686,29922,35507
Estonia,517,242,7820,6562,2003,2003,2009,2008,714,767,723,849,62,76,66,86,10,28,19,30,1471.7,110513,112635,5683271,20230795,23968445,10993,43400,51869
Spain,506,373,11677,13838,2005,2005,2007,2008,1301,1572,1679,1803,137,163,179,210,22,44,35,39,1628.2,124043,126425,11051187,32685824,41679146,21840,77719,99512
Lithuania,381,273,4261,5070,2001,2002,2008,2009,482,541,741,764,51,68,78,86,28,54,38,46,639.5,48026,48948,3689913,10894783,13398042,9685,34226,41808
United States of America,376,222,74852,81757,2008,2009,2008,2008,4138,4548,4204,4253,271,378,311,338,18,50,33,43,8599.1,660705,673391,50870308,143169198,163934300,135293,430015,496317
Ireland,223,150,1854,1139,2004,2004,2010,2008,867,997,892,943,97,112,88,116,22,50,27,36,279.8,21143,21549,2073427,6267794,8413099,9298,31484,41764
Portugal,195,144,7599,8900,2008,2007,2014,2015,1414,1401,1463,1475,132,164,159,164,27,55,30,31,898.8,68499,69815,5558006,16358844,20344050,28503,104228,129724
Canada,146,84,24350,25929,2009,2010,2009,2010,3394,3667,3420,3438,256,336,305,344,56,72,66,86,2128.3,162488,165607,12910807,38311305,44505643,88430,298145,346468
Morocco,114,61,6929,8230,2007,2007,2009,2009,1712,1936,1801,1842,126,174,148,164,22,51,26,28,909.4,69586,70922,6082259,18935989,21257063,53353,178542,211269
Italy,80,73,6010,7356,2006,2006,2007,2007,2776,2862,2823,2884,232,237,221,239,31,59,58,71,789.5,60603,61767,4255909,12849724,15856344,53199,201677,248372
Turkey,73,67,5826,6043,2007,2007,2008,2009,3441,3547,3567,3634,310,328,323,386,51,84,92,119,566.7,43550,44386,3751475,11616847,14711903,51390,197693,241381
Mexico,58,23,11592,12906,2013,2011,2014,2015,5519,5467,5533,5524,326,365,335,330,14,39,21,21,1371.5,105792,107823,10482432,31418708,35198003,180732,576380,670013
Singapore,57,50,46697,37421,2010,2010,2013,2013,8774,9100,8989,8792,561,597,580,579,11,14,18,20,3551.8,274523,279794,14913540,59524629,63798493,261641,1041235,1216209
Brazil,53,48,11052,17231,2009,2009,2009,2010,5262,5394,5206,5214,444,482,490,509,97,121,123,134,921.4,71006,72369,5865524,15903574,20422468,110670,451625,562167
Malta,41,21,6952,7935,2008,2007,2009,2009,2720,2681,2735,2742,186,212,187,191,14,15,19,20,690.5,53079,54099,5674170,13918500,15366391,138394,382623,438611
Gibraltar,38,37,1486,2595,2008,2008,2008,2008,1753,1796,1858,1868,176,192,204,205,8,14,22,23,161.8,12367,12604,1096614,2911754,3722992,28858,109200,138118
Iceland,33,24,665,204,1997,1997,1998,2001,1247,1907,1423,1575,98,218,408,546,26,81,74,101,179.3,13604,13865,840056,2779955,3428838,25456,83971,100113
Faroe Islands,30,10,275,104,2001,1996,2011,2003,849,1048,1014,942,82,84,77,81,9,45,19,34,61.6,4660,4750,428909,1149492,1301251,14297,40598,45881
Colombia,28,25,7635,12805,2010,2011,2011,2012,4924,4965,4893,4864,414,425,426,437,34,58,66,71,499.9,38553,39293,4049850,11495298,12900927,144637,505085,593299
South Africa,25,25,9056,4659,2009,2009,2009,2011,6968,7092,7103,7195,439,504,492,552,18,68,49,114,646.3,49907,50865,3755921,13926806,16059646,150237,532617,587032
Saudi Arabia,19,19,4282,6515,2011,2011,2013,2012,4665,4968,4958,5159,424,481,503,557,65,134,142,173,369.4,28463,29010,1636698,5103367,5905415,86142,375145,459268
China,18,15,6865,2531,2009,2009,2006,2005,10008,5836,7457,4186,636,378,691,685,20,30,32,31,427.6,33054,33689,2551893,11226236,13002791,141772,538733,580199
Greece,17,16,960,1308,2006,2005,2007,2007,3169,3054,3112,3109,269,267,244,253,34,41,60,68,149.6,11463,11683,928896,2365435,2868617,54641,171649,213528
Algeria,16,16,747,1308,2011,2011,2011,2011,2256,2153,2079,2116,184,193,198,200,42,58,48,45,84.2,6424,6547,758607,1862786,2290884,47413,148125,187434
Slovenia,13,13,2547,834,2005,2005,2006,2005,3406,3425,3428,3427,221,218,219,219,36,39,39,39,155.8,12000,12230,844653,3724016,4312790,64973,246964,265787
Guinea,12,12,1860,2113,2008,2008,2007,2011,3321,3077,3001,3237,234,244,237,252,50,123,113,165,181.1,13935,14203,891266,1947497,2347126,74272,216021,249863
Cuba,9,8,1017,1362,2003,2003,2002,2002,5200,5211,5209,5215,332,369,344,348,21,59,47,52,164.3,12664,12908,1141986,3933714,4449103,126887,464403,549871
Egypt,9,9,954,1260,2005,2005,2012,2013,3671,3985,3894,3768,295,372,310,309,25,59,40,43,99.7,7650,7797,682525,1953760,2256121,75836,266212,319035
Libya,8,8,481,375,2005,2005,2005,2007,3151,3423,3212,3495,226,265,249,282,60,153,152,264,63.9,4897,4991,308169,1034521,1339488,38521,169175,210005
Nigeria,7,4,260,431,2007,2007,2011,2011,323,2452,3898,3997,24,222,434,437,8,94,188,190,27.0,2076,2116,197938,455615,629522,28277,104574,129154
Belize,7,5,1044,1351,2002,2001,2002,2002,5558,5620,5582,5583,359,369,368,368,24,26,25,25,149.4,11533,11755,1133975,4085385,4435054,161996,585095,682995
Senegal,6,5,1011,493,2002,2002,2002,2002,2986,3041,3057,3056,208,209,206,207,42,44,41,41,117.6,9045,9219,529161,975079,1136878,88193,207287,220039
Costa Rica,5,5,926,791,2001,2001,2003,2002,5588,5720,5982,5679,387,393,419,400,25,38,32,35,105.6,8134,8290,872330,2879613,3190846,174466,558165,632848
Indonesia,5,4,685,235,2008,2008,2001,2001,1088,3558,3886,3702,127,278,698,691,9,20,9,9,49.5,3816,3889,248266,1062523,1239951,49653,187049,204974
Trinidad and Tobago,5,5,850,1317,2011,2011,2013,2013,4752,5094,5547,5706,410,495,598,632,36,98,101,93,91.6,7042,7177,763384,2049793,2283653,152677,558907,704803
Malaysia,5,5,1871,1235,2004,2004,2003,2003,8698,9050,9027,9248,537,538,506,495,11,137,160,256,169.1,13059,13310,819216,3236578,4148226,163843,750885,922331
