Int. Arr. by Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,co2_t,co2e_t,s24_30,s24_40,s24_50,s24_30_voy,s24_40_voy,s24_50_voy
Nuuk,79,32,1573,1203,1994,1992,1998,2001,1606,1980,1696,1948,150,307,208,214,31,68,41,49,447.6,34293,34952,2459186,6532370,7667843,31129,89234,104066
Nanortalik Havn,22,20,476,131,1999,1998,2001,2004,990,1226,1093,1347,111,149,109,141,5,20,16,26,119.1,9182,9358,389222,1369392,1582451,17692,60437,66583
Tasiilaq,21,13,258,123,1997,1990,2002,2007,1558,929,997,1380,116,126,113,135,10,12,12,13,75.6,5786,5897,269633,902642,1149773,12840,45675,54899
Sisimiut,14,13,136,42,1996,1994,1998,2002,2254,2675,1795,2201,358,424,542,573,10,246,95,130,65.4,4929,5023,263223,713656,895378,18802,51810,64492
Narsarssuaq,8,6,61,24,1992,1987,1985,1993,915,1040,965,919,73,91,75,80,14,18,20,16,20.4,1559,1589,84567,364511,548099,10571,45280,62985
Pituffik (Thule Air Base),6,5,259,311,2003,2002,2006,2006,3119,2604,3005,3217,267,209,268,271,83,63,84,81,53.6,4127,4206,139712,573509,776595,23285,131871,172169
Illulissat (Jakobshavn),5,5,33,7,1989,1989,1999,1991,1263,1807,1084,903,136,724,373,717,10,13,10,11,23.5,1768,1801,37012,138398,203916,7402,26989,37352
Uummannaq Harbor,5,4,50,6,1993,1994,1994,1992,948,889,929,576,78,96,127,108,23,26,20,23,18.6,1433,1461,23057,113599,146384,4611,19723,22534
Qeqertarsuaq,4,4,58,10,1994,1994,1998,1995,1743,1730,1790,1612,208,204,260,244,4,4,3,3,24.3,1835,1870,40538,207810,359921,10134,49971,79215
Kangerlusuaq,4,2,56,8,1982,1982,1982,1982,1309,1309,1232,1238,107,106,115,114,12,10,15,15,26.5,2053,2092,23787,178579,271204,5947,39104,53968
Aasiaat,3,3,25,12,1999,1999,2000,2000,2496,2943,2922,2653,429,464,547,507,20,16,19,16,9.0,677,690,86245,191307,217497,28748,67658,80204
Paamuit (Frederikshab),3,3,2118,624,2000,2000,1989,1988,1120,16809,20130,32205,95,1167,3237,3301,9,10,13,13,149.2,11555,11777,643037,2905236,3390891,214346,833495,901725
Nalunaq Gold Mine,2,2,13,2,1991,1991,1995,1984,884,884,797,924,84,84,81,88,4,4,3,4,4.3,325,332,10554,46372,91065,5277,22894,39700
Maniitsoq,1,1,3,1,1986,1986,1986,1986,2078,2078,2078,2078,203,203,203,203,4,4,4,4,1.5,110,112,8769,19452,22114,8769,20638,24465
Kuummiut,1,1,5,4,2012,2012,2012,2012,1199,1199,1199,1199,77,77,77,77,79,79,79,79,1.0,74,75,25294,56108,63789,25294,59529,70569
Seqi Olivine Mine,1,1,0,0,2015,2015,2015,2015,1597,1597,1597,1597,1015,1015,1015,1015,145,145,145,145,1.4,109,111,11477,27139,36337,11477,29634,40012
