,imp_code_str3,imp_name,HS2,description,USD,tonne
0,112,Belarus,27," Anthracite, not agglomerated",8453006655.238999,31510632.877434004
1,112,Belarus,72," Pig iron, non-alloy, <0.5% phosphorus",1301647232.434,2711246.895028
2,112,Belarus,87, Pedestrian controlled tractors,878739581.006,142386.739765
3,112,Belarus,84, Nuclear reactors,738624675.711,115517.29967
4,112,Belarus,39, Polyethylene - specific gravity <0.94 in primary form,631361673.574,446666.273355
5,112,Belarus,73, Sheet piling of iron or steel,476527079.384,401637.869678
6,112,Belarus,85, Electric motors of an output < 37.5 watts,344107707.23700005,65252.398737
7,112,Belarus,76," Aluminium unwrought, not alloyed",214974002.065,85076.537892
8,112,Belarus,48, Newsprint,204554391.12899998,223070.310466
9,112,Belarus,38, Artificial graphite,151489633.153,94330.426321
10,112,Belarus,28, Chlorine,147436516.836,426101.416898
11,112,Belarus,40," Natural rubber latex, including prevulcanised",147287411.164,68341.278909
12,112,Belarus,34," Soaps, for toilet use, solid",131943876.73099999,95566.82369
13,112,Belarus,94," Seats, aircraft",126607286.103,57621.276997
14,112,Belarus,19," Infant foods of cereals, flour, starch or milk, retai",114960138.98900001,77942.409432
15,112,Belarus,03," Ornamental fish, live",110116374.343,65856.845821
16,112,Belarus,29, Saturated acyclic hydrocarbons,109459443.0,109764.868714
17,112,Belarus,44, Fuel wood,98537440.74599999,229058.64792299998
18,112,Belarus,32, Quebracho tanning extract,94979587.842,42935.208116
19,112,Belarus,21," Coffee extracts, essences, concentrates, preparations",90789843.28400001,56527.598708
20,112,Belarus,15," Lard, other pig fat and poultry fat, rendered",78787165.185,103722.524673
21,112,Belarus,25," Salt (sodium chloride) including solution, salt water",70583433.287,975081.519589
22,112,Belarus,70," Glass cullet, waste or scrap, glass in the mass",68012356.521,141801.567573
23,112,Belarus,68," Stone setts, curbstones, flagstones (except slate)",66993833.877000004,194107.036215
24,112,Belarus,22, Mineral and aerated waters not sweetened or flavoured,66630216.78,171958.53136
25,112,Belarus,08," Coconuts, fresh or dried",65281756.782000005,101674.62660599999
26,112,Belarus,23," Flour or meal, pellet of meat or offal for animal fee",65253184.527,114925.500853
27,112,Belarus,33, Essential oils of bergamot,55983300.043,7432.688891000001
28,112,Belarus,20," Cucumbers,gherkins, prepared or preserved by vinegar",55003386.08499999,40229.050314
29,112,Belarus,17," Raw sugar, cane",54448298.030999996,58665.069405999995
30,112,Belarus,86," Rail locomotives, externally electrically powered",54214763.924,15103.111874
