,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,266,Gabon,156,China,27," Anthracite, not agglomerated",838548433.535,2083811.7249130001,"China -  Anthracite, not agglomerated"
1,266,Gabon,780,Trinidad and Tobago,27," Anthracite, not agglomerated",425679197.66,966550.6,"Trinidad and Tobago -  Anthracite, not agglomerated"
2,266,Gabon,036,Australia,27," Anthracite, not agglomerated",343450996.127,751285.0,"Australia -  Anthracite, not agglomerated"
3,266,Gabon,410,"Korea, Republic of",27," Anthracite, not agglomerated",238395929.581,578853.2493810001,"Korea, Republic of -  Anthracite, not agglomerated"
4,266,Gabon,356,India,27," Anthracite, not agglomerated",207083517.24,533904.280273,"India -  Anthracite, not agglomerated"
5,266,Gabon,156,China,26," Iron ore, concentrate, not iron pyrites,unagglomerate",151367643.282,479965.7839,"China -  Iron ore, concentrate, not iron pyrites,unagglomerate"
6,266,Gabon,840,United States of America,27," Anthracite, not agglomerated",101117553.239,244051.638578,"United States of America -  Anthracite, not agglomerated"
7,266,Gabon,380,Italy,27," Anthracite, not agglomerated",104313011.951,238829.95024399998,"Italy -  Anthracite, not agglomerated"
8,266,Gabon,528,Netherlands (Kingdom of the),27," Anthracite, not agglomerated",77725760.933,176791.735483,"Netherlands (Kingdom of the) -  Anthracite, not agglomerated"
9,266,Gabon,360,Indonesia,27," Anthracite, not agglomerated",58427657.787,168774.627744,"Indonesia -  Anthracite, not agglomerated"
10,266,Gabon,724,Spain,26," Iron ore, concentrate, not iron pyrites,unagglomerate",50842369.013,157331.0,"Spain -  Iron ore, concentrate, not iron pyrites,unagglomerate"
11,266,Gabon,752,Sweden,27," Anthracite, not agglomerated",68809102.537,136757.0,"Sweden -  Anthracite, not agglomerated"
12,266,Gabon,156,China,44, Fuel wood,94886674.066,128444.930655,China -  Fuel wood
13,266,Gabon,620,Portugal,27," Anthracite, not agglomerated",52780267.015,125881.0,"Portugal -  Anthracite, not agglomerated"
14,266,Gabon,250,France,26," Iron ore, concentrate, not iron pyrites,unagglomerate",56022177.1,120989.543402,"France -  Iron ore, concentrate, not iron pyrites,unagglomerate"
15,266,Gabon,840,United States of America,26," Iron ore, concentrate, not iron pyrites,unagglomerate",63629266.598,106043.161464,"United States of America -  Iron ore, concentrate, not iron pyrites,unagglomerate"
16,266,Gabon,392,Japan,26," Iron ore, concentrate, not iron pyrites,unagglomerate",33577170.526,104505.216185,"Japan -  Iron ore, concentrate, not iron pyrites,unagglomerate"
17,266,Gabon,764,Thailand,27," Anthracite, not agglomerated",48661128.94,99506.9,"Thailand -  Anthracite, not agglomerated"
18,266,Gabon,578,Norway,26," Iron ore, concentrate, not iron pyrites,unagglomerate",42218467.444,88819.821963,"Norway -  Iron ore, concentrate, not iron pyrites,unagglomerate"
19,266,Gabon,643,Russian Federation,26," Iron ore, concentrate, not iron pyrites,unagglomerate",32827721.441,75171.302546,"Russian Federation -  Iron ore, concentrate, not iron pyrites,unagglomerate"
20,266,Gabon,356,India,26," Iron ore, concentrate, not iron pyrites,unagglomerate",10799989.518,46114.114817,"India -  Iron ore, concentrate, not iron pyrites,unagglomerate"
21,266,Gabon,702,Singapore,27," Anthracite, not agglomerated",15186535.723,41426.102018,"Singapore -  Anthracite, not agglomerated"
22,266,Gabon,250,France,44, Fuel wood,64188097.606,40470.400312,France -  Fuel wood
23,266,Gabon,276,Germany,27," Anthracite, not agglomerated",13162830.736,27061.51,"Germany -  Anthracite, not agglomerated"
24,266,Gabon,356,India,44, Fuel wood,16118808.885,18548.772612,India -  Fuel wood
25,266,Gabon,300,Greece,26," Iron ore, concentrate, not iron pyrites,unagglomerate",7857125.965,18006.0,"Greece -  Iron ore, concentrate, not iron pyrites,unagglomerate"
26,266,Gabon,056,Belgium,44, Fuel wood,11636336.961,10820.378708,Belgium -  Fuel wood
27,266,Gabon,380,Italy,44, Fuel wood,12799909.228,10616.352693,Italy -  Fuel wood
28,266,Gabon,120,Cameroon,15," Lard, other pig fat and poultry fat, rendered",6258339.699,10155.622362,"Cameroon -  Lard, other pig fat and poultry fat, rendered"
29,266,Gabon,392,Japan,72," Pig iron, non-alloy, <0.5% phosphorus",11166916.164,10097.027329,"Japan -  Pig iron, non-alloy, <0.5% phosphorus"
30,266,Gabon,300,Greece,44, Fuel wood,8791906.283,9415.66,Greece -  Fuel wood
31,266,Gabon,410,"Korea, Republic of",26," Iron ore, concentrate, not iron pyrites,unagglomerate",2510620.885,8144.690685,"Korea, Republic of -  Iron ore, concentrate, not iron pyrites,unagglomerate"
32,266,Gabon,250,France,27," Anthracite, not agglomerated",10691233.495,7905.405904,"France -  Anthracite, not agglomerated"
33,266,Gabon,392,Japan,27," Anthracite, not agglomerated",3753149.819,7601.036907,"Japan -  Anthracite, not agglomerated"
34,266,Gabon,504,Morocco,44, Fuel wood,7934543.1,7203.310611999999,Morocco -  Fuel wood
35,266,Gabon,724,Spain,44, Fuel wood,8879254.966,6933.058,Spain -  Fuel wood
36,266,Gabon,056,Belgium,26," Iron ore, concentrate, not iron pyrites,unagglomerate",2477136.532,6291.332377000001,"Belgium -  Iron ore, concentrate, not iron pyrites,unagglomerate"
37,266,Gabon,792,Türkiye,72," Pig iron, non-alloy, <0.5% phosphorus",6654737.0,6038.76,"Türkiye -  Pig iron, non-alloy, <0.5% phosphorus"
38,266,Gabon,528,Netherlands (Kingdom of the),72," Pig iron, non-alloy, <0.5% phosphorus",5050772.366,5304.673323,"Netherlands (Kingdom of the) -  Pig iron, non-alloy, <0.5% phosphorus"
39,266,Gabon,528,Netherlands (Kingdom of the),44, Fuel wood,6776063.309,4963.82252,Netherlands (Kingdom of the) -  Fuel wood
40,266,Gabon,616,Poland,26," Iron ore, concentrate, not iron pyrites,unagglomerate",1894176.934,4816.254205,"Poland -  Iron ore, concentrate, not iron pyrites,unagglomerate"
41,266,Gabon,288,Ghana,72," Pig iron, non-alloy, <0.5% phosphorus",1909246.83,4266.981663,"Ghana -  Pig iron, non-alloy, <0.5% phosphorus"
42,266,Gabon,276,Germany,72," Pig iron, non-alloy, <0.5% phosphorus",4045045.619,3794.7555780000002,"Germany -  Pig iron, non-alloy, <0.5% phosphorus"
