,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,388,Jamaica,578,Norway,28, Chlorine,126372594.58,272852.529485,Norway -  Chlorine
1,388,Jamaica,643,Russian Federation,28, Chlorine,89320154.935,235052.51987599998,Russian Federation -  Chlorine
2,388,Jamaica,352,Iceland,28, Chlorine,79238009.636,201477.049568,Iceland -  Chlorine
3,388,Jamaica,840,United States of America,28, Chlorine,75275905.924,167388.56546900002,United States of America -  Chlorine
4,388,Jamaica,276,Germany,28, Chlorine,60362841.271,171013.45,Germany -  Chlorine
5,388,Jamaica,250,France,28, Chlorine,55433625.271,56225.142684,France -  Chlorine
6,388,Jamaica,840,United States of America,22, Mineral and aerated waters not sweetened or flavoured,38368959.628,23308.490793,United States of America -  Mineral and aerated waters not sweetened or flavoured
7,388,Jamaica,120,Cameroon,28, Chlorine,20116622.718,40920.97255,Cameroon -  Chlorine
8,388,Jamaica,840,United States of America,21," Coffee extracts, essences, concentrates, preparations",18555024.421,5124.5736560000005,"United States of America -  Coffee extracts, essences, concentrates, preparations"
9,388,Jamaica,840,United States of America,20," Cucumbers,gherkins, prepared or preserved by vinegar",14365140.739,5449.517605,"United States of America -  Cucumbers,gherkins, prepared or preserved by vinegar"
10,388,Jamaica,703,Slovakia,28, Chlorine,12310495.298,30804.453428,Slovakia -  Chlorine
11,388,Jamaica,826,United Kingdom,22, Mineral and aerated waters not sweetened or flavoured,11995744.097,5669.11306,United Kingdom -  Mineral and aerated waters not sweetened or flavoured
12,388,Jamaica,380,Italy,89," Cruise ships, excursion boats, ferry boats",11914729.75,156.167826,"Italy -  Cruise ships, excursion boats, ferry boats"
13,388,Jamaica,840,United States of America,19," Infant foods of cereals, flour, starch or milk, retai",11844988.768,3675.273365,"United States of America -  Infant foods of cereals, flour, starch or milk, retai"
14,388,Jamaica,276,Germany,22, Mineral and aerated waters not sweetened or flavoured,11593509.502,7221.513,Germany -  Mineral and aerated waters not sweetened or flavoured
15,388,Jamaica,818,Egypt,28, Chlorine,10191653.599,6621.111255,Egypt -  Chlorine
16,388,Jamaica,392,Japan,09," Coffee, not roasted, not decaffeinated",9658058.252,398.042168,"Japan -  Coffee, not roasted, not decaffeinated"
17,388,Jamaica,840,United States of America,09," Coffee, not roasted, not decaffeinated",8146819.846,1354.748956,"United States of America -  Coffee, not roasted, not decaffeinated"
18,388,Jamaica,156,China,28, Chlorine,7959971.53,32225.94742,China -  Chlorine
19,388,Jamaica,826,United Kingdom,17," Raw sugar, cane",6356707.14,19809.228247000003,"United Kingdom -  Raw sugar, cane"
20,388,Jamaica,780,Trinidad and Tobago,22, Mineral and aerated waters not sweetened or flavoured,5975455.341,4038.502423,Trinidad and Tobago -  Mineral and aerated waters not sweetened or flavoured
21,388,Jamaica,764,Thailand,72," Pig iron, non-alloy, <0.5% phosphorus",5783024.906,20446.45,"Thailand -  Pig iron, non-alloy, <0.5% phosphorus"
22,388,Jamaica,840,United States of America,17," Raw sugar, cane",5254716.833,10649.005916,"United States of America -  Raw sugar, cane"
