,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,756,"Switzerland, Liechtenstein",446,"China, Macao SAR",91," Wrist-watch, precious metal, battery, with hands",739229611.081,29223.838634,"Switzerland, Liechtenstein -  Wrist-watch, precious metal, battery, with hands"
1,344,"China, Hong Kong SAR",446,"China, Macao SAR",71," Pearls natural, not permanently mounted or set",609453867.342,19870.486967,"China, Hong Kong SAR -  Pearls natural, not permanently mounted or set"
2,380,Italy,446,"China, Macao SAR",42," Saddlery and harness, of any material",300067165.257,360.382621,"Italy -  Saddlery and harness, of any material"
3,250,France,446,"China, Macao SAR",33, Essential oils of bergamot,265446585.823,1851.24165,France -  Essential oils of bergamot
4,156,China,446,"China, Macao SAR",27," Anthracite, not agglomerated",259699785.333,341850.099894,"China -  Anthracite, not agglomerated"
5,250,France,446,"China, Macao SAR",42," Saddlery and harness, of any material",208381052.654,146.7491,"France -  Saddlery and harness, of any material"
6,156,China,446,"China, Macao SAR",84, Nuclear reactors,188776052.11,7900.982378,China -  Nuclear reactors
7,156,China,446,"China, Macao SAR",71," Pearls natural, not permanently mounted or set",185618637.292,6269.320086,"China -  Pearls natural, not permanently mounted or set"
8,528,Netherlands (Kingdom of the),446,"China, Macao SAR",19," Infant foods of cereals, flour, starch or milk, retai",175022732.518,5788.092,"Netherlands (Kingdom of the) -  Infant foods of cereals, flour, starch or milk, retai"
9,250,France,446,"China, Macao SAR",22, Mineral and aerated waters not sweetened or flavoured,150748140.087,3540.416,France -  Mineral and aerated waters not sweetened or flavoured
10,392,Japan,446,"China, Macao SAR",87, Pedestrian controlled tractors,132365872.664,7862.809609,Japan -  Pedestrian controlled tractors
11,380,Italy,446,"China, Macao SAR",64," Waterproof footwear (Wellingtons etc), metal toe cap",126439267.899,327.691,"Italy -  Waterproof footwear (Wellingtons etc), metal toe cap"
12,156,China,446,"China, Macao SAR",61," Mens, boys overcoats, etc, of wool or hair, knit",122741797.474,2607.22773,"China -  Mens, boys overcoats, etc, of wool or hair, knit"
13,250,France,446,"China, Macao SAR",71," Pearls natural, not permanently mounted or set",117846235.974,3843.832239,"France -  Pearls natural, not permanently mounted or set"
14,156,China,446,"China, Macao SAR",85, Electric motors of an output < 37.5 watts,105292176.019,5792.087,China -  Electric motors of an output < 37.5 watts
15,410,"Korea, Republic of",446,"China, Macao SAR",33, Essential oils of bergamot,100651019.238,4309.067,"Korea, Republic of -  Essential oils of bergamot"
16,380,Italy,446,"China, Macao SAR",33, Essential oils of bergamot,99087785.82,537.11,Italy -  Essential oils of bergamot
17,380,Italy,446,"China, Macao SAR",61," Mens, boys overcoats, etc, of wool or hair, knit",96997535.982,208.046058,"Italy -  Mens, boys overcoats, etc, of wool or hair, knit"
18,156,China,446,"China, Macao SAR",72," Pig iron, non-alloy, <0.5% phosphorus",89278572.736,160615.877,"China -  Pig iron, non-alloy, <0.5% phosphorus"
19,156,China,446,"China, Macao SAR",64," Waterproof footwear (Wellingtons etc), metal toe cap",86755638.853,2956.647,"China -  Waterproof footwear (Wellingtons etc), metal toe cap"
20,380,Italy,446,"China, Macao SAR",62," Mens, boys overcoats of wool or hair, not knit",86471493.969,181.15766200000002,"Italy -  Mens, boys overcoats of wool or hair, not knit"
