,imp_code_str3,imp_name,HS2,description,USD,tonne
0,499,Montenegro,27," Anthracite, not agglomerated",196151955.796,322245.020395
1,499,Montenegro,25," Salt (sodium chloride) including solution, salt water",15865005.865,265863.973451
2,499,Montenegro,69," Bricks, blocks and ceramic goods of siliceous earths",3867813.606,71691.271499
3,499,Montenegro,72," Pig iron, non-alloy, <0.5% phosphorus",40037511.986,60738.072884
4,499,Montenegro,38, Artificial graphite,12941105.459999999,60167.662006000006
5,499,Montenegro,28, Chlorine,21143578.437000003,58618.49345
6,499,Montenegro,22, Mineral and aerated waters not sweetened or flavoured,11986399.776999999,45382.237469
7,499,Montenegro,32, Quebracho tanning extract,14405413.302,39337.250654
8,499,Montenegro,68," Stone setts, curbstones, flagstones (except slate)",8299306.14,36227.538594
9,499,Montenegro,73, Sheet piling of iron or steel,41255832.069,33270.134578
10,499,Montenegro,87, Pedestrian controlled tractors,108369092.149,26774.063402
11,499,Montenegro,08," Coconuts, fresh or dried",11280142.651999999,23847.660838
12,499,Montenegro,23," Flour or meal, pellet of meat or offal for animal fee",7348419.579000001,16846.824867
13,499,Montenegro,39, Polyethylene - specific gravity <0.94 in primary form,41010705.196,15583.852613
14,499,Montenegro,07," Potatoes seed, fresh or chilled",10586043.550999999,15557.065515
15,499,Montenegro,04, Milk not concentrated nor sweetened < 1% fat,13641140.23,13795.777918
16,499,Montenegro,94," Seats, aircraft",35016553.363,11762.271217
17,499,Montenegro,84, Nuclear reactors,65623905.780999996,11685.133313
18,499,Montenegro,44, Fuel wood,12621949.956,11606.659871
19,499,Montenegro,48, Newsprint,16372338.709999999,10911.40604
20,499,Montenegro,15," Lard, other pig fat and poultry fat, rendered",9467171.371000001,10584.95294
21,499,Montenegro,02," Bovine carcasses and half carcasses, fresh or chilled",22207610.685,9880.780818
22,499,Montenegro,34," Soaps, for toilet use, solid",9812450.471,7506.991844
23,499,Montenegro,85, Electric motors of an output < 37.5 watts,42021365.932000004,6869.5715
24,499,Montenegro,17," Raw sugar, cane",4132023.9579999996,6179.679998
25,499,Montenegro,70," Glass cullet, waste or scrap, glass in the mass",5191002.839,5817.453305
26,499,Montenegro,20," Cucumbers,gherkins, prepared or preserved by vinegar",6834867.0370000005,5438.848663
27,499,Montenegro,21," Coffee extracts, essences, concentrates, preparations",10607759.899,3426.13848
28,499,Montenegro,31," Animal or vegetable fertilizers, in packs >10 kg",919342.131,3331.0281109999996
29,499,Montenegro,19," Infant foods of cereals, flour, starch or milk, retai",5665885.413,2856.642155
30,499,Montenegro,11, Wheat or meslin flour,1186377.351,2763.4436829999995
31,499,Montenegro,40," Natural rubber latex, including prevulcanised",10417480.879,2484.001816
32,499,Montenegro,76," Aluminium unwrought, not alloyed",12245948.946,2390.131617
33,499,Montenegro,09," Coffee, not roasted, not decaffeinated",5895070.211,2346.741712
34,499,Montenegro,35, Casein,1185690.879,2057.829418
35,499,Montenegro,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",2265729.1520000002,1846.472067
36,499,Montenegro,03," Ornamental fish, live",7415703.219,1467.633772
37,499,Montenegro,12, Soya beans,1217066.3420000002,1427.494369
38,499,Montenegro,36, Propellent powders,903062.8890000001,1388.552214
39,499,Montenegro,16," Sausages, similar products of meat, meat offal & bloo",3635707.552,1054.588273
40,499,Montenegro,10, Durum wheat,450996.346,1027.310613
41,499,Montenegro,96," Worked ivory, articles of ivory",8975581.254,1006.408013
42,499,Montenegro,83, Padlocks of base metal,4342009.407,850.677529
43,499,Montenegro,95," Rideable wheeled toys, dolls carriages",4742516.736,780.957639
44,499,Montenegro,33, Essential oils of bergamot,4939751.517,613.24256
45,499,Montenegro,56," Sanitary towels, diapers and similar articles",1889275.044,554.8236430000001
46,499,Montenegro,57," Carpets of wool or fine animal hair, knotted",784001.226,364.14223499999997
47,499,Montenegro,29, Saturated acyclic hydrocarbons,1937499.187,352.227598
48,499,Montenegro,82, Spades and shovels,2370143.07,322.536139
49,499,Montenegro,90," Optical fibres, except for telecommunications",12159735.671,297.959302
50,499,Montenegro,63, Electric blankets of textile material,1608096.963,261.992456
51,499,Montenegro,49," Brochures, leaflets and similar, in single sheets",1582117.362,239.47844099999998
52,499,Montenegro,18," Cocoa beans, whole or broken, raw or roasted",965338.586,234.844782
53,499,Montenegro,62," Mens, boys overcoats of wool or hair, not knit",3730650.068,220.00950600000002
54,499,Montenegro,89," Cruise ships, excursion boats, ferry boats",818585.675,196.68187
55,499,Montenegro,74, Copper mattes,1338006.163,142.653755
56,499,Montenegro,42," Saddlery and harness, of any material",2231390.572,138.487742
57,499,Montenegro,64," Waterproof footwear (Wellingtons etc), metal toe cap",2993067.42,124.256687
58,499,Montenegro,66, Garden and similar umbrellas,147040.773,90.667601
59,499,Montenegro,86," Rail locomotives, externally electrically powered",208979.434,80.407381
60,499,Montenegro,37, X-ray plates and films,495211.372,75.135754
61,499,Montenegro,59, Gum or amylaceous covered textiles for book covers et,273846.794,60.776782000000004
62,499,Montenegro,30," Glands and other organs, dried, for therapeutic uses",3964922.647,56.83455
63,499,Montenegro,75, Nickel mattes,167878.59600000002,54.48100200000001
64,499,Montenegro,93," Military weapons, other than hand guns, swords, etc",462.49,38.429641
65,499,Montenegro,61," Mens, boys overcoats, etc, of wool or hair, knit",1034486.756,35.165845999999995
66,499,Montenegro,79," Zinc, not alloyed, unwrought, >99% pure",89162.125,30.066725999999996
67,499,Montenegro,60," ""Long pile"" knit or crochet textile fabric",116342.00200000001,28.302828
68,499,Montenegro,45," Natural cork, raw or simply prepared",347331.676,25.373989
69,499,Montenegro,14, Bamboos used primarily for plaiting,981.66,25.03951
70,499,Montenegro,46, Plaits and products of plaiting materials,31029.613,24.176578
71,499,Montenegro,05," Hair, human, unworked, waste of human hair",62131.351,19.777858000000002
72,499,Montenegro,65," Hat-forms, etc of felt, not shaped, no formed brim",165952.202,19.176271999999997
73,499,Montenegro,54, Sewing thread of synthetic filaments,69945.257,14.44555
74,499,Montenegro,55," Filament tow of nylon, polyamides",72631.493,13.125361999999999
75,499,Montenegro,24," Tobacco, unmanufactured, not stemmed or stripped",228663.961,8.888649
76,499,Montenegro,13, Lac,35100.707,6.898508
77,499,Montenegro,67," Bird skins and feathers, articles therefrom",34416.621,6.570078
78,499,Montenegro,92," Upright pianos, including auto-players",124961.12799999998,5.723961
79,499,Montenegro,88," Gliders, hang gliders",935489.7660000001,5.531431
80,499,Montenegro,26," Iron ore, concentrate, not iron pyrites,unagglomerate",1352.891,4.342609
81,499,Montenegro,91," Wrist-watch, precious metal, battery, with hands",213017.227,3.6048210000000003
82,499,Montenegro,71," Pearls natural, not permanently mounted or set",172972.921,3.172126
83,499,Montenegro,81," Powders, tungsten (wolfram)",2957.694,2.991408
84,499,Montenegro,78, Lead refined unwrought,9316.996,2.3537500000000002
85,499,Montenegro,52," Cotton, not carded or combed",20272.809999999998,2.286111
86,499,Montenegro,41," Bovine skins, whole, raw",12770.656,1.532339
87,499,Montenegro,53," Flax fibre, raw or retted",6886.992,1.012402
88,499,Montenegro,43," Raw mink furskins, whole",107368.891,0.9471990000000001
89,499,Montenegro,58," Woven pile fabric of wool or fine animal hair, w >30c",5879.1630000000005,0.79216
90,499,Montenegro,80, Tin not alloyed unwrought,12518.407,0.32708200000000004
91,499,Montenegro,51," Greasy shorn wool, not carded or combed",460.832,0.114759
92,499,Montenegro,47, Mechanical wood pulp,520.756,0.05404899999999999
93,499,Montenegro,01," Horses, live pure-bred breeding",0.0,4.9999999999999996e-06
94,499,Montenegro,50, Silk-worm cocoons suitable for reeling,0.0,0.0
