,exp_code_str3,exp_name,imp_code_str3,imp_name,HS2,description,USD,tonne,clean_desc
0,528,Netherlands (Kingdom of the),566,Nigeria,27," Anthracite, not agglomerated",3803648602.106,4111350.337651,"Netherlands (Kingdom of the) -  Anthracite, not agglomerated"
1,056,Belgium,566,Nigeria,27," Anthracite, not agglomerated",2875733781.912,3629987.847465,"Belgium -  Anthracite, not agglomerated"
2,156,China,566,Nigeria,84, Nuclear reactors,1905511963.748,1355463.955264,China -  Nuclear reactors
3,428,Latvia,566,Nigeria,27," Anthracite, not agglomerated",582679009.84,793969.6557059999,"Latvia -  Anthracite, not agglomerated"
4,578,Norway,566,Nigeria,27," Anthracite, not agglomerated",438826772.104,613712.82591,"Norway -  Anthracite, not agglomerated"
5,840,United States of America,566,Nigeria,87, Pedestrian controlled tractors,711656924.433,596615.912516,United States of America -  Pedestrian controlled tractors
6,076,Brazil,566,Nigeria,17," Raw sugar, cane",490648806.096,591793.581,"Brazil -  Raw sugar, cane"
7,840,United States of America,566,Nigeria,27," Anthracite, not agglomerated",687758098.032,591056.5809859999,"United States of America -  Anthracite, not agglomerated"
8,724,Spain,566,Nigeria,27," Anthracite, not agglomerated",458924256.081,492287.750369,"Spain -  Anthracite, not agglomerated"
9,643,Russian Federation,566,Nigeria,10, Durum wheat,470243717.177,479533.937654,Russian Federation -  Durum wheat
10,724,Spain,566,Nigeria,25," Salt (sodium chloride) including solution, salt water",13486252.008,389729.751,"Spain -  Salt (sodium chloride) including solution, salt water"
11,156,China,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,339559459.955,341069.683283,China -  Polyethylene - specific gravity <0.94 in primary form
12,156,China,566,Nigeria,85, Electric motors of an output < 37.5 watts,598017794.801,304247.177198,China -  Electric motors of an output < 37.5 watts
13,124,Canada,566,Nigeria,10, Durum wheat,280191571.944,285727.087644,Canada -  Durum wheat
14,156,China,566,Nigeria,72," Pig iron, non-alloy, <0.5% phosphorus",352178154.25,261196.21239700002,"China -  Pig iron, non-alloy, <0.5% phosphorus"
15,840,United States of America,566,Nigeria,10, Durum wheat,250605032.697,242519.374446,United States of America -  Durum wheat
16,156,China,566,Nigeria,87, Pedestrian controlled tractors,526742868.688,221637.799926,China -  Pedestrian controlled tractors
17,792,Türkiye,566,Nigeria,25," Salt (sodium chloride) including solution, salt water",21426644.562,217378.487,"Türkiye -  Salt (sodium chloride) including solution, salt water"
18,076,Brazil,566,Nigeria,25," Salt (sodium chloride) including solution, salt water",21668090.381,199463.0,"Brazil -  Salt (sodium chloride) including solution, salt water"
19,156,China,566,Nigeria,44, Fuel wood,52777158.379,194557.602164,China -  Fuel wood
20,682,Saudi Arabia,566,Nigeria,27," Anthracite, not agglomerated",179958166.287,194548.245184,"Saudi Arabia -  Anthracite, not agglomerated"
21,156,China,566,Nigeria,73, Sheet piling of iron or steel,201178059.258,190728.93198300002,China -  Sheet piling of iron or steel
22,682,Saudi Arabia,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,234704110.437,186225.948114,Saudi Arabia -  Polyethylene - specific gravity <0.94 in primary form
23,156,China,566,Nigeria,69," Bricks, blocks and ceramic goods of siliceous earths",50146195.182,180782.5599,"China -  Bricks, blocks and ceramic goods of siliceous earths"
24,826,United Kingdom,566,Nigeria,27," Anthracite, not agglomerated",244276822.436,176002.998529,"United Kingdom -  Anthracite, not agglomerated"
25,156,China,566,Nigeria,28, Chlorine,142632014.489,159111.9065,China -  Chlorine
26,156,China,566,Nigeria,38, Artificial graphite,326768616.369,155895.23763800002,China -  Artificial graphite
27,356,India,566,Nigeria,87, Pedestrian controlled tractors,517057380.747,154342.66090000002,India -  Pedestrian controlled tractors
28,376,Israel,566,Nigeria,27," Anthracite, not agglomerated",110032250.974,153427.095057,"Israel -  Anthracite, not agglomerated"
29,804,Ukraine,566,Nigeria,72," Pig iron, non-alloy, <0.5% phosphorus",90023679.854,147282.964,"Ukraine -  Pig iron, non-alloy, <0.5% phosphorus"
30,840,United States of America,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,130069665.137,130512.185507,United States of America -  Polyethylene - specific gravity <0.94 in primary form
31,156,China,566,Nigeria,40," Natural rubber latex, including prevulcanised",174112837.597,128942.55533,"China -  Natural rubber latex, including prevulcanised"
32,156,China,566,Nigeria,90," Optical fibres, except for telecommunications",135859403.62,119911.317617,"China -  Optical fibres, except for telecommunications"
33,156,China,566,Nigeria,48, Newsprint,94701680.128,111855.9693,China -  Newsprint
34,156,China,566,Nigeria,29, Saturated acyclic hydrocarbons,153875966.826,110920.05470800001,China -  Saturated acyclic hydrocarbons
35,360,Indonesia,566,Nigeria,48, Newsprint,91123144.332,107060.055465,Indonesia -  Newsprint
36,784,United Arab Emirates,566,Nigeria,27," Anthracite, not agglomerated",79301600.051,105189.124711,"United Arab Emirates -  Anthracite, not agglomerated"
37,356,India,566,Nigeria,27," Anthracite, not agglomerated",90146231.155,102582.655528,"India -  Anthracite, not agglomerated"
38,233,Estonia,566,Nigeria,27," Anthracite, not agglomerated",93778745.424,101381.84187,"Estonia -  Anthracite, not agglomerated"
39,528,Netherlands (Kingdom of the),566,Nigeria,03," Ornamental fish, live",169441149.938,94191.958,"Netherlands (Kingdom of the) -  Ornamental fish, live"
40,410,"Korea, Republic of",566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,136556444.429,94191.355477,"Korea, Republic of -  Polyethylene - specific gravity <0.94 in primary form"
41,804,Ukraine,566,Nigeria,10, Durum wheat,22144527.223,89432.0,Ukraine -  Durum wheat
42,710,South Africa,566,Nigeria,39, Polyethylene - specific gravity <0.94 in primary form,111997769.58,87056.820546,South Africa -  Polyethylene - specific gravity <0.94 in primary form
