,exp_code_str3,exp_name,HS2,description,USD,tonne
0,652,Saint Barthélemy,26," Iron ore, concentrate, not iron pyrites,unagglomerate",347607.377,10476.102653000002
1,652,Saint Barthélemy,31," Animal or vegetable fertilizers, in packs >10 kg",92962.313,169.78101500000002
2,652,Saint Barthélemy,08," Coconuts, fresh or dried",75809.539,118.014863
3,652,Saint Barthélemy,72," Pig iron, non-alloy, <0.5% phosphorus",57829.282,96.042394
4,652,Saint Barthélemy,33, Essential oils of bergamot,2489426.95,88.70870900000001
5,652,Saint Barthélemy,47, Mechanical wood pulp,8244.242,86.847364
6,652,Saint Barthélemy,16," Sausages, similar products of meat, meat offal & bloo",272880.139,63.017196999999996
7,652,Saint Barthélemy,07," Potatoes seed, fresh or chilled",75203.18400000001,58.01415399999999
8,652,Saint Barthélemy,34," Soaps, for toilet use, solid",90495.432,56.103291999999996
9,652,Saint Barthélemy,22, Mineral and aerated waters not sweetened or flavoured,172245.25100000002,46.487351000000004
10,652,Saint Barthélemy,68," Stone setts, curbstones, flagstones (except slate)",38240.697,45.490577
11,652,Saint Barthélemy,04, Milk not concentrated nor sweetened < 1% fat,127586.247,43.970942
12,652,Saint Barthélemy,44, Fuel wood,28361.753,43.086869
13,652,Saint Barthélemy,39, Polyethylene - specific gravity <0.94 in primary form,136007.307,42.631885
14,652,Saint Barthélemy,87, Pedestrian controlled tractors,336126.271,40.779285
15,652,Saint Barthélemy,25," Salt (sodium chloride) including solution, salt water",326.736,36.382650999999996
16,652,Saint Barthélemy,84, Nuclear reactors,275835.368,28.23094
17,652,Saint Barthélemy,21," Coffee extracts, essences, concentrates, preparations",84298.004,26.90242
18,652,Saint Barthélemy,73, Sheet piling of iron or steel,75849.35200000001,25.885065
19,652,Saint Barthélemy,29, Saturated acyclic hydrocarbons,47695.367,24.061253999999998
20,652,Saint Barthélemy,94," Seats, aircraft",84647.873,21.23628
21,652,Saint Barthélemy,54, Sewing thread of synthetic filaments,78737.278,13.761038
22,652,Saint Barthélemy,27," Anthracite, not agglomerated",5229.6990000000005,13.510849000000002
23,652,Saint Barthélemy,76," Aluminium unwrought, not alloyed",81872.974,12.127603
24,652,Saint Barthélemy,70," Glass cullet, waste or scrap, glass in the mass",35243.944,9.459879
25,652,Saint Barthélemy,12, Soya beans,8819.196,9.439945999999999
26,652,Saint Barthélemy,52," Cotton, not carded or combed",24808.2,8.919933
27,652,Saint Barthélemy,20," Cucumbers,gherkins, prepared or preserved by vinegar",19417.3,7.626069
28,652,Saint Barthélemy,06," Bulbs, tubers, corms, crowns and rhizomes, dormant",20510.336000000003,7.199492000000001
29,652,Saint Barthélemy,60," ""Long pile"" knit or crochet textile fabric",52230.633,5.0999680000000005
30,652,Saint Barthélemy,89," Cruise ships, excursion boats, ferry boats",81792.489,3.5423069999999997
31,652,Saint Barthélemy,85, Electric motors of an output < 37.5 watts,89998.414,3.4760220000000004
32,652,Saint Barthélemy,19," Infant foods of cereals, flour, starch or milk, retai",33414.152,3.465282
33,652,Saint Barthélemy,02," Bovine carcasses and half carcasses, fresh or chilled",10558.702000000001,3.408618
34,652,Saint Barthélemy,95," Rideable wheeled toys, dolls carriages",54407.98,3.06887
35,652,Saint Barthélemy,61," Mens, boys overcoats, etc, of wool or hair, knit",70244.822,2.284276
36,652,Saint Barthélemy,24," Tobacco, unmanufactured, not stemmed or stripped",147940.263,1.9376600000000002
37,652,Saint Barthélemy,38, Artificial graphite,1017.645,1.722273
38,652,Saint Barthélemy,64," Waterproof footwear (Wellingtons etc), metal toe cap",20617.585000000003,1.509425
39,652,Saint Barthélemy,69," Bricks, blocks and ceramic goods of siliceous earths",2749.368,0.9569070000000001
40,652,Saint Barthélemy,82, Spades and shovels,11207.33,0.835027
41,652,Saint Barthélemy,42," Saddlery and harness, of any material",16004.305,0.8259099999999999
42,652,Saint Barthélemy,40," Natural rubber latex, including prevulcanised",9473.986,0.814931
43,652,Saint Barthélemy,88," Gliders, hang gliders",333.981,0.767366
44,652,Saint Barthélemy,32, Quebracho tanning extract,2362.506,0.571253
45,652,Saint Barthélemy,62," Mens, boys overcoats of wool or hair, not knit",22029.293,0.490926
46,652,Saint Barthélemy,15," Lard, other pig fat and poultry fat, rendered",303.347,0.43711
47,652,Saint Barthélemy,28, Chlorine,9857.921,0.200739
48,652,Saint Barthélemy,49," Brochures, leaflets and similar, in single sheets",977.549,0.18842299999999998
49,652,Saint Barthélemy,63, Electric blankets of textile material,3417.258,0.187166
50,652,Saint Barthélemy,83, Padlocks of base metal,1522.1419999999998,0.13984000000000002
51,652,Saint Barthélemy,48, Newsprint,587.449,0.13947900000000002
52,652,Saint Barthélemy,41," Bovine skins, whole, raw",3823.039,0.12006
53,652,Saint Barthélemy,90," Optical fibres, except for telecommunications",3743.952,0.066915
54,652,Saint Barthélemy,57," Carpets of wool or fine animal hair, knotted",245.094,0.046
55,652,Saint Barthélemy,18," Cocoa beans, whole or broken, raw or roasted",270.01,0.011125999999999999
56,652,Saint Barthélemy,71," Pearls natural, not permanently mounted or set",721.527,0.010959
57,652,Saint Barthélemy,59, Gum or amylaceous covered textiles for book covers et,90.57,0.006602
58,652,Saint Barthélemy,05," Hair, human, unworked, waste of human hair",11094.568,0.0029660000000000003
59,652,Saint Barthélemy,91," Wrist-watch, precious metal, battery, with hands",6426.564,0.001618
60,652,Saint Barthélemy,58," Woven pile fabric of wool or fine animal hair, w >30c",89.541,0.000787
61,652,Saint Barthélemy,81," Powders, tungsten (wolfram)",48.46,0.000734
