,exp_code_str3,exp_name,HS2,description,USD,tonne
0,705,Slovenia,87, Pedestrian controlled tractors,3958871089.389,458762.601785
1,705,Slovenia,84, Nuclear reactors,1064420844.677,177990.930061
2,705,Slovenia,27," Anthracite, not agglomerated",1004831547.4979999,1543928.314053
3,705,Slovenia,85, Electric motors of an output < 37.5 watts,942610595.4699999,136247.806773
4,705,Slovenia,72," Pig iron, non-alloy, <0.5% phosphorus",800751329.958,904016.215851
5,705,Slovenia,39, Polyethylene - specific gravity <0.94 in primary form,740397802.3280001,349925.190804
6,705,Slovenia,76," Aluminium unwrought, not alloyed",445711345.809,141314.686198
7,705,Slovenia,94," Seats, aircraft",408150858.58,109711.435597
8,705,Slovenia,48, Newsprint,400620338.408,419964.086791
9,705,Slovenia,73, Sheet piling of iron or steel,349430978.222,146353.82178
10,705,Slovenia,44, Fuel wood,307437553.008,1762458.967447
11,705,Slovenia,40," Natural rubber latex, including prevulcanised",301956779.435,77788.491477
12,705,Slovenia,32, Quebracho tanning extract,188512346.077,109521.865728
13,705,Slovenia,23," Flour or meal, pellet of meat or offal for animal fee",140467351.237,377804.36730399996
14,705,Slovenia,68," Stone setts, curbstones, flagstones (except slate)",133883628.882,198663.023982
15,705,Slovenia,28, Chlorine,128825604.892,576373.653533
16,705,Slovenia,38, Artificial graphite,121795479.137,123070.807463
17,705,Slovenia,83, Padlocks of base metal,110150932.417,33361.101761
18,705,Slovenia,90," Optical fibres, except for telecommunications",107494964.295,6826.345726
19,705,Slovenia,30," Glands and other organs, dried, for therapeutic uses",98737083.944,3118.530318
20,705,Slovenia,29, Saturated acyclic hydrocarbons,97067656.477,55250.402887000004
21,705,Slovenia,95," Rideable wheeled toys, dolls carriages",90412248.09,6400.002381
22,705,Slovenia,70," Glass cullet, waste or scrap, glass in the mass",68278204.024,85257.131736
23,705,Slovenia,56," Sanitary towels, diapers and similar articles",64406148.343,15434.601660999999
24,705,Slovenia,82, Spades and shovels,53784788.145,6346.945776
25,705,Slovenia,22, Mineral and aerated waters not sweetened or flavoured,51792986.731,108621.49832900001
26,705,Slovenia,74, Copper mattes,45928594.871,9759.8787
27,705,Slovenia,21," Coffee extracts, essences, concentrates, preparations",45574171.125,12496.094217
28,705,Slovenia,33, Essential oils of bergamot,44973003.028000005,13412.715071
29,705,Slovenia,34," Soaps, for toilet use, solid",42326696.571,27420.521769
30,705,Slovenia,86," Rail locomotives, externally electrically powered",41425613.070999995,17410.682778
31,705,Slovenia,04, Milk not concentrated nor sweetened < 1% fat,35475186.635,50599.524908
32,705,Slovenia,02," Bovine carcasses and half carcasses, fresh or chilled",31016306.47,11868.815261
33,705,Slovenia,54, Sewing thread of synthetic filaments,28905335.327,6912.1045
34,705,Slovenia,12, Soya beans,28335891.628,24074.260231
35,705,Slovenia,89," Cruise ships, excursion boats, ferry boats",27047969.825,1469.87393
36,705,Slovenia,79," Zinc, not alloyed, unwrought, >99% pure",25024966.838999998,8129.376003
37,705,Slovenia,96," Worked ivory, articles of ivory",22446289.555,2707.981552
38,705,Slovenia,17," Raw sugar, cane",20791446.49,34666.67264599999
39,705,Slovenia,25," Salt (sodium chloride) including solution, salt water",19828648.022,370508.29797799996
40,705,Slovenia,15," Lard, other pig fat and poultry fat, rendered",19212370.648,27239.718156
41,705,Slovenia,19," Infant foods of cereals, flour, starch or milk, retai",16760928.121,4921.2181
42,705,Slovenia,49," Brochures, leaflets and similar, in single sheets",16658088.080000002,11468.882673000002
43,705,Slovenia,16," Sausages, similar products of meat, meat offal & bloo",16099797.126,3896.028587
44,705,Slovenia,10, Durum wheat,16070124.621,46384.482469999995
45,705,Slovenia,64," Waterproof footwear (Wellingtons etc), metal toe cap",15796639.300999999,651.127663
46,705,Slovenia,31," Animal or vegetable fertilizers, in packs >10 kg",11039967.001,43264.747893
47,705,Slovenia,61," Mens, boys overcoats, etc, of wool or hair, knit",10894457.095,272.531653
48,705,Slovenia,35, Casein,10044317.435,5342.9623870000005
49,705,Slovenia,42," Saddlery and harness, of any material",9605005.332,666.960287
50,705,Slovenia,07," Potatoes seed, fresh or chilled",9016955.901,5227.969019
51,705,Slovenia,55," Filament tow of nylon, polyamides",8991492.233000001,3429.745198
52,705,Slovenia,59, Gum or amylaceous covered textiles for book covers et,8609803.805,1319.196993
53,705,Slovenia,11, Wheat or meslin flour,7789732.512,19629.710447
54,705,Slovenia,62," Mens, boys overcoats of wool or hair, not knit",7656011.323,125.670445
55,705,Slovenia,03," Ornamental fish, live",7635182.363,2242.199535
56,705,Slovenia,63, Electric blankets of textile material,7504240.543,1645.770541
57,705,Slovenia,47, Mechanical wood pulp,7370807.212,57983.038409999994
58,705,Slovenia,08," Coconuts, fresh or dried",6753039.734,3545.982156
59,705,Slovenia,09," Coffee, not roasted, not decaffeinated",6292388.971999999,1183.923409
60,705,Slovenia,20," Cucumbers,gherkins, prepared or preserved by vinegar",6260383.404999999,3704.7665190000002
61,705,Slovenia,75, Nickel mattes,5193926.573,1340.7744790000002
62,705,Slovenia,26," Iron ore, concentrate, not iron pyrites,unagglomerate",5085188.143,7843.64391
63,705,Slovenia,41," Bovine skins, whole, raw",5026010.551,1751.5701450000001
64,705,Slovenia,60," ""Long pile"" knit or crochet textile fabric",4046526.839,1132.088101
